catalog,description,object count,authors,year,"vizier query, file or xpsd",vizier catalog id,astrophysical type,"magnitude filter selectors, ranges and (default max)",other options,xpsd server req,sky zone,notes,bibcode,DOI,
APASS,"AAVSO Photometric All Sky Survey DR9 (Henden+, 2016, 62 million stars)",62000000,Henden+,2016,vizier,II/336/apass9,stars,,,,,,,,
APASSDR10_XPSD,"APASS Data Release 10 - Local XPSD Server (Henden+, 2018, 128 million stars)",128000000,Henden+,2018,xpsd,,stars,,,y,,,,,
APASSDR9_XPSD,"APASS Data Release 9 - Local XPSD Server (Henden+, 2016, 62 million stars)",62000000,Henden+,2016,xpsd,,stars,,,y,,,,,
ARP,ARP catalog (592 galaxies),592,"Webb, Dennis J. and Arp, Halton C.",1996,vizier,VII/192/arplist,galaxies,,,,,"Thirty years later, 1996 NED-based update of the galaxies in Halton C. Arp’s “Atlas of Peculiar Galaxies,” 1966.",1996S&T....92...92W,,
Asteroids,"DE430/DE440 asteroids (343 objects, ICRS coordinates)",343,PixInsight from JPL DE441 / SB441,2021,file: PixInsight/rsc/eph/core-asteroids.xeph,,asteroids,min – max,,,,,,10.3847/1538-3881/abd414,https://ssd.jpl.nasa.gov/doc/de440_de441.html
Barnard,Barnard's Catalog of Dark Objects in the Sky (349 objects),349,"Barnard, Edward Emerson",1927,vizier,VII/220A/barnard,"nebulae, dark",,,,,,1927cdos.book.....B,,
BrightStars,"Bright Star Catalog, 5th ed. (9110 stars. Hoffleit+ 1991)",9110,Hoffleit+,1991,vizier,V/50/catalog,stars,min – max (7),,,,,,,
CGPN,"Catalogue of Galactic Planetary Nebulae (Kohoutek, 2001) (1759 objects)",1759,Kohoutek,2001,vizier,IV/24/table4,"nebulae, planetary",,,,,,,,
CMC14,"Carlsberg Meridian Catalog 14 (CMC14) (95,858,475 stars)",95858475,CMC,2006,vizier,I/304/out,stars,[r’mag|Jmag|Hmag|Ksmag] min – max,,,-30 to +50°,minus a gap between 5h30m and 10h30m for declinations south of -15,2006yCat.1304....0C,,
Custom,User-defined catalog,any,user,NA,Any *.csv,,any,,,,any,,,,
CustomXEPHFiles,"Custom ephemeris files (XEPH format, ICRS/J2000.0 coordinates)",any,user,NA,Any *.xeph,,ephemerids,,,,any,,,,
GaiaDR1,"Gaia Data Release 1 (Gaia collaboration, 2016, 1,142,679,769 sources)",1142679769,Gaia collaboration,2016,vizier,I/337/gaia,stars,,,,,,,,
GaiaDR2,"Gaia Data Release 2 (Gaia collaboration et al., 2018, 1,692,919,135 sources)",1692919135,Gaia collaboration,2018,vizier,I/345/gaia2,stars,,,,,,,,
GaiaDR2_XPSD,"Gaia Data Release 2 - Local XPSD Server (Gaia collaboration et al., 2018, 1,692,919,135 sources)",1692919135,Gaia collaboration,2018,xpsd,,stars,,,y,,,,,
GaiaDR3SP_XPSD,"Gaia Data Release 3 - Local XPSD Server (Gaia collaboration et al., 2022, 1,806,254,432 sources)",1806254432,Gaia collaboration,2022,xpsd,,stars,,,y,,,,,
GaiaDR3_XPSD,"Gaia Data Release 3 / Mean BP/RP spectra - Local XPSD Server (Gaia collaboration et al., 2022, 219,197,643 sources)",219197643,Gaia collaboration,2022,xpsd,,stars,,,y,,,,,
GaiaEDR3_XPSD,"Gaia Early Data Release 3 - Local XPSD Server (Gaia collaboration et al., 2020, 1,806,254,432 sources)",1806254432,Gaia collaboration,2020,xpsd,,stars,,,y,,,,,
GCVS,General Catalog of Variable Stars (47969 stars),47969,Samus+,2020,vizier,B/gcvs/gcvs_cat,stars,,,,,,,,
GSC 2.3,"Guide Star Catalog 2.3 catalog (945,592,683 objects)",945592683,STScI,2008,vizier,I/305/out,stars,[Fmag|jmag|Vmag|Nmag|Umag|Bmag] min - max,"Class [All objects, Star, Non-star]",,,,,,
HD Cross-Reference,"HD Cross-Reference (All-Sky Compiled Catalogue of 2.5 million stars (ASCC-2.5 V3)) (2,501,313 stars. Kharchenko+ 2009)",2501313,Kharchenko+,2009,vizier,I/280B/ascc,stars,min – max (14),,,all,,,,
Hipparcos,"Hipparcos Main catalog (118,218 stars)",118218,ESA,1997,vizier,I/239/hip_main,stars,[Vtmag|BTmag] min – max,,,,,,,
Kuiper Belt Objects,"DE440 Kuiper Belt Objects (KBOs) (30 objects, ICRS/J2000.0 coordinates)",30,PixInsight from JPL DE441 / SB441,2022,file: PixInsight/rsc/eph/core-kbo.xeph,,asteroids,min – max,,,,,,10.3847/1538-3881/abd414,https://ssd.jpl.nasa.gov/doc/de440_de441.html
LBN,"Lynds' Catalogue of Bright Nebulae (Lynds, 1965) (1125 objects)",1125,"Lynds, Beverly T.",1965,vizier,VII/9/catalog,"nebulae, bright",,,,,A catalogue of bright nebulae has been compiled from a study of the red and blue prints of the National Geographic-Palomar Observatory Sky Atlas.,1965ApJS...12..163L,10.1086/190123,
LDN,"Lynds' Catalogue of Dark Nebulae (Lynds, 1962) (1791 objects)",1791,"Lynds, Beverly T.",1962,vizier,VII/7A/ldn,"nebulae, dark",,,,,A catalogue of dark nebulae has been compiled from a study of the red and blue prints of the National Geographic-Palomar Observatory Sky Atlas,1962ApJS....7....1L,10.1086/190072,
Milliquas,"The Million Quasars (Milliquas) catalogue, version 7.2 (Flesch, 2021) (1,573,824 objects)",1573824,Flesch,2021,vizier,VII/290/catalog,quasars,,,,,,,,
NamedStars,"Named Stars IAU catalog (3,672 stars)",3672,IAU-Working Group on Star Names,2016,file: PixInsight/include/pjsr/astrometry/NamedStars.csv,,stars,max,,,all,PixInsight’s NamedStars as of 1.9.4 has not been updated in several years and includes some traditional and custom names and additional data about the stars in the IAU list.,,,https://exopla.net/star-names/modern-iau-star-names/
NOMAD-1 B-V WB,Naval Observatory Merged Astrometric Dataset (NOMAD) star catalog with B-V filtering for white balance,1117612732,Zacharias+,2005,vizier,I/297,stars,[Vmag|Bmag|Rmag] min – max,"B-V filter range, V-R filter range",,,,,,
PGC,"PGC HYPERLEDA I catalog of galaxies (Paturel+, 2003) (983,261 galaxies)",983261,Paturel+,2003,vizier,VII/237/pgc,galaxies,,,,all,"accurate coordinates (typical accuracy better than 2 arcsec), diameter, axis ratio and position angle. Diameters and axis ratios have been homogenized to the RC2 system at the limiting surface brightness of 25 B-mag arcsec-2",2003A&A...412...45P,,
Planets,"Visible planets (DE440, ICRS coordinates)",8,PixInsight from JPL DE440/LE440,2021,file: PixInsight/rsc/eph/core-fundamental.xeph,,planets,,,,,,,10.3847/1538-3881/abd414,https://ssd.jpl.nasa.gov/doc/de440_de441.html
PPMX,Position and Proper Motions eXtended (PPMX) catalog,18088919,Roeser+,2008,vizier,I/312/sampl,stars,[Cmag|Rmag|Bmag|Vmag|Jmag|Hmag|Kmag] min – max (15),,,,,,,
PPMXL,"Position and Proper Motions eXtended (PPMXL) catalog (910,469,430 objects)",910469430,Roeser+,2010,vizier,I/317,stars,[Jmag|Hmag|Kmag|b1mag|b2mag|r1mag|r2mag|imag] min – max (15),,,,,,,
SDSS R9,"Sloan Digital Sky Survey (SDSS) Photometric Catalog R9 (469,053,874 objects)",469053874,Adelman-McCarthy+,2012,vizier,V/139,"stars, galaxies",[umag|gmag|rmag|imag|zmag] min – max,"Class [All objects, Stars, Galaxies]",,,,,10.1088/0067-0049/203/2/21,
SDSS R7,"Sloan Digital Sky Survey (SDSS) Photometric Catalog R7 (357,175,411 objects)",357175411,Adelman-McCarthy+,2009,vizier,II/294,"stars, galaxies",[umag|gmag|rmag|imag|zmag] min – max,"Class [All objects, Stars, Galaxies]",,,The catalog contains five-band photometry for 357 million distinct objects.,2009ApJS..182..543A,,
Sharpless,Catalog of HII Regions - Sharpless (313 nebulae),313,"Sharpless, Stewart",1959,vizier,VII/20/catalog,"nebulae, HII region",,,,north of declination 270,,1959ApJS....4..257S,10.1086/190049,
TYCHO-2,"Tycho-2 catalog (2,539,913 stars)",2539913,Hog+,2000,vizier,I/259/tyc2,stars,[Vtmag|BTmag] min – max,,,,an astrometric reference catalogue containing positions and proper motions as well as two-colour photometric data for the 2.5 million brightest stars in the sky,2000A&A...355L..27H,,
UCAC3,"UCAC3 catalog (100,765,502 objects)",100765502,Zacharias+,2009,vizier,I/315/out,stars,[f.mag|a.mag|Jmag|Hmag|Kmag|Bmag|R2mag|Imag] min – max (15),,,,"Third U.S. Naval Observatory CCD Astrograph Catalog, noted as obsolete by Vizier. UCAC4 came out in 2012.  UCAC5 came out in 2017 and is most current in its line.",2010AJ....139.2184Z,10.48550/arXiv.1003.2136,
