id,alpha,delta,magnitude,diameter,axisRatio,posAngle,Common name,NGC/IC,PGC
M110,10.091905,41.685419,8.07,18.62,1.78,170,,NGC205,PGC2429
M32,10.674270,40.865170,8.08,9.12,1.45,170,,NGC221,PGC2555
M31,10.684708,41.268750,3.44,199.53,2.82,35,Andromeda Galaxy,NGC224,PGC2557
M103,23.339000,60.659000,7.40,6.00,,,,NGC581,
M33,23.462069,30.660175,5.72,60.26,1.70,22,Triangulum Galaxy,NGC598,PGC5818
M74,24.173938,15.783641,9.46,9.33,1.07,,,NGC628,PGC5974
M76,25.581899,51.575426,17.48,4.80,,,Little Dumbbell,NGC650,
M34,40.531000,42.722000,5.20,35.00,,,,NGC1039,
M77,40.669622,-0.013294,8.87,6.92,1.15,72,,NGC1068,PGC10266
M45,56.601000,24.114000,1.60,110.00,,,Pleiades,,
M79,81.044125,-24.524250,8.16,8.70,,,,NGC1904,
M38,82.167000,35.824000,6.40,21.00,,,,NGC1912,
M1,83.628700,22.014700,8.40,6.00,1.40,,Crab Nebula,NGC1952,
M42,83.818500,-5.386667,4.00,70.00,,,Orion Nebula,NGC1976,
M43,83.879167,-5.2672222,9.00,15.00,,,De Mairan's Nebula,NGC1982,
M36,84.084000,34.135000,6.00,12.00,,,,NGC1960,
M78,86.690833,0.079167,8.00,8.00,,,,NGC2068,
M37,88.074000,32.545000,5.60,24.00,,,,NGC2099,
M35,92.272000,24.336000,5.10,28.00,,,,NGC2168,
M41,101.499000,-20.716000,4.50,38.00,,,,NGC2287,
M50,105.684000,-8.365000,5.90,16.00,,,,NGC2323,
M47,114.147000,-14.489000,4.40,30.00,,,,NGC2422,
M46,115.445000,-14.844000,6.10,27.00,,,,NGC2437,
M93,116.141000,-23.853000,6.20,22.00,,,,NGC2447,
M48,123.412000,-5.726000,5.80,54.00,,,,NGC2548,
M44,130.054000,19.621000,3.10,95.00,,,Beehive Cluster,NGC2632,
M67,132.846000,11.814000,6.90,30.00,,,,NGC2682,
M81,148.888219,69.065295,6.94,21.38,2.09,157,Bode's Galaxy,NGC3031,PGC28630
M82,148.968458,69.679703,8.41,10.72,2.14,65,Cigar Galaxy,NGC3034,PGC28655
M95,160.990547,11.703695,9.73,7.08,1.66,13,,NGC3351,PGC32007
M96,161.690600,11.819939,9.25,7.24,1.51,5,,NGC3368,PGC32192
M105,161.956667,12.581631,9.76,5.13,1.10,,,NGC3379,PGC32256
M108,167.879029,55.674122,10.70,7.76,2.88,79,,NGC3556,PGC34030
M97,168.698801,55.019023,15.78,3.20,,,Owl Nebula,NGC3587,
M65,169.732952,13.092306,9.60,8.32,3.89,174,Leo Triplet,NGC3623,PGC34612
M66,170.062600,12.991500,8.92,8.51,2.24,173,Leo Triplet,NGC3627,PGC34695
M109,179.399846,53.374724,10.94,7.24,1.51,78,,NGC3992,PGC37617
M98,183.451213,14.900543,10.14,9.55,4.17,152,,NGC4192,PGC39028
M99,184.706771,14.416489,9.87,5.13,1.15,,,NGC4254,PGC39578
M106,184.740083,47.303719,8.41,17.78,2.57,330,,NGC4258,PGC39600
M61,185.478868,4.473777,9.65,6.17,1.12,,,NGC4303,PGC40001
M40,185.550000,58.083333,9.70,,,,,,
M100,185.728875,15.822305,9.35,7.59,1.12,170,,NGC4321,PGC40153
M84,186.265597,12.886983,10.49,6.46,1.12,133,,NGC4374,PGC40455
M85,186.350221,18.191081,10.20,7.76,1.29,,,NGC4382,PGC40515
M86,186.549225,12.945969,8.90,10.47,1.38,127,,NGC4406,PGC40653
M49,187.444900,8.000400,12.17,10.96,1.23,157,,NGC4472,PGC41220
M87,187.705931,12.391123,8.63,9.12,1.15,,,NGC4486,PGC41361
M88,187.996469,14.420319,13.18,7.76,1.70,138,,NGC4501,PGC41517
M91,188.860186,14.496322,13.57,5.37,1.20,,,NGC4548,PGC41934
M89,188.915864,12.556342,9.75,6.92,1.07,,,NGC4552,PGC41968
M90,189.207504,13.162923,9.54,9.77,2.24,23,,NGC4569,PGC42089
M58,189.431400,11.818300,9.66,5.62,1.29,88,,NGC4579,PGC42168
M68,189.866583,-26.744056,7.96,12.00,,,,NGC4590,
M104,189.997633,-11.623054,8.00,8.51,1.70,90,Sombrero Galaxy,NGC4594,PGC42407
M59,190.509409,11.646919,11.00,5.50,1.38,164,,NGC4621,PGC42628
M60,190.916533,11.552693,10.30,7.94,1.20,104,,NGC4649,PGC42831
M94,192.721141,41.120250,8.24,11.48,1.15,105,,NGC4736,PGC43495
M64,194.182067,21.682658,8.52,9.77,1.99,115,Black-eye Galaxy,NGC4826,PGC44182
M53,198.230208,18.168167,7.79,12.60,,,,NGC5024,
M63,198.955309,42.029369,8.59,13.18,1.66,102,Sunflower Galaxy,NGC5055,PGC46153
M51,202.469436,47.195391,8.36,10.00,1.32,163,Whirlpool Galaxy,NGC5194,PGC47404
M83,204.253830,-29.865761,7.52,13.80,1.07,,Southern Pinwheel Galaxy,NGC5236,PGC48082
M3,205.548417,28.377278,6.39,16.20,,,,NGC5272,
M101,210.802429,54.348750,7.86,21.88,1.05,,Pinwheel Galaxy,NGC5457,PGC50063
M102,226.623171,55.763308,9.89,6.31,2.35,128,Spindle Galaxy,NGC5866,PGC53933
M5,229.638417,2.081028,5.95,17.40,,,,NGC5904,
M80,244.260042,-22.976083,7.20,8.90,,,,NGC6093,
M4,245.896750,-26.525750,5.90,26.30,,,,NGC6121,
M107,248.132750,-13.053778,8.10,10.00,,,,NGC6171,
M13,250.423475,36.461319,5.80,16.60,,,Hercules Globular Cluster,NGC6205,
M12,251.809083,-1.948528,6.07,14.50,,,,NGC6218,
M10,254.287708,-4.100306,4.98,15.10,,,,NGC6254,
M62,255.302500,-30.112361,6.60,14.10,,,,NGC6266,
M19,255.657042,-26.267944,5.57,13.50,,,,NGC6273,
M92,259.280792,43.135944,6.52,11.20,,,,NGC6341,
M9,259.799083,-18.516250,8.42,9.30,,,,NGC6333,
M14,264.400625,-3.245917,5.73,11.70,,,,NGC6402,
M6,265.069000,-32.242000,4.20,15.00,,,Butterfly Cluster,NGC6405,
M7,268.447000,-34.841000,3.30,80.00,,,Ptolemy Cluster,NGC6475,
M23,269.237000,-18.987000,5.50,27.00,,,,NGC6494,
M20,270.675000,-22.971667,6.30,29.00,,,Trifid Nebula,NGC6514,
M8,270.904167,-24.386667,5.80,90.00,,,Lagoon Nebula,,
M21,271.036000,-22.505000,5.90,13.00,,,,NGC6531,
M24,274.200000,-18.550000,4.50,120.00,2.00,90,,IC4715,
M16,274.688000,-13.792000,6.00,35.00,,,Eagle Nebula,NGC6611,
M18,274.989000,-17.089000,6.90,9.00,,,,NGC6613,
M17,275.195833,-16.171667,6.00,46.00,,,Omega Nebula,NGC6618,
M28,276.137042,-24.869833,6.90,11.20,,,,NGC6626,
M69,277.846250,-32.348083,7.70,7.10,,,,NGC6637,
M25,277.937000,-19.114000,4.60,32.00,,,,IC4725,
M22,279.099750,-23.904750,5.10,24.00,,,,NGC6656,
M70,280.803167,-32.292111,8.10,7.80,,,,NGC6681,
M26,281.317000,-9.386000,8.87,15.00,,,,NGC6694,
M11,282.766000,-6.272000,5.80,14.00,,,Wild Duck Cluster,NGC6705,
M57,283.396237,33.029134,15.77,2.50,,,Ring Nebula,NGC6720,
M54,283.763875,-30.479861,7.70,9.10,,,,NGC6715,PGC2802337
M56,289.148208,30.183472,8.30,7.10,,,,NGC6779,
M55,294.998792,-30.964750,6.49,19.00,,,,NGC6809,
M71,298.443708,18.779194,8.30,7.20,,,,NGC6838,
M27,299.901513,22.721198,14.09,15.20,,,Dumbbell Nebula,NGC6853,
M75,301.520171,-21.922261,8.26,6.00,1.11,55,,NGC6864,
M29,305.943000,38.487000,6.60,7.00,,,,NGC6913,
M72,313.365417,-12.537306,8.96,5.90,,,,NGC6981,
M73,314.750000,-12.633333,9.00,3.00,,,,NGC6994,
M15,322.493042,12.167000,6.40,12.30,,,,NGC7078,
M39,322.889000,48.247000,4.60,32.00,,,,NGC7092,
M2,323.362583,-0.823250,6.25,12.90,,,,NGC7089,
M30,325.092167,-23.179861,7.10,11.00,,,,NGC7099,
M52,351.195000,61.590000,6.90,13.00,,,,NGC7654,
