id,alpha,delta,magnitude,diameter,axisRatio,posAngle,Common name,PGC,PGC2,Messier
IC5370,0.038148,32.738471,14.90,0.50,1.25,130,,PGC5,,
IC5372,0.067660,32.792650,15.10,0.40,1.16,10,,PGC2801010,,
NGC7807,0.110897,-18.841824,15.60,0.41,1.22,15,,PGC33,,
IC5373,0.120029,32.782434,15.30,0.44,1.22,135,,PGC36,PGC48,
NGC7802,0.251790,6.242136,14.70,0.86,2.27,50,,PGC81,,
IC5375,0.269849,4.540618,14.50,0.62,2.28,0,,PGC80,,
IC5376,0.332384,34.525679,15.00,0.93,3.12,5,,PGC102,,
NGC7803,0.333204,13.111246,13.80,0.85,1.92,80,,PGC101,,
NGC7805,0.361561,31.433692,14.30,0.61,1.28,65,,PGC109,,
NGC7806,0.375214,31.441906,14.40,0.69,1.51,0,,PGC112,,
IC1526,0.381115,11.346412,15.10,0.49,1.22,145,,PGC117,,
IC5377,0.522500,16.590280,15.60,0.93,1.69,,,PGC156,,
NGC7809,0.539363,2.941111,15.10,0.40,1.25,85,,PGC158,,
NGC7810,0.579838,12.971581,14.30,0.69,1.61,75,,PGC163,,
NGC7811,0.610084,3.351928,14.68,0.41,1.02,50,,PGC168,,
NGC7812,0.726903,-34.235619,13.94,0.64,1.52,110,,PGC195,,
IC5381,0.796931,15.965717,14.90,0.84,3.12,55,,PGC212,,
NGC7814,0.812279,16.145228,12.00,5.01,2.24,134,,PGC218,,
NGC7808,0.883882,-10.744690,13.48,0.60,1.14,70,,PGC243,,
NGC7822,0.285750,67.421389,,23.00,,,,,,
NGC7816,0.953663,7.478715,14.00,0.97,1.11,20,,PGC263,,
NGC7817,0.995413,20.752339,11.94,2.37,3.57,45,,PGC279,,
NGC7818,1.036936,7.379447,15.10,0.49,1.02,55,,PGC288,,
NGC7813,1.038026,-11.983896,14.50,0.58,2.64,160,,PGC287,,
IC5384,1.038026,-11.983896,14.50,0.58,2.64,160,,PGC287,,
NGC7819,1.102062,31.472028,14.30,0.65,2.00,65,,PGC303,,
NGC7820,1.128241,5.200295,13.90,0.95,2.63,165,,PGC307,,
NGC7823,1.189983,-62.061519,13.42,0.67,1.04,60,,PGC328,,
NGC7824,1.276002,6.920138,14.50,0.99,1.39,160,,PGC354,,
NGC7825,1.277665,5.203621,15.50,0.63,3.12,135,,PGC1279700,,
NGC7821,1.319601,-16.476907,14.00,0.97,2.78,115,,PGC897662,PGC367,
NGC7827,1.365207,5.222338,14.60,0.62,1.16,45,,PGC378,,
NGC7828,1.612842,-13.416131,14.00,0.79,2.38,145,,PGC483,,
NGC7832,1.618537,-3.716142,13.00,1.18,1.85,25,,PGC485,,
NGC7829,1.620767,-13.420616,15.07,0.34,1.11,170,,PGC488,,
NGC7834,1.657537,8.367936,15.40,0.36,1.52,30,,PGC504,,
NGC7835,1.694972,8.426014,15.50,0.53,2.18,150,,PGC505,,
NGC7837,1.714225,8.351302,16.00,0.36,1.61,170,,PGC516,,
NGC7838,1.724711,8.350937,15.30,0.65,1.79,95,,PGC525,,
NGC7840,1.787085,+8.382500,16.47,0.68,1.48,127,,,,
NGC1,1.816068,27.708061,13.40,0.76,1.31,100,,PGC564,,
NGC3,1.819992,8.301660,14.60,0.69,1.56,115,,PGC565,,
NGC2,1.821315,27.678343,14.80,0.67,1.92,105,,PGC567,,
NGC7831,1.831571,32.609220,13.40,1.27,3.85,40,,PGC86782,PGC569,
