alpha,delta,id,diameter
001.17545,+67.14496,Sh 2-171,180.0
003.87181,+61.24446,Sh 2-172,1.0
005.46160,+61.72722,Sh 2-173,30.0
006.83171,+64.69321,Sh 2-175,2.0
007.92248,+57.27590,Sh 2-176,10.0
007.93640,+62.69256,Sh 2-177,2.0
008.65939,+69.44208,BFS 20,1.0
010.10702,+62.85764,Sh 2-179,1.0
010.83068,+61.90703,BFS 21,1.0
012.20162,+62.92241,Sh 2-180,15.0
012.31450,+65.20564,Sh 2-181,15.0
012.56441,+64.73872,Sh 2-182,2.0
013.20904,+56.60470,Sh 2-184,40.0
013.50472,+65.70439,Sh 2-183,35.0
014.99156,+60.98599,Sh 2-185,120.0
017.19857,+63.13311,Sh 2-186,1.0
020.77064,+61.84427,Sh 2-187,10.0
022.66089,+58.35759,Sh 2-188,9.0
031.55442,+69.02177,BFS 22,2.0
033.02339,+64.16793,Sh 2-189,2.0
035.58245,+59.91097,BFS 23,2.0
038.35313,+61.43635,Sh 2-190,150.0
039.16135,+59.63389,Sh 2-191,2.0
039.66655,+64.03245,BFS 24,20.0
040.01659,+59.61461,Sh 2-195,3.0
040.46945,+59.61321,Sh 2-197,5.0
041.80940,+61.97570,Sh 2-192,1.0
041.83385,+61.92562,Sh 2-194,2.0
041.88515,+61.99212,Sh 2-193,2.0
042.50810,+59.69007,Sh 2-198,9.0
042.92032,+62.20545,Sh 2-196,4.0
043.62432,+60.40309,Sh 2-199,120.0
044.21673,+58.90109,BFS 25,2.0
045.78861,+60.47912,Sh 2-201,5.0
046.69635,+56.77589,BFS 27,90.0
046.86417,+58.50867,BFS 26,4.0
047.66115,+62.80597,Sh 2-200,6.0
049.59692,+54.08211,BFS 30,3.0
049.69892,+59.63186,Sh 2-202,170.0
050.49287,+54.87882,Sh 2-203,45.0
051.21781,+54.95945,BFS 31,2.0
052.46073,+58.87150,BFS 29,30.0
052.51480,+59.70465,BFS 28,20.0
057.90559,+51.49979,BFS 32,1.5
058.64551,+42.09659,BFS 35,3.0
058.93582,+57.42904,Sh 2-204,40.0
059.03215,+53.19520,Sh 2-205,120.0
058.98023,+42.17854,BFS 36,3.0
059.83037,+41.94167,BFS 37,3.0
059.99205,+51.55784,BFS 33,1.5
059.94729,+41.94118,BFS 38,3.0
060.21125,+42.05675,BFS 39,3.0
060.25212,+41.93991,BFS 41,3.0
060.31776,+36.40622,Sh 2-220,320.0
060.79196,+51.32114,Sh 2-206,50.0
060.63273,+4.12126,Sh 2-245,720.0
061.79998,+51.40021,BFS 34,5.0
062.77101,+51.16271,Sh 2-209,14.0
064.39514,+42.60552,Sh 2-215,2.0
064.94781,+52.96999,Sh 2-208,1.0
065.16607,+44.91885,Sh 2-213,1.0
065.38675,+44.36787,Sh 2-214,4.0
065.50492,+19.53370,Sh 2-238,1.0
066.99087,+46.32748,BFS 42,8.0
067.54656,+35.25815,Sh 2-222,6.0
067.75001,+52.54090,Sh 2-210,20.0
067.82440,+18.10670,Sh 2-239,5.0
068.21680,+5.85482,Sh 2-251,35.0
069.23408,+50.88418,Sh 2-211,2.0
069.60246,+48.66579,BFS 40,2.0
070.13125,+50.46344,Sh 2-212,5.0
070.04880,+7.29654,Sh 2-250,10.0
071.24514,+46.80826,Sh 2-216,80.0
072.91107,+45.58390,BFS 44,5.0
073.73522,+46.66343,BFS 43,15.0
073.79186,+5.66260,Sh 2-260,22.0
074.05553,+47.39529,Sh 2-219,3.0
074.68761,+47.99236,Sh 2-217,9.0
075.53294,+14.08788,Sh 2-246,65.0
076.69465,+6.16566,Sh 2-262,20.0
077.51705,+38.82886,BFS 45,0.5
077.75243,+37.98606,Sh 2-226,3.0
078.37382,+37.44144,Sh 2-228,8.0
079.07766,+34.45471,Sh 2-229,65.0
079.96166,+38.95057,Sh 2-227,20.0
079.93836,-5.64988,Sh 2-278,50.0
080.43095,+8.39791,Sh 2-263,22.0
080.62636,+34.13064,Sh 2-230,300.0
080.64607,+33.36387,Sh 2-236,55.0
081.75133,+40.60870,Sh 2-225,10.0
082.02917,+34.42392,Sh 2-234,12.0
081.87142,-3.95913,Sh 2-276,1200.0
082.90333,+34.24471,Sh 2-237,7.0
083.81393,+9.93167,Sh 2-264,390.0
083.73910,-5.45148,Sh 2-281,60.0
083.84234,-4.78530,Sh 2-279,20.0
084.71570,+35.86100,Sh 2-233,2.0
084.84111,+35.91039,Sh 2-231,12.0
084.83470,+23.27690,Sh 2-243,6.0
085.32249,+52.17510,Sh 2-218,70.0
085.20605,+35.65862,BFS 47,0.7
085.22297,+35.69187,BFS 46,0.3
085.26575,+35.84167,Sh 2-235,10.0
085.17869,-2.44174,Sh 2-277,120.0
085.61844,+36.18997,Sh 2-232,40.0
087.56344,+23.84702,BFS 50,0.3
087.82455,+25.72911,BFS 48,0.5
087.95733,+27.01182,Sh 2-242,7.0
090.49553,+26.41615,BFS 49,0.5
091.02790,+30.24695,Sh 2-241,10.0
092.55648,+13.32263,Sh 2-268,60.0
092.12581,+21.60816,Sh 2-247,9.0
092.41956,+20.49006,Sh 2-252,40.0
092.55383,+12.80597,Sh 2-270,1.0
092.55648,+13.32263,Sh 2-265,70.0
092.90296,+17.43767,Sh 2-259,2.0
093.08116,+18.03681,Sh 2-254,11.0
093.15562,+17.93645,Sh 2-256,1.0
093.20579,+17.96954,Sh 2-257,3.0
093.28078,+17.96918,Sh 2-255,3.0
093.38050,+17.91869,Sh 2-258,1.0
093.63397,+13.81741,Sh 2-269,4.0
093.68641,+19.01722,BFS 52,1.0
093.72655,+12.36694,Sh 2-271,2.0
093.77646,+12.35004,Sh 2-272,1.0
094.68971,+23.36242,BFS 51,10.0
094.71646,+15.27885,Sh 2-266,1.0
095.23382,+23.07644,Sh 2-249,80.0
096.44152,+20.02056,Sh 2-253,5.0
097.93946,+4.92982,Sh 2-275,100.0
098.57783,+2.52672,Sh 2-280,40.0
099.49782,+1.48895,Sh 2-282,35.0
099.61906,+0.70503,Sh 2-283,3.0
100.21357,+9.90229,Sh 2-273,250.0
100.86820,-24.11792,Sh 2-304,200.0
101.14609,+1.13106,BFS 53,2.0
101.26680,+0.23048,Sh 2-284,80.0
101.48061,-7.32063,Sh 2-289,11.0
101.72195,+1.31165,BFS 54,3.0
102.48753,-7.64209,BFS 60,1.0
103.50396,-22.41376,Sh 2-303,90.0
103.54550,-23.93064,Sh 2-308,35.0
103.64426,-4.53087,Sh 2-286,6.0
103.81337,-0.49829,Sh 2-285,1.0
103.85262,-8.01523,Sh 2-291,8.0
104.31494,-2.81735,BFS 55,25.0
104.31366,-8.33407,BFS 63,10.0
104.51978,-7.93504,BFS 61,1.0
104.81810,-3.91973,BFS 56,0.3
104.82187,-4.00308,BFS 57,1.0
104.85812,-4.26992,BFS 59,3.0
104.89317,-4.78676,Sh 2-287,12.0
104.92473,-7.78694,BFS 62,2.0
105.14048,-8.85464,BFS 64,5.0
105.22678,-3.85499,BFS 58,3.0
105.43702,-11.30606,Sh 2-293,11.0
105.66134,-11.45711,Sh 2-295,8.0
106.11639,-10.44256,Sh 2-292,21.0
106.30728,-12.32681,Sh 2-297,7.0
106.43775,-11.21074,Sh 2-296,200.0
107.14574,-4.29729,Sh 2-288,1.0
107.45196,-18.46554,Sh 2-301,9.0
108.26976,-24.56941,Sh 2-310,480.0
109.14698,-9.43994,Sh 2-294,7.0
109.60405,-13.22541,Sh 2-298,22.0
112.52951,-18.52209,Sh 2-305,4.0
112.65166,-19.10598,Sh 2-306,30.0
112.67045,-15.28936,Sh 2-299,1.0
112.76994,-15.40647,Sh 2-300,3.0
112.91240,-16.97379,Sh 2-302,21.0
113.02530,-19.42433,Sh 2-309,12.0
113.87927,-18.74480,Sh 2-307,6.0
118.09354,-26.43000,Sh 2-311,45.0
134.79556,-25.67856,Sh 2-312,720.0
239.70773,-26.10870,Sh 2-1,150.0
239.97218,-1.60734,Sh 2-33,35.0
240.09216,-22.94039,Sh 2-7,240.0
241.36383,+0.38189,Sh 2-36,45.0
242.77103,-7.06216,Sh 2-24,30.0
242.79128,+21.87157,Sh 2-73,75.0
243.35192,-8.35967,Sh 2-23,50.0
245.28615,-25.58476,Sh 2-9,80.0
249.28898,-10.56669,Sh 2-27,480.0
255.60157,-38.10458,Sh 2-2,60.0
258.08157,-38.45955,Sh 2-3,12.0
259.32501,-34.02022,Sh 2-10,60.0
259.58939,-39.30239,Sh 2-4,5.0
259.68290,-38.46859,Sh 2-5,100.0
259.96354,-35.86720,Sh 2-8,120.0
260.14548,-38.96639,BFS 65,6.0
261.25249,-34.21100,Sh 2-11,90.0
262.28480,-31.53933,Sh 2-13,40.0
263.49196,-32.53354,Sh 2-12,120.0
266.29371,-28.85326,Sh 2-17,25.0
266.62162,-29.30168,Sh 2-16,20.0
266.79316,-28.75084,Sh 2-20,10.0
266.87113,-29.21713,Sh 2-18,4.0
267.02062,-29.13307,Sh 2-19,12.0
267.23484,-31.31540,Sh 2-15,30.0
267.59411,-28.88028,Sh 2-21,5.0
268.34534,-24.97658,Sh 2-22,60.0
269.58644,-23.43719,Sh 2-26,20.0
270.13634,-23.41785,Sh 2-28,40.0
270.48788,-23.68282,BFS 1,2.0
270.63403,-23.01543,Sh 2-30,20.0
271.09165,-24.32989,Sh 2-25,90.0
271.53592,-14.14426,Sh 2-46,25.0
271.75132,-21.65998,Sh 2-34,90.0
272.18259,-18.25784,Sh 2-38,3.0
272.41442,-23.95679,Sh 2-29,40.0
272.43758,-23.64001,Sh 2-32,8.0
272.53844,-23.78952,Sh 2-31,8.0
272.57482,-16.80592,Sh 2-42,3.0
273.00475,-17.73717,Sh 2-40,15.0
273.65643,+7.04963,Sh 2-70,5.0
273.95734,-18.23256,Sh 2-41,90.0
273.96832,-20.24920,Sh 2-35,20.0
274.10287,-17.39851,Sh 2-43,15.0
274.12433,-16.73173,Sh 2-44,60.0
274.20965,-18.66467,Sh 2-39,3.0
274.44033,-19.71357,Sh 2-37,20.0
274.44342,-15.61350,Sh 2-47,5.0
274.47347,-11.72997,Sh 2-54,140.0
274.65984,-13.96243,Sh 2-49,90.0
275.19621,-16.15986,Sh 2-45,60.0
275.58792,-14.57461,Sh 2-48,10.0
276.30589,-13.22112,Sh 2-53,15.0
276.28674,+0.84562,Sh 2-68,8.0
276.38849,-14.70407,Sh 2-50,35.0
276.90930,-3.81809,Sh 2-62,4.0
277.63269,-8.61466,Sh 2-57,2.0
277.76311,-9.71404,Sh 2-56,7.0
277.85692,-8.46358,Sh 2-58,8.0
277.90007,-1.91329,Sh 2-64,25.0
278.04831,-11.76269,Sh 2-55,5.0
278.33987,-4.97788,Sh 2-61,2.0
279.17314,-6.69056,Sh 2-60,20.0
279.25252,-7.59019,Sh 2-59,20.0
280.19742,-16.55243,Sh 2-51,35.0
281.11723,-0.28118,Sh 2-69,20.0
281.37541,-1.99663,Sh 2-66,8.0
281.73368,-3.72828,Sh 2-65,7.0
282.35204,-2.34198,Sh 2-67,10.0
284.10389,+7.79976,Sh 2-76,7.0
284.80734,+7.10307,Sh 2-75,10.0
285.79844,+14.12446,Sh 2-78,12.0
285.81119,+25.82467,Sh 2-85,6.0
