No,alpha,delta,diameter,id
1,6.322500,61.321944,5,Cr 1
2,7.475417,60.209722,21,Cr 2
3,7.820417,63.352778,7,Cr 3
4,7.877917,61.509444,1.2,Cr 4
5,8.266250,63.309167,6,Cr 5
6,11.873750,85.241389,13,Cr 6
7,10.884583,61.790278,12,Cr 7
8,13.247083,56.621944,30,Cr 8
9,16.607917,62.228889,3,Cr 9
10,17.062083,61.583333,6,Cr 10
11,18.990417,58.817222,5,Cr 11
12,19.885833,58.290833,13,Cr 12
13,22.371250,63.308333,4.4,Cr 13
14,23.340833,60.658056,6,Cr 14
15,23.925000,61.283333,7.4,Cr 15
16,24.098750,64.536667,3,Cr 16
17,25.762917,64.036667,3.5,Cr 17
18,25.997500,61.882778,5,Cr 18
19,26.095833,60.669167,5,Cr 19
20,26.566667,61.218333,16,Cr 20
21,27.550000,27.083333,7,Cr 21
22,29.624583,55.474722,11,Cr 22
23,29.449583,37.850000,50,Cr 23
24,34.765833,57.135000,29,Cr 24
25,35.633750,57.144167,29,Cr 25
26,38.175000,61.450000,22,Cr 26
27,38.128750,44.593611,7,Cr 27
28,38.329167,57.569722,11,Cr 28
29,39.325000,55.983333,20,Cr 29
30,40.646250,61.594444,20,Cr 30
31,40.530833,42.746111,35,Cr 31
32,42.800000,60.433333,12,Cr 32
33,44.825000,60.400000,39,Cr 33
34,45.225000,60.416667,25,Cr 34
35,46.482083,44.383056,1.5,Cr 35
36,47.950000,63.250000,23,Cr 36
37,47.919583,53.348333,2,Cr 37
38,48.672917,47.238889,10,Cr 38
39,50.500000,49.000000,185,Cr 39
40,52.917083,37.374444,14,Cr 40
41,56.125000,32.283333,7,Cr 41
42,56.750000,24.116667,110,Cr 42
43,57.345417,52.662222,4,Cr 43
44,61.132917,52.661389,6,Cr 44
45,61.955417,62.331667,7,Cr 45
46,62.477917,49.517222,9,Cr 46
47,63.828750,51.211389,23,Cr 47
48,64.750000,58.300000,6,Cr 48
49,65.234583,50.255278,18,Cr 49
50,66.750000,16.000000,330,Cr 50
51,68.000000,43.848056,37,Cr 51
52,68.726250,45.269722,5,Cr 52
53,70.152083,50.461667,5,Cr 53
54,71.481667,19.111667,45,Cr 54
55,72.120417,10.930278,20,Cr 55
56,72.785000,43.674444,18,Cr 56
57,75.959167,23.767778,42,Cr 57
58,77.023750,37.022778,6,Cr 58
59,77.671250,16.531111,17,Cr 59
60,78.109583,16.684167,16,Cr 60
61,80.022917,39.343611,5,Cr 61
62,80.625000,41.000000,28,Cr 62
63,80.687917,33.420278,11,Cr 63
64,81.475833,46.490278,2.5,Cr 64
65,81.270833,15.699722,220,Cr 65
66,82.018750,35.325556,6,Cr 66
67,82.177083,35.855000,21,Cr 67
68,82.857500,34.245000,4,Cr 68
69,83.870000,9.941111,70,Cr 69
70,83.900000,-1.083333,140,Cr 70
71,84.073750,34.140833,12,Cr 71
72,83.857917,-5.909722,14,Cr 72
