alpha,delta,MWSC Id,id,diameter
000.06750,+60.93300,0001,Berkeley 58,18.6
000.08250,+50.72700,0002,NGC 7801,18.72
000.12750,+59.24200,0003,FSR 0459,10.8
000.39750,+64.62500,0004,Stock 18,9.6
000.55950,+67.42500,0005,Berkeley 59,26.4
000.73500,+67.50000,0006,Cep OB4,91.2
000.88500,-30.00000,0007,Blanco 1,282
000.85200,+63.58000,0008,Berkeley 104,16.2
000.99600,+68.56500,0009,IRAS 00013+6817,10.8
001.45500,+81.84000,0014,FSR 0504,9.6
001.68000,+65.62900,0016,BDB 94,10.2
001.90200,+61.49000,0017,Czernik 1,8.4
002.11200,+51.72400,0018,SAI 1,7.8
002.41350,+62.70400,0019,ASCC 1,12.6
002.40000,+60.46700,0020,Berkeley 1,8.4
002.51400,+61.18400,0021,King 13,13.8
002.66700,+58.74800,0023,Alessi 20,36.6
002.68500,+59.73500,0024,FSR 0474,10.8
003.73650,+61.47100,0025,FSR 0480,16.8
003.80100,+68.31800,0026,PTB 7,19.8
003.86250,+61.26000,0027,BDSB 48,8.4
004.08150,+59.96200,0028,Juchert-Saloran 1,15
004.42500,+60.93400,0029,Berkeley 60,10.8
004.87500,+55.64500,0031,ASCC 2,26.4
005.10300,+59.33200,0032,FSR 0486,7.2
005.31150,+54.82700,0033,FSR 0479,10.8
005.51400,+61.74100,0034,Mayer 1,13.8
005.51550,+64.38400,0035,King 1,26.4
005.74500,+51.88300,0036,FSR 0477,14.4
005.90700,+62.71000,0037,SAI 4,8.04
006.00450,-72.08100,0038,NGC 104,114
006.31350,+62.60200,0039,Stock 20,16.8
006.27000,+61.34000,0040,NGC 103,10.8
006.31650,+60.38200,0041,Berkeley 2,12
006.42000,+63.75000,0042,FSR 0494,19.8
006.67500,+64.03000,0044,FSR 0496,20.4
006.85500,+71.42200,0045,NGC 110,13.8
006.97800,+60.67700,0046,SAI 6,14.4
007.23450,+43.27900,0048,FSR 0481,13.2
007.27500,+62.40900,0050,FSR 0498,11.4
007.35750,+68.89400,0051,FSR 0503,16.8
007.56150,+57.93100,0052,Stock 21,18.6
007.54200,+60.20300,0053,NGC 129,18.6
007.77000,+55.27500,0054,ASCC 3,28.8
007.81950,+63.34500,0055,NGC 133,9.6
007.90050,+61.51000,0056,NGC 136,15
008.01450,+63.18100,0057,King 14,16.8
008.19900,+61.89000,0058,King 15,11.4
008.22600,+63.30500,0059,NGC 146,19.2
009.87000,+61.11500,0062,NGC 189,14.4
009.94050,+61.96500,0063,Stock 24,17.4
010.19250,+60.85500,0065,Dolidze 12,15.6
010.47300,+64.95600,0066,FSR 0508,6.6
010.65300,+64.06000,0067,Dias 1,16.8
010.80000,+61.78200,0068,NGC 225,21.6
010.92450,+60.15200,0069,Czernik 2,13.2
010.96500,+64.18000,0070,King 16,15.6
011.01000,+52.36000,0071,FSR 0507,18
011.26800,+64.38200,0073,Berkeley 4,20.4
011.85000,+85.25500,0074,NGC 188,68.4
012.07950,+67.19300,0075,Berkeley 61,12
012.51000,+64.09100,0076,Dolidze 13,13.2
012.68250,+54.76500,0077,FSR 0515,10.2
012.63750,+65.96500,0078,FSR 0516,20.4
012.73200,+58.20100,0079,King 2,12
012.81000,+44.28500,0080,FSR 0518,24
012.46500,+64.14000,0081,Cas OB7,32.4
013.12200,+64.66700,0083,FSR 0519,16.8
013.19250,-26.58500,0084,NGC 288,37.2
013.20000,+56.63000,0085,IC 1590,27.6
013.24500,+59.83500,0086,FSR 0521,15
013.32000,+61.60000,0087,ASCC 4,25.2
013.32750,+49.48000,0088,Alessi 1,51
013.50000,+65.79700,0089,FSR 0522,12.6
014.32050,+62.12500,0092,FSR 0524,13.2
014.40750,+55.85500,0093,ASCC 5,22.8
014.54250,+68.46500,0094,Skiff J0058+68.4,38.4
015.27750,+63.93500,0097,Berkeley 62,19.2
015.78750,+62.78700,0098,Czernik 3,9.6
015.82500,-70.84700,0099,NGC 362,28.2
015.06000,+61.46000,0101,Cas OB1,72
016.63500,+62.22400,0102,NGC 366,19.2
017.01000,+65.66200,0104,Pfleiderer 1,10.8
017.10750,+61.57900,0105,NGC 381,21.6
017.15250,+63.11800,0106,BDSB 51,7.8
017.98500,+56.98500,0107,FSR 0530,14.4
018.03750,+62.25800,0108,Stock 3,13.2
018.22500,+32.05000,0109,Platais 2,158.4
018.80100,+60.12300,0110,NGC 433,16.8
018.99600,+58.81100,0111,NGC 436,18.6
019.35900,+61.30000,0112,FSR 0534,12
019.76850,+60.34700,0113,FSR 0537,12
019.90500,+58.28000,0114,NGC 457,26.4
019.95750,+52.66700,0115,FSR 0544,19.8
019.93350,+63.06700,0116,FSR 0536,19.2
020.51250,+63.70300,0117,FSR 0538,13.8
021.45000,+62.98500,0119,FSR 0542,16.8
021.51750,+62.61300,0120,SAI 14,14.4
021.99750,+44.15500,0121,FSR 0560,18
022.38000,+63.30200,0122,NGC 559,36
022.43850,+60.71300,0123,FSR 0547,9.6
023.31600,+60.65200,0124,NGC 581,20.4
023.35500,+74.74200,0125,FSR 0531,19.8
023.90250,+61.46300,0126,Czernik 4,8.4
023.91000,+61.27500,0127,Trumpler 1,9.6
024.09450,+64.53500,0128,NGC 609,15
024.30000,+65.85000,0129,FSR 0546,18
024.91200,+65.92100,0130,FSR 0549,10.8
024.92550,+64.87500,0131,FSR 0551,8.4
025.23450,+64.51500,0132,FSR 0553,14.4
025.77750,+64.04500,0133,NGC 637,17.4
025.79250,+74.40500,0134,FSR 0539,16.8
025.84950,+55.84000,0135,NGC 657,11.4
025.99500,+61.90000,0137,NGC 654,19.2
026.09250,+60.67000,0138,NGC 659,18.6
026.55000,+61.22500,0139,NGC 663,28.8
027.30000,+71.78000,0140,Collinder 463,61.2
026.82000,+57.68000,0141,ASCC 6,22.8
026.92500,+62.93300,0142,Berkeley 5,9.6
027.54000,+27.11500,0143,Collinder 21,43.2
027.82500,+61.06000,0145,Berkeley 6,18
028.09500,+61.86500,0146,IC 166,29.4
028.28250,+57.01000,0147,Stock 4,25.2
028.42950,-45.92000,0148,ESO 245-09,44.4
028.54500,+62.37000,0149,Berkeley 7,13.2
028.92750,+61.35400,0150,Czernik 5,10.8
029.27250,+37.79000,0151,NGC 752,168
029.33250,+63.49000,0152,IRAS 01546+6319,46.8
029.64450,+55.47800,0153,NGC 744,41.4
029.65500,+60.15700,0154,NGC 743,20.4
029.77500,+58.92500,0156,ASCC 7,21.6
030.13050,+67.80300,0157,FSR 0558,12
030.35250,+75.49300,0158,Berkeley 8,28.8
030.48000,+62.85000,0159,Czernik 6,13.8
030.70500,+70.69600,0160,FSR 0555,10.2
030.75450,+62.25300,0162,Czernik 7,14.4
031.13550,+64.35500,0163,Stock 5,28.8
031.29750,+81.20400,0164,FSR 0532,21.6
031.41300,+62.26500,0165,SAI 16,10.8
031.47450,+67.74500,0166,FSR 0561,16.2
031.86000,+60.27100,0167,Riddle 4,9.96
032.03250,+60.75000,0168,IRAS 02044+6031,32.4
032.17500,+60.43700,0171,IRAS 02054+6011,15
033.39000,+44.74000,0172,FSR 0616,13.8
033.66000,+59.44000,0173,Stock 2,204
034.14000,+55.39700,0174,IRAS 02130+5509,6
034.74000,+57.14500,0175,NGC 869,64.2
034.87350,+58.30400,0176,Basel 10,9
034.89900,+63.73000,0177,Berkeley 63,13.2
035.01600,+61.10200,0178,FSR 0578,12
035.21250,+59.20000,0179,SAI 17,9.6
035.19000,+59.69000,0180,ASCC 8,28.8
035.41500,+65.89000,0182,Berkeley 64,12.84
035.51250,+57.14500,0184,NGC 884,52.8
035.86200,+63.75500,0186,NGC 886,20.4
036.64200,+61.98800,0192,IRAS 02232+6138,22.8
036.80250,+61.62800,0193,FSR 0584,11.16
036.91500,+58.75800,0196,FSR 0591,12
037.29000,+61.78500,0199,Tombaugh 4,14.4
037.35000,+62.07000,0200,Teutsch 55,13.8
037.23000,+72.19000,0201,FSR 0568,19.2
037.43250,+60.67500,0202,Stock 7,17.4
037.41750,+51.89500,0203,FSR 0617,10.8
037.43250,+58.10000,0204,FSR 0596,16.2
037.67250,+51.80500,0206,FSR 0620,21.6
037.78500,+72.48000,0207,FSR 0569,15.6
037.99500,+44.58000,0208,NGC 956,16.8
038.18250,+61.45500,0209,IC 1805,32.4
038.25450,+58.76800,0210,Czernik 8,10.8
038.37750,+57.57300,0211,NGC 957,34.8
038.38500,+59.87500,0212,Czernik 9,10.8
038.47500,+60.18000,0213,Czernik 10,10.8
038.70750,+62.58800,0215,SAI 21,10.8
039.02250,+59.02500,0216,King 4,21.6
039.14400,+59.63400,0218,Czernik 11,15.6
039.36750,+55.95000,0219,Trumpler 2,52.8
039.38250,+56.40500,0220,FSR 0611,19.8
039.75000,+60.40000,0221,Berkeley 65,13.2
039.84300,+54.91300,0222,Czernik 12,15
040.54950,+42.79000,0223,NGC 1039,87.6
040.62000,+56.73500,0224,FSR 0614,15.6
040.66500,+61.62000,0225,NGC 1027,28.2
041.11350,+62.31800,0227,Czernik 13,12
041.74500,+57.74500,0228,ASCC 9,25.2
041.91750,+61.97300,0232,Teutsch 162,13.2
042.69750,+60.65000,0235,IRAS 02459+6029,8.4
042.77700,+60.41000,0236,IC 1848,32.4
042.92250,+69.24500,0237,FSR 0576,13.2
043.62750,+62.52500,0240,IRAS 02497+6217,25.8
043.81500,+60.60000,0242,IRAS 02511+6023,8.4
044.02650,+68.82500,0243,FSR 0581,16.8
044.82000,+62.30000,0246,IRAS 02541+6208,38.4
044.81550,+60.30000,0248,Collinder 33,28.8
044.86500,+60.55000,0249,SAI 24,13.8
045.09750,+57.28500,0250,SAI 25,16.2
045.32700,+60.50300,0252,IRAS 02575+6017,10.8
046.01550,+58.74000,0255,Berkeley 66,13.8
046.47000,+44.38000,0256,NGC 1193,9.6
047.55000,+64.28000,0258,FSR 0612,10.8
047.70000,-57.76000,0260,NGC 1252,30
047.92200,+53.34700,0261,NGC 1220,10.2
048.05250,+63.15000,0262,Trumpler 3,56.4
048.06750,-55.21600,0263,NGC 1261,17.4
048.70050,+47.25300,0264,NGC 1245,44.4
048.69300,+52.69700,0265,King 5,27
049.23000,+60.01500,0266,Stock 23,33.6
049.26750,+58.60500,0267,Czernik 14,8.4
050.08500,+60.26000,0270,FSR 0627,8.4
050.80050,+52.23300,0271,Czernik 15,9
050.80050,+60.55000,0272,FSR 0628,12
051.67500,+48.80000,0274,Melotte 20,732
051.76500,+35.03000,0275,ASCC 10,63.6
052.01250,+56.46500,0277,King 6,31.2
052.02000,-35.87000,0278,Alessi 13,381.6
052.23000,+31.37000,0279,NGC 1333,68.4
052.79250,+52.63200,0282,Czernik 16,17.4
053.00400,+37.35700,0283,NGC 1342,33
053.07000,+44.84000,0284,ASCC 11,49.2
053.14500,+59.21000,0285,FSR 0632,18.6
053.16300,+52.65000,0286,Berkeley 9,15.6
053.35500,+36.82600,0288,FSR 0682,13.8
053.55000,+51.40000,0289,NGC 1348,13.2
054.90000,+66.49000,0290,Berkeley 10,28.2
055.18500,+82.22000,0291,SAI 30,9.6
055.09500,+59.43000,0292,FSR 0634,12
055.33500,+34.65500,0293,FSR 0691,16.2
056.15250,+32.15000,0301,IC 348,31.2
056.83500,+53.90200,0304,Juchert 11,10.8
056.50500,+24.37000,0305,Melotte 22,744
057.01500,+59.07000,0306,Tombaugh 5,32.4
057.75750,+35.10000,0307,Per OB2,384
057.34950,+52.64000,0308,NGC 1444,12
058.10550,+61.96000,0311,Czernik 17,8.4
058.83750,+58.40000,0313,Juchert 9,8.4
058.90050,+54.01700,0314,FSR 0654,8.4
059.04300,+53.87700,0315,FSR 0655,10.8
059.28300,+32.02100,0317,FSR 0724,14.4
059.46750,-76.80000,0319,NGC 1520,15.6
059.71500,+53.64000,0320,FSR 0656,21.6
059.77800,+51.78200,0321,King 7,42
059.78550,+57.24000,0323,Alicante 1,7.2
060.19500,+56.45000,0325,Cam OB3,79.2
060.57750,+52.45000,0327,Juchert 19,7.8
060.61500,+51.91700,0328,FSR 0660,12
060.76500,+41.30300,0329,FSR 0689,16.8
060.95550,+55.41900,0331,FSR 0653,8.4
061.11000,+52.64500,0333,NGC 1496,7.8
061.45500,+39.20000,0335,FSR 0695,13.8
061.54500,+51.91000,0337,FSR 0663,10.2
061.50750,+40.16800,0338,FSR 0692,15.6
061.65000,+39.13500,0339,FSR 0698,11.4
061.80750,+51.16700,0341,FSR 0667,9
061.95750,+62.33100,0343,NGC 1502,36
062.47050,+26.57000,0345,FSR 0757,12
062.42550,+49.51000,0346,NGC 1513,18.6
062.60250,+39.25000,0347,FSR 0700,13.2
062.70750,+46.86800,0348,Juchert 20,13.2
063.09450,+48.72800,0350,FSR 0674,15.6
063.28500,-70.46500,0351,NGC 1557,26.4
063.63750,+28.49000,0352,LDN 1495W,66
063.84750,+51.19000,0353,NGC 1528,54
064.20750,+41.07500,0355,SAI 36,8.4
064.49250,+26.21100,0357,FSR 0765,20.4
064.55400,+38.14500,0358,FSR 0709,16.8
064.65750,+52.86000,0359,Waterloo 1,15.6
064.67250,+41.52600,0360,FSR 0697,13.8
064.74000,+58.25000,0362,IC 361,26.4
064.93800,+53.17500,0365,Mayer 2,9
065.11500,+44.91500,0368,Berkeley 11,19.8
065.29500,+50.25200,0369,NGC 1545,15.6
065.33250,+36.92000,0371,NGC 1548,15.6
065.42550,+27.23500,0372,FSR 0762,15
065.61750,+51.85500,0373,FSR 0671,12
065.87250,+33.55500,0374,FSR 0741,12
066.05400,+29.71500,0375,FSR 0756,12.6
066.46500,+46.09500,0378,FSR 0686,21.6
066.72900,+73.38000,0380,FSR 0606,13.2
066.95700,+30.94500,0381,Czernik 18,16.8
