Constellation,Complex,Cloud,id,alpha,delta,Area (deg square),diameter,minorAxis,posAngle,axisRatio
Pegasus,1,1,MBM 1,2.644901,20.628152,,30,30,0,1
Pisces,2,2,MBM 2,9.398656,10.441579,0.6,26,80,0,0.33
Pisces,3,3,MBM 3,18.942251,16.797165,,345,140,0,2.46
Pisces,3,4,MBM 4,20.61979,16.927787,,70,40,0,1.75
Aries,4,5,MBM 5,27.990622,11.063251,,460,120,0,3.83
Aries,5,6,MBM 6,30.968008,20.389559,,1,1,0,1
Aries,6,7,MBM 7,35.598414,19.894005,1.2,240,78,135,3.08
Aries,6,8,MBM 8,36.296201,18.89203,0.2,30,20,0,1.5
Aries,7,9,MBM 9,36.549926,11.891284,,70,30,0,2.33
Eridanus,8,10,MBM 10,41.653744,-3.590957,,1,1,0,1
Aries,9,11,MBM 11,42.781896,19.538811,0.1,20,20,0,1
Aries,9,12,MBM 12,44.208669,19.534074,3.8,45,45,0,1
Aries,9,13,MBM 13,44.850645,17.198556,0.1,20,20,0,1
Aries,10,14,MBM 14,47.965152,20.021018,,320,250,0,1.28
Eridanus,11,15,MBM 15,48.156107,-9.396493,0.1,1,1,0,1
Aries,12,16,MBM 16,50.105345,10.679823,4.8,192,156,0,1.23
Taurus,13,17,MBM 17,55.203716,21.243642,,30,30,0,1
Aries,14,18,MBM 18,60.595812,1.304726,2.6,130,100,0,1.3
Taurus,15,19,MBM 19,63.995838,6.973527,0.1,20,0.6,90,33.33
Eridanus,16,20,MBM 20,68.824628,-14.231445,1.3,120,16,0,7.5
Eridanus,17,21,MBM 21,75.448132,-8.928629,0.1,20,20,0,1
Eridanus,17,22,MBM 22,76.126208,-8.265145,0.1,1,1,0,1
Lynx,18,23,MBM 23,113.986825,46.688868,0.1,0.8,0.7,0,1.14
Lynx,18,24,MBM 24,114.457701,46.353432,0.2,0.5,0.5,0,1
Lynx,19,25,MBM 25,121.187706,45.857706,0.3,70,36,150,1.94
Ursa Major,20,26,MBM 26,121.763742,60.572343,0.7,75,54,5,1.39
Ursa Major,21,27,MBM 27,132.259088,72.615187,0.2,22,22,0,1
Ursa Major,21,28,MBM 28,134.472338,72.273891,0.4,85,15,0,5.67
Ursa Major,21,29,MBM 29,136.51495,71.266761,0.2,45,32,45,1.41
Ursa Major,22,30,MBM 30,142.179296,70.415162,3.2,85,56,175,1.52
