id,alpha,delta,diameter,Common name
SDN 101,112.69033,-46.989917,2.959,
SDN 102,108.542647,-48.471083,2.701,
SDN 103,113.517464,-46.943615,2.701,God's Hand
SDN 104,115.749831,-49.236865,10.32,
SDN 105,114.665823,-49.848778,1.208,
SDN 106,111.895952,-51.069775,1.708,
SDN 107,113.077169,-50.758405,1.208,
SDN 108,118.270592,-50.28114,4.832,
SDN 109,125.32352,-49.626922,7.639,
SDN 110,126.618012,-50.665371,1.208,
SDN 111,126.413714,-51.031246,2.701,
SDN 112,126.639674,-51.015462,1.208,
SDN 113,128.553505,-50.28949,1.208,
SDN 114,138.326336,-45.607258,4.006,
SDN 115,140.608479,-45.831155,3.196,
SDN 116,141.56606,-45.200748,2.701,
SDN 117,142.442907,-45.453383,2.701,
SDN 118,143.972627,-45.67452,7.639,
SDN 119,141.801495,-51.168193,4.355,
SDN 120,142.167022,-52.602641,2.959,
SDN 121,146.62565,-51.065272,4.184,
SDN 122,158.682749,-46.608937,4.98,
SDN 123,160.829466,-60.262649,2.959,
SDN 124,164.993014,-63.735337,5.125,
SDN 125,166.793903,-62.087492,3.416,
SDN 126,167.246998,-62.271328,4.52,
SDN 127,168.590008,-60.872713,2.959,
SDN 128,167.764776,-64.555223,5.917,
SDN 129,172.040471,-62.158939,5.666,
SDN 130,173.623109,-64.559936,3.416,
SDN 131,177.518572,-58.561483,3.82,
SDN 132,162.603582,-77.082215,4.184,Chamaeleon 1 a
SDN 133,164.056555,-77.117572,5.402,Chamaeleon 1 b
SDN 134,167.385356,-76.538229,4.98,Chamaeleon 1 c
SDN 135,166.597667,-77.554043,29.882,Chamaeleon 1 d
SDN 136,180.467149,-65.161819,5.125,
SDN 137,181.351384,-65.278442,4.832,
SDN 138,174.612152,-75.277136,4.184,Anteater Nebula
SDN 139,186.052929,-66.193778,3.624,Anteater Nebula
SDN 140,187.088169,-65.909903,2.959,Anteater Nebula
SDN 141,185.467568,-72.277387,6.939,Dark Doodad h
SDN 142,187.788211,-63.742815,8.369,
SDN 143,186.251525,-71.743691,7.247,Dark Doodad g
SDN 144,189.048437,-63.208626,2.416,
SDN 145,187.870688,-71.059446,10.249,Dark Doodad f
SDN 146,188.907279,-70.642081,5.666,Dark Doodad e
SDN 147,189.305427,-69.508452,4.184,Dark Doodad c
SDN 148,189.941165,-65.407947,2.092,
SDN 149,189.359323,-70.02508,2.701,Dark Doodad a
SDN 150,190.734709,-62.090607,5.125,
SDN 151,190.270126,-69.874359,2.416,Dark Doodad d
SDN 152,191.886088,-69.256243,2.416,Dark Doodad b
SDN 153,192.717353,-76.905469,7.043,Chamaeleon cloud complex a
SDN 154,193.334537,-77.138159,7.545,Chamaeleon cloud complex b
SDN 155,193.607621,-61.554431,4.52,
SDN 156,194.764271,-77.169878,10.53,Chamaeleon cloud complex c
SDN 157,194.215087,-61.987078,3.82,
SDN 158,196.275933,-77.401328,6.159,Chamaeleon cloud complex d
SDN 159,196.61683,-77.71755,6.276,Chamaeleon cloud complex e
SDN 160,196.724804,-77.017392,4.52,Chamaeleon cloud complex f
SDN 161,195.3477,-61.569047,11.202,
SDN 162,195.395859,-61.152319,9.119,
SDN 163,199.458625,-57.663207,5.402,
SDN 164,213.025505,-57.551313,6.159,
SDN 165,222.14044,-65.274865,4.184,
SDN 166,223.523954,-63.736977,2.701,
SDN 167,216.501953,-55.358454,3.196,
SDN 168,263.244995,-76.570437,4.355,
SDN 169,225.024109,-63.115267,11.267,
SDN 170,226.960165,-64.408623,8.876,
SDN 171,225.632117,-63.346532,7.043,
SDN 172,228.288376,-62.687187,41.104,
SDN 173,231.731838,-61.057784,7.247,
SDN 174,231.324337,-59.042594,4.832,
SDN 175,229.745355,-50.43161,8.626,
SDN 176,231.748973,-50.007457,2.959,
SDN 177,235.563289,-52.576029,3.416,
SDN 178,243.46791,-52.893172,3.196,
SDN 179,241.592258,-45.951058,4.355,
SDN 180,243.248361,-46.193966,4.678,
SDN 181,240.76809,-43.287832,4.006,
SDN 182,249.437976,-48.883279,6.505,
SDN 183,252.235343,-50.437194,3.416,
SDN 184,250.013745,-48.84733,6.725,
SDN 185,254.641534,-50.609361,3.624,
SDN 186,254.15425,-49.594941,4.184,
SDN 187,248.247822,-44.971896,5.917,
SDN 188,248.649293,-45.053424,4.98,
SDN 189,250.334116,-45.7958,12.259,
SDN 190,251.692713,-46.456261,1.208,
SDN 191,251.487909,-45.990525,4.52,
SDN 192,252.190935,-46.187294,5.402,
SDN 193,270.760887,-46.665251,1.708,
SDN 194,266.588853,-44.518793,3.196,
SDN 195,266.981437,-43.71687,3.196,
