id,alpha,delta,diameter,constellation,catalog,sharpless,gum,rcw
Sh 2-17,266.176125,-28.7901111111111,25,Sagittarius,Sharpless,17,,138
Sh 2-18,267.247458333333,-29.2650277777778,4,Sagittarius,Sharpless,18,,139
Sh 2-19,267.017833333333,-29.1326666666667,12,Sagittarius,Sharpless,19,,140
Sh 2-20,266.906458333333,-28.6863611111111,20.6,Sagittarius,Sharpless,20,,141
Sh 2-21,267.594333333333,-28.8755,5,Sagittarius,Sharpless,21,,142
LBN 9,266.427416666667,-26.2202222222222,32.06,Sagittarius,LBN,,,
RCW 143,266.437208333333,-24.8552777777778,7,Sagittarius,RCW,,,143
Sh 2-23,243.348916666667,-8.35713888888889,50,Scorpius,Sharpless,23,,
Sh 2-22,268.670166666667,-24.8865,78.76,Sagittarius,Sharpless,22,71,144
Sh 2-24,242.7665,-7.05961111111111,30,Ophiuchus,Sharpless,24,,
GMN 1,265.920291666667,-22.0866388888889,30.06,Sagittarius,GMN,,,
Sh 2-27,248.950666666667,-10.9051944444444,594.12,Ophiuchus,Sharpless,27,73,
Sh 2-25,271.0935,-24.3318055555556,90,Sagittarius,Sharpless,25,72,146a
Sh 2-26,269.589208333333,-23.4330555555556,20,Sagittarius,Sharpless,26,,
BFS 1,270.487458333333,-23.6855833333333,2,Sagittarius,BFS,,,
RCW 146,271.509833333333,-24.1969444444444,141.94,Sagittarius,RCW,,,146
Sh 2-28,270.149,-23.3585,40,Sagittarius,Sharpless,28,74a,145
Gum 74b,271.180791666667,-23.5459444444444,38.9,Sagittarius,Gum,,74b,146b
Gum 75,272.325791666667,-24.0108611111111,30.7,Sagittarius,Gum,,75,146c
Sh 2-29,272.341791666667,-23.9331111111111,44.72,Sagittarius,Sharpless,29,,
Sh 2-30,270.601333333333,-23.0398611111111,20,Sagittarius,Sharpless,30,76,147
Sh 2-31,272.541208333333,-23.7861388888889,8,Sagittarius,Sharpless,31,,
Sh 2-32,272.439791666667,-23.64375,8,Sagittarius,Sharpless,32,,
