id,alpha,delta,diameter
Sh 2-171,1.17545,67.14496,180
Sh 2-172,3.87181,61.24446,1
Sh 2-173,5.4616,61.72722,30
Sh 2-175,6.83171,64.69321,2
Sh 2-176,7.92248,57.2759,10
Sh 2-177,7.9364,62.69256,2
BFS 20,8.65939,69.44208,1
Sh 2-179,10.10702,62.85764,1
BFS 21,10.83068,61.90703,1
Sh 2-180,12.20162,62.92241,15
Sh 2-181,12.3145,65.20564,15
Sh 2-182,12.56441,64.73872,2
Sh 2-184,13.20904,56.6047,40
Sh 2-183,13.50472,65.70439,35
Sh 2-185,14.99156,60.98599,120
Sh 2-186,17.19857,63.13311,1
Sh 2-187,20.77064,61.84427,10
Sh 2-188,22.66089,58.35759,9
BFS 22,31.55442,69.02177,2
Sh 2-189,33.02339,64.16793,2
BFS 23,35.58245,59.91097,2
Sh 2-190,38.35313,61.43635,150
Sh 2-191,39.16135,59.63389,2
BFS 24,39.66655,64.03245,20
Sh 2-195,40.01659,59.61461,3
Sh 2-197,40.46945,59.61321,5
Sh 2-192,41.8094,61.9757,1
Sh 2-194,41.83385,61.92562,2
Sh 2-193,41.88515,61.99212,2
Sh 2-198,42.5081,59.69007,9
Sh 2-196,42.92032,62.20545,4
Sh 2-199,43.62432,60.40309,120
BFS 25,44.21673,58.90109,2
Sh 2-201,45.78861,60.47912,5
BFS 27,46.69635,56.77589,90
BFS 26,46.86417,58.50867,4
Sh 2-200,47.66115,62.80597,6
BFS 30,49.59692,54.08211,3
Sh 2-202,49.69892,59.63186,170
Sh 2-203,50.49287,54.87882,45
BFS 31,51.21781,54.95945,2
BFS 29,52.46073,58.8715,30
BFS 28,52.5148,59.70465,20
BFS 32,57.90559,51.49979,1.5
BFS 35,58.64551,42.09659,3
Sh 2-204,58.93582,57.42904,40
Sh 2-205,59.03215,53.1952,120
BFS 36,58.98023,42.17854,3
BFS 37,59.83037,41.94167,3
BFS 33,59.99205,51.55784,1.5
BFS 38,59.94729,41.94118,3
BFS 39,60.21125,42.05675,3
BFS 41,60.25212,41.93991,3
Sh 2-220,60.31776,36.40622,320
Sh 2-206,60.79196,51.32114,50
Sh 2-245,60.63273,4.12126,720
BFS 34,61.79998,51.40021,5
Sh 2-209,62.77101,51.16271,14
Sh 2-215,64.39514,42.60552,2
Sh 2-208,64.94781,52.96999,1
Sh 2-213,65.16607,44.91885,1
Sh 2-214,65.38675,44.36787,4
Sh 2-238,65.50492,19.5337,1
BFS 42,66.99087,46.32748,8
Sh 2-222,67.54656,35.25815,6
Sh 2-210,67.75001,52.5409,20
Sh 2-239,67.8244,18.1067,5
Sh 2-251,68.2168,5.85482,35
Sh 2-211,69.23408,50.88418,2
BFS 40,69.60246,48.66579,2
Sh 2-212,70.13125,50.46344,5
Sh 2-250,70.0488,7.29654,10
Sh 2-216,71.24514,46.80826,80
BFS 44,72.91107,45.5839,5
BFS 43,73.73522,46.66343,15
Sh 2-260,73.79186,5.6626,22
Sh 2-219,74.05553,47.39529,3
Sh 2-217,74.68761,47.99236,9
Sh 2-246,75.53294,14.08788,65
Sh 2-262,76.69465,6.16566,20
BFS 45,77.51705,38.82886,0.5
Sh 2-226,77.75243,37.98606,3
Sh 2-228,78.37382,37.44144,8
Sh 2-229,79.07766,34.45471,65
Sh 2-227,79.96166,38.95057,20
Sh 2-278,79.93836,-5.64988,50
Sh 2-263,80.43095,8.39791,22
Sh 2-230,80.62636,34.13064,300
Sh 2-236,80.64607,33.36387,55
Sh 2-225,81.75133,40.6087,10
Sh 2-234,82.02917,34.42392,12
Sh 2-276,81.87142,-3.95913,1200
Sh 2-237,82.90333,34.24471,7
Sh 2-264,83.81393,9.93167,390
Sh 2-281,83.7391,-5.45148,60
Sh 2-279,83.84234,-4.7853,20
Sh 2-233,84.7157,35.861,2
Sh 2-231,84.84111,35.91039,12
Sh 2-243,84.8347,23.2769,6
Sh 2-218,85.32249,52.1751,70
BFS 47,85.20605,35.65862,0.7
BFS 46,85.22297,35.69187,0.3
Sh 2-235,85.26575,35.84167,10
Sh 2-277,85.17869,-2.44174,120
Sh 2-232,85.61844,36.18997,40
BFS 50,87.56344,23.84702,0.3
BFS 48,87.82455,25.72911,0.5
Sh 2-242,87.95733,27.01182,7
BFS 49,90.49553,26.41615,0.5
Sh 2-241,91.0279,30.24695,10
Sh 2-268,92.55648,13.32263,60
Sh 2-247,92.12581,21.60816,9
Sh 2-252,92.41956,20.49006,40
Sh 2-270,92.55383,12.80597,1
Sh 2-265,92.55648,13.32263,70
Sh 2-259,92.90296,17.43767,2
Sh 2-254,93.08116,18.03681,11
Sh 2-256,93.15562,17.93645,1
Sh 2-257,93.20579,17.96954,3
Sh 2-255,93.28078,17.96918,3
Sh 2-258,93.3805,17.91869,1
Sh 2-269,93.63397,13.81741,4
BFS 52,93.68641,19.01722,1
Sh 2-271,93.72655,12.36694,2
Sh 2-272,93.77646,12.35004,1
BFS 51,94.68971,23.36242,10
Sh 2-266,94.71646,15.27885,1
Sh 2-249,95.23382,23.07644,80
Sh 2-253,96.44152,20.02056,5
Sh 2-275,97.93946,4.92982,100
Sh 2-280,98.57783,2.52672,40
Sh 2-282,99.49782,1.48895,35
Sh 2-283,99.61906,0.70503,3
Sh 2-273,100.21357,9.90229,250
Sh 2-304,100.8682,-24.11792,200
BFS 53,101.14609,1.13106,2
Sh 2-284,101.2668,0.23048,80
Sh 2-289,101.48061,-7.32063,11
BFS 54,101.72195,1.31165,3
BFS 60,102.48753,-7.64209,1
Sh 2-303,103.50396,-22.41376,90
Sh 2-308,103.5455,-23.93064,35
Sh 2-286,103.64426,-4.53087,6
Sh 2-285,103.81337,-0.49829,1
Sh 2-291,103.85262,-8.01523,8
BFS 55,104.31494,-2.81735,25
BFS 63,104.31366,-8.33407,10
BFS 61,104.51978,-7.93504,1
BFS 56,104.8181,-3.91973,0.3
BFS 57,104.82187,-4.00308,1
BFS 59,104.85812,-4.26992,3
Sh 2-287,104.89317,-4.78676,12
BFS 62,104.92473,-7.78694,2
BFS 64,105.14048,-8.85464,5
BFS 58,105.22678,-3.85499,3
Sh 2-293,105.43702,-11.30606,11
Sh 2-295,105.66134,-11.45711,8
Sh 2-292,106.11639,-10.44256,21
Sh 2-297,106.30728,-12.32681,7
Sh 2-296,106.43775,-11.21074,200
Sh 2-288,107.14574,-4.29729,1
Sh 2-301,107.45196,-18.46554,9
Sh 2-310,108.26976,-24.56941,480
Sh 2-294,109.14698,-9.43994,7
Sh 2-298,109.60405,-13.22541,22
Sh 2-305,112.52951,-18.52209,4
Sh 2-306,112.65166,-19.10598,30
Sh 2-299,112.67045,-15.28936,1
Sh 2-300,112.76994,-15.40647,3
Sh 2-302,112.9124,-16.97379,21
Sh 2-309,113.0253,-19.42433,12
Sh 2-307,113.87927,-18.7448,6
Sh 2-311,118.09354,-26.43,45
Sh 2-312,134.79556,-25.67856,720
Sh 2-1,239.70773,-26.1087,150
