id,alpha,delta,diameter,magnitude
C 1,11.1,85.3333,15,7.1
C 2,3.25,72.5333,0.6,12.3
C 3,184.175,69.4667,19.6,9.6
C 4,315.45,68.2,10,7.7
C 5,56.7,68.1,16.1,7.9
C 6,269.65,66.6333,0.5,8.1
C 7,114.225,65.6,23.8,7.3
C 8,22.375,63.3,7,9.5
C 9,344.2,62.6167,50,10
C 10,26.5,61.25,15,6.7
C 11,350.175,61.2,15,10
C 12,308.7,60.15,11.2,8.8
C 13,19.775,58.3333,20,6.4
C 14,35,57.1333,60,4.5
C 15,296.2,50.5167,0.5,8.5
C 16,333.825,49.8833,30,6.4
C 17,8.3,48.5,17.8,9.5
C 18,9.75,48.3333,17,9.2
C 19,328.375,47.2667,10,9.3
C 20,314.7,44.3333,100,3.8
C 21,187.05,44.1,5.4,9.6
C 22,351.475,42.55,0.5,8.3
C 23,35.65,42.35,12.2,9.9
C 24,49.95,41.5167,3.2,11.9
C 25,114.525,38.8833,4.6,10.4
C 26,184.375,37.8167,15.8,10.4
C 27,303,38.35,18,8.8
C 28,29.45,37.6833,75,5.7
C 29,197.725,37.05,5.6,9.8
C 30,339.275,34.4167,9.7,9.5
C 31,79.05,34.2667,30,9.2
C 32,190.525,32.5333,14.7,9.2
C 33,314.1,31.7167,60,7.5
C 34,311.425,30.7167,70,7.9
C 35,195.025,27.9833,2.8,11.535
C 36,189,27.9667,11.3,10
C 37,303,26.4833,20,8.1
C 38,189.075,25.9833,16.2,9.6
C 39,112.3,20.9167,0.7,9.2
C 40,170.025,18.35,3,11
C 41,66.75,16,330,0.5
C 42,315.375,16.1833,3.6,10.6
C 43,0.825,16.15,5.5,10.6
C 44,346.225,12.3167,3.9,10.8
C 45,204.375,8.8833,6.1,10.3
C 46,99.8,8.7333,3.5,10
C 47,308.55,7.4,7.1,8.8
C 48,137.575,7.0333,4.6,10.1
C 49,98.075,5.05,80,5
C 50,98.1,4.8667,30,4.4
C 51,16.2,2.1167,18.8,9.2
C 52,192.15,-5.8,7.1,9
C 53,151.3,-7.7167,7,8.9
C 54,120.05,-10.7833,12,7.6
C 55,316.05,-11.3667,1,8
C 56,11.75,-11.8833,4.6,10.9
C 57,296.225,-14.8,15,7.9
C 58,109.45,-15.6167,14,7
C 59,156.2,-18.6333,0.5,7.3
C 60,180.475,-18.8667,11.2,10.5
C 61,180.475,-18.8833,9.8,11.2
C 62,11.775,-20.7667,22,8.9
C 63,337.4,-20.8,12,6
C 64,109.7,-24.95,6,4.1
C 65,11.9,-25.2833,25.8,7.1
C 66,219.9,-26.5333,4.3,10.2
C 67,41.575,-30.2833,9.8,9.2
C 68,285.475,-36.95,1.3,9.5
C 69,258.425,-37.1,0.8,9.6
C 70,13.725,-37.6833,20,7.2
C 71,118.075,-38.55,20,5.8
C 72,3.725,-39.1833,34,7.5
C 73,78.525,-40.05,12,7.1
C 74,151.925,-40.4333,0.8,9.2
C 75,246.4,-40.6667,40,5.3
C 76,253.5,-41.8,14,2.6
C 77,201.375,-43.0167,16.7,6.6
C 78,272,-43.7,15,6.3
C 79,154.4,-46.4167,20,6.7
C 80,201.7,-47.4833,55,3.9
C 81,261.375,-48.4167,9,7.8
C 82,250.325,-48.7667,14,4.8
C 83,196.35,-49.4667,18.6,8.8
C 84,206.6,-51.3667,11,7.2
C 85,130.05,-53.0667,60,2.8
C 86,265.175,-53.6667,31,5.3
C 87,48.075,-55.2167,6.8,8.3
C 88,226.425,-55.6,12,7.9
C 89,244.725,-57.9,15,5.2
C 90,140.35,-58.3167,0.2,9.7
C 91,166.6,-58.6667,50,3.2
C 92,160.95,-59.8667,120,4.5
C 93,287.725,-59.9833,29,5.4
C 94,193.4,-60.3333,10,4.2
C 95,240.925,-60.5,15,5.5
C 96,119.575,-60.8667,22,3.5
C 97,174.025,-61.6167,15,5.3
C 98,190.575,-62.9667,6,6.9
C 99,193.25,-63,420,--
C 100,174.15,-63.0333,15,4.5
C 101,287.45,-63.85,20.8,8.6
C 102,160.8,-64.4,100,1.9
C 103,84.675,-69.1,30,4
C 104,15.8,-70.85,14,6.4
C 105,194.9,-70.8833,13.5,8.4
C 106,6.025,-72.0833,50,3.95
C 107,246.45,-72.2,10.7,9.2
C 108,186.45,-72.6667,5,7.2
C 109,152.375,-80.8667,0.6,11.6
