id,alpha,delta,diameter
Ced 19g,56.4848,24.0634,400
Ced 128,243.0038,-19.4591,195
Ced 195a,339.9521,57.5214,180
Ced 26,60.8598,36.4114,157
Ced 18b,56.0682,32.2838,150
Ced 122,201.1735,-64.0222,150
Ced 195b,340.811,57.8076,150
Ced 41a,76.7115,-7.2329,149
Ced 19b,55.4613,21.8215,135
Ced 130,245.2954,-25.5894,130
Ced 132,247.3588,-26.4379,126
Ced 131b,246.3997,-23.4463,124
Ced 8,40.9897,63.4265,120
Ced 19a,54.7142,22.3274,120
Ced 109a,161.2709,-59.6592,120
Ced 183d,329.8047,44.4121,120
Ced 190,333.1673,60.0783,100
Ced 152a,270.9333,-24.3817,90
Ced 183c,327.8384,44.4688,85
Ced 137,254.25,-40.3333,83
Ced 193,338.3342,-0.6515,75
Ced 182b,329.1527,31.792,73
Ced 182a,326.4714,30.8279,70
Ced 125a,237.7547,-25.7533,67
Ced 55d,83.8283,-5.3842,66
Ced 118,173.9561,-63.0199,66
Ced 76b,98.0787,4.9281,64
Ced 9a,42.8303,60.4313,60
Ced 55n,85.2571,-2.4145,60
Ced 60,89.1539,32.0328,60
Ced 84b,100.2519,9.8908,60
Ced 134,247.7803,-26.0508,60
Ced 215,1.1942,68.5568,60
Ced 7,38.0177,61.4776,50
Ced 55h,84.0438,-1.2027,50
Ced 125c,238.4695,-24.5474,47
Ced 161,275.1922,-16.1733,46
Ced 163,277.8616,-10.7972,44
Ced 183b,327.5795,42.6341,43
Ced 55e,83.8586,-4.8345,42
Ced 45,81.2915,6.3574,40
Ced 44,80.4615,8.4321,39
Ced 159,274.7173,-13.7777,35
Ced 125b,238.4021,-25.3313,34
Ced 137b,253.2073,-40.4689,34
Ced 106a,127.2754,-44.1673,33
Ced 55p,85.4626,-1.8498,31
Ced 14,52.3967,58.8807,30
Ced 19f,56.4628,24.3803,30
Ced 19j,56.5823,23.7793,30
Ced 42,79.077,34.3134,30
Ced 54,83.7772,9.9337,30
Ced 56,84.3819,32.4291,30
Ced 133,247.4949,-25.1533,30
Ced 203,334.2421,56.1829,30
Ced 213,359.4154,52.79,30
Ced 67a,92.4137,20.4838,29
Ced 151,270.6677,-23.0342,29
Ced 38,70.0056,25.7307,28
Ced 73,94.4893,22.7804,27.5
Ced 3,13.3129,56.5934,27
Ced 6c,36.7139,62.0684,27
Ced 19l,56.8611,24.1104,27
Ced 106c,127.3424,-44.7179,27
Ced 214b,1.1677,67.1568,25
Ced 176c,319.0777,41.9177,24.5
Ced 43,80.643,33.5151,23
Ced 127,243.0658,-27.9256,23
Ced 78,97.8036,10.0144,22.5
Ced 106o,131.4983,-46.0326,22
Ced 129b,245.0127,-20.0417,22
Ced 129c,245.1387,-20.1239,22
Ced 19e,56.3134,24.4815,21
Ced 19d,56.2347,24.1155,20
Ced 136b,250.3235,-48.7627,19
Ced 4a,14.3654,61.0912,18
Ced 106i,129.5795,-43.0682,18
Ced 106l,130.476,-45.4084,18
Ced 137a,253.0795,-41.8536,18
Ced 179,318.1848,38.5118,18
Ced 187,315.4634,68.1625,18
Ced 206,341.7487,57.8772,18
Ced 89c,106.2802,-10.7006,16.5
Ced 157d,274.4047,-19.6644,16.5
Ced 19c,56.2114,24.299,16
Ced 55i,84.1152,-6.7204,16
Ced 106n,131.1625,-41.2799,16
Ced 214a,0.6051,67.1568,16
Ced 108,159.3551,-58.6195,15.5
Ced 116,172.2265,-62.6511,15.5
Ced 173,299.9899,35.2744,15.5
Ced 191,334.5352,58.6675,15.5
Ced 210,350.1755,61.1977,15.5
Ced 19h,56.4896,24.5634,15
Ced 101,114.1155,-25.3229,15
Ced 129a,244.7642,-20.2272,15
Ced 186,330.2901,54.6481,15
Ced 208,346.2941,60.2397,15
Ced 106d,127.4141,-41.5183,14.5
Ced 55f,83.8483,-5.9011,14
Ced 46,82.0327,34.4518,13
Ced 5,26.8711,59.7837,12
Ced 35,67.5663,35.2865,12
Ced 198,343.5054,47.3323,12
Ced 55s,86.5804,-0.0106,11.5
Ced 106j,130.1548,-46.656,11.5
Ced 201,333.3631,70.2464,11.5
Ced 4b,15.0748,60.8395,11
Ced 15,52.0783,29.8314,11
Ced 19o,57.2867,24.057,11
Ced 55k,84.6367,-7.0754,11
Ced 90,106.3143,-12.3343,10.5
Ced 20,56.1421,32.1665,10
Ced 55o,85.4089,-2.2327,10
Ced 100,112.4623,-23.0247,10
Ced 145,263.3981,-37.1056,10
Ced 176f,322.193,40.0536,10
Ced 184,327.749,56.9021,10
Ced 209,348.3925,61.511,10
Ced 154e,272.4519,-23.8336,9.5
Ced 16,52.3199,31.3796,9
Ced 154d,272.45,-23.6669,9
Ced 181,323.5904,45.7621,9
Ced 185,329.0919,47.5086,9
Ced 33,66.7785,26.0764,8
Ced 34,66.8205,22.9925,8
Ced 40,76.7235,-3.3495,8
Ced 47,82.2031,12.5656,8
Ced 55m,85.241,-1.4977,8
Ced 55u,86.6811,0.0551,8
Ced 93,107.3534,-18.4776,8
Ced 94b,109.3828,-13.2128,8
Ced 117,172.6008,-63.8182,8
Ced 154f,272.4802,-24.1167,8
Ced 194,339.5404,68.2536,8
Ced 55t,86.6316,0.1056,7.5
Ced 196,341.0424,66.1752,7.5
Ced 150,266.1514,-33.7454,7
Ced 160a,274.9155,-16.0093,6.5
Ced 160b,275.0405,-16.008,6.5
Ced 167,291.539,22.7496,6.5
Ced 168,292.6124,18.1924,6.5
Ced 6a,36.7139,62.0684,6
Ced 10,42.9294,58.3138,6
Ced 21,56.1691,32.333,6
Ced 52,83.3495,-0.6127,6
Ced 53,83.6288,22.019,6
Ced 65,92.02,-6.2304,6
Ced 176d,321.1612,42.3974,6
Ced 31,65.4772,28.4546,5.5
Ced 74,95.12,23.291,5.5
Ced 96a,109.8975,-24.0347,5.5
Ced 96c,110.0219,-24.1025,5.5
Ced 12,51.345,31.737,5
Ced 19k,56.656,23.6287,5
Ced 55j,84.2031,-0.2376,5
Ced 55l,85.0663,-1.4626,5
Ced 77,97.733,10.4484,5
Ced 80,98.18,10.1607,5
Ced 96b,109.9472,-24.0685,5
Ced 115,172.0969,-62.9842,5
Ced 157a,274.0811,-19.7842,5
Ced 55q,85.733,-2.3191,4.5
Ced 55v,86.7835,0.3041,4.5
Ced 103,118.1122,-26.3913,4.5
Ced 152b,272.0024,-23.8713,4.5
Ced 9c,43.3885,60.4777,4
Ced 13,51.4622,30.9361,4
Ced 28,62.3193,30.6487,4
Ced 67c,92.7152,20.6142,4
Ced 81,98.2817,10.3264,4
Ced 142,261.1783,-34.1933,4
Ced 157c,274.3305,-19.7318,4
Ced 176e,321.2861,42.4815,4
Ced 37,70.1086,50.4481,3.5
Ced 157b,274.2571,-19.8825,3.5
Ced 1,3.3373,65.6062,3
Ced 25,60.8293,51.3127,3
Ced 49,82.8556,34.2439,3
Ced 61,91.1337,30.4968,3
Ced 66,92.0187,-6.3637,3
Ced 68,92.369,-6.3338,3
Ced 75,95.7058,5.1344,3
Ced 87,101.7189,1.3264,3
Ced 123,203.3525,-65.9646,3
Ced 212,356.2433,69.7552,3
Ced 70,92.7703,-6.2043,2.5
Ced 36,67.5941,35.4863,2
Ced 62,91.9191,18.6885,2
Ced 112,167.4426,-76.6095,2
Ced 139,258.4414,-37.103,2
Ced 169,294.8202,20.2122,2
Ced 189,333.176,47.8447,2
Ced 149,264.6511,-23.9093,1.5
Ced 211,355.9436,-15.2783,1.5
Ced 6b,35.5177,-61.1614,1
Ced 11,46.5832,60.6729,1
Ced 30,64.748,28.2277,1
Ced 63,91.8934,-6.3958,1
Ced 69,92.6953,-6.2036,1
Ced 71,92.9458,-6.156,1
Ced 72,93.3113,17.9749,1
Ced 166,286.9161,4.3396,1
Ced 175a,301.1893,29.2508,1
Ced 175b,301.1893,29.2508,1
Ced 57,84.4511,31.995,0.7
Ced 19i,56.5571,23.7629,0.5
Ced 121,177.594,-64.8895,0.5
Ced 170,295.6172,23.0861,0.5
Ced 175c,301.1893,29.2508,0.5
Ced 119,174.0922,-61.27,0.3
Ced 2,5.0953,56.5885,
Ced 9b,43.2362,60.462,
Ced 9d,43.3908,60.561,
Ced 17,52.8506,43.9095,
Ced 18a,54.738,32.2443,
Ced 19m,56.8912,24.6269,
Ced 19n,57.0217,22.5591,
Ced 19p,57.3127,24.1568,
Ced 22,57.5774,25.588,
Ced 19q,58.2315,23.2993,
Ced 23,58.4287,32.498,
Ced 24,58.3804,25.6815,
Ced 27,61.6589,27.6209,
Ced 29,63.52,25.9215,
Ced 32a,65.4331,19.5213,
Ced 32b,65.4831,19.5208,
Ced 32c,65.5083,19.5373,
Ced 39,70.7985,27.1902,
Ced 41b,76.7115,-7.2329,
Ced 48,82.7504,30.1446,
Ced 50,83.0045,30.4422,
Ced 51,82.8742,12.1592,
Ced 55a,83.7015,-5.5663,
Ced 55b,83.7596,-4.7335,
Ced 55c,83.8101,-4.684,
Ced 55g,83.8794,-5.268,
Ced 58,86.2576,12.8932,
Ced 59,86.3442,9.0755,
Ced 55r,86.3003,2.0422,
Ced 64,92.1884,15.8024,
Ced 67b,92.463,20.4166,
Ced 76a,97.6549,5.0489,
