id,alpha,delta,diameter
Cr 1,6.3225,61.321944,5
Cr 2,7.475417,60.209722,21
Cr 3,7.820417,63.352778,7
Cr 4,7.877917,61.509444,1.2
Cr 5,8.26625,63.309167,6
Cr 6,11.87375,85.241389,13
Cr 7,10.884583,61.790278,12
Cr 8,13.247083,56.621944,30
Cr 9,16.607917,62.228889,3
Cr 10,17.062083,61.583333,6
Cr 11,18.990417,58.817222,5
Cr 12,19.885833,58.290833,13
Cr 13,22.37125,63.308333,4.4
Cr 14,23.340833,60.658056,6
Cr 15,23.925,61.283333,7.4
Cr 16,24.09875,64.536667,3
Cr 17,25.762917,64.036667,3.5
Cr 18,25.9975,61.882778,5
Cr 19,26.095833,60.669167,5
Cr 20,26.566667,61.218333,16
Cr 21,27.55,27.083333,7
Cr 22,29.624583,55.474722,11
Cr 23,29.449583,37.85,50
Cr 24,34.765833,57.135,29
Cr 25,35.63375,57.144167,29
Cr 26,38.175,61.45,22
Cr 27,38.12875,44.593611,7
Cr 28,38.329167,57.569722,11
Cr 29,39.325,55.983333,20
Cr 30,40.64625,61.594444,20
Cr 31,40.530833,42.746111,35
Cr 32,42.8,60.433333,12
Cr 33,44.825,60.4,39
Cr 34,45.225,60.416667,25
Cr 35,46.482083,44.383056,1.5
Cr 36,47.95,63.25,23
Cr 37,47.919583,53.348333,2
Cr 38,48.672917,47.238889,10
Cr 39,50.5,49,185
Cr 40,52.917083,37.374444,14
Cr 41,56.125,32.283333,7
Cr 42,56.75,24.116667,110
Cr 43,57.345417,52.662222,4
Cr 44,61.132917,52.661389,6
Cr 45,61.955417,62.331667,7
Cr 46,62.477917,49.517222,9
Cr 47,63.82875,51.211389,23
Cr 48,64.75,58.3,6
Cr 49,65.234583,50.255278,18
Cr 50,66.75,16,330
Cr 51,68,43.848056,37
Cr 52,68.72625,45.269722,5
Cr 53,70.152083,50.461667,5
Cr 54,71.481667,19.111667,45
Cr 55,72.120417,10.930278,20
Cr 56,72.785,43.674444,18
Cr 57,75.959167,23.767778,42
Cr 58,77.02375,37.022778,6
Cr 59,77.67125,16.531111,17
Cr 60,78.109583,16.684167,16
Cr 61,80.022917,39.343611,5
Cr 62,80.625,41,28
Cr 63,80.687917,33.420278,11
Cr 64,81.475833,46.490278,2.5
Cr 65,81.270833,15.699722,220
Cr 66,82.01875,35.325556,6
Cr 67,82.177083,35.855,21
Cr 68,82.8575,34.245,4
Cr 69,83.87,9.941111,70
Cr 70,83.9,-1.083333,140
Cr 71,84.07375,34.140833,12
Cr 72,83.857917,-5.909722,14
Cr 73,83.79,-4.425,25
Cr 74,87.125,7.4,5
Cr 75,88.07625,32.553056,23
Cr 76,88.438333,0.410833,11
Cr 77,90.277083,23.322222,6
Cr 78,90.6375,49.865833,6
Cr 79,90.729583,10.446389,10
Cr 80,91.25,24,6
Cr 81,91.856667,24.096111,5
Cr 82,92.232917,24.357778,28
Cr 83,92.10125,13.964722,6
Cr 84,92.415,20.4875,40
Cr 85,93.029583,5.458611,4
Cr 86,93.8225,39.855278,5
Cr 87,93.44125,12.806667,10
Cr 88,93.884167,-18.665833,12
Cr 89,94.5,23.633333,60
Cr 90,95.205,-7.283889,11
Cr 91,95.425,2.366667,17
Cr 92,95.725,5.116667,11
Cr 93,96.8125,-4.8475,29
Cr 94,97.415417,6.830556,6
Cr 95,97.625,9.933333,27
Cr 96,97.575,2.866667,7
Cr 97,97.825,5.916667,21
Cr 98,97.39375,-31.281389,5
Cr 99,97.981667,4.943056,24
Cr 100,98.457917,-5.084444,7
Cr 101,98.660417,8.366389,10
Cr 102,98.67875,5.366389,20
Cr 103,98.957083,7.673333,4
Cr 104,99.125,4.816667,21
Cr 105,99.4,9.433333,8
Cr 106,99.275,5.95,45
Cr 107,99.425,4.733333,35
Cr 108,99.589167,10.883611,4.5
Cr 109,99.90875,1.143611,3.5
Cr 110,99.6,2.016667,12
Cr 111,99.675,6.9,3.2
Cr 112,100.242917,9.895556,20
Cr 113,100.83,26.969444,6
Cr 114,100.82125,4.624444,4
Cr 115,101.625,1.766667,7
Cr 116,102.074167,41.078889,14
Cr 117,101.917083,-3.147778,14
Cr 118,101.5,-20.766667,38
Cr 119,102.93875,0.459167,12
Cr 120,103.799583,17.988611,5
Cr 121,103.55,-24.633333,50
Cr 122,104.015,-7.174444,3
Cr 123,104.447917,-4.611389,6
Cr 124,105.67625,-8.390556,16
Cr 125,106.032917,1.044722,7
Cr 126,106.749167,27.261667,18
Cr 127,106.70625,-10.028611,12
Cr 128,107.028333,-10.616944,6
Cr 129,107.078333,-13.193889,12
Cr 130,108.62625,-10.265833,20
Cr 131,108.56375,-25.6925,20
Cr 132,108.6,-31.166667,95
Cr 133,109.247083,13.749722,9
Cr 134,109.429583,-15.641389,12
Cr 135,109.325,-36.833333,50
Cr 136,109.672917,-24.954167,8
Cr 137,110.01875,-21.884167,3.5
Cr 138,110.27625,-10.371667,5
Cr 139,110.98375,-13.263333,19
Cr 140,110.975,-32.2,42
Cr 141,111.16625,-20.9475,5
Cr 142,111.299167,-21.023333,2.5
Cr 143,111.299167,-21.023333,1
Cr 144,111.80375,13.608056,12
Cr 145,111.525,-24.3,6
Cr 146,111.825,-24.033333,5
Cr 147,111.595833,-47.666667,10
Cr 148,112.012083,-11.719722,10
Cr 149,112.351667,-13.966111,2
Cr 150,113.303333,-15.453889,4
Cr 151,114.049167,-20.612222,10
Cr 152,114.145833,-14.4825,29
Cr 153,114.277917,-13.871389,19
Cr 154,114.599583,21.574167,10
Cr 155,114.375,-12.066667,9
Cr 156,114.6,-10.683333,9
Cr 157,115.224167,-19.085833,7
Cr 158,115.189167,-31.6925,10
Cr 159,115.445,-14.81,27
Cr 160,116.121667,-23.853056,22
Cr 161,116.3125,-37.9675,45
Cr 162,116.892083,-27.194722,5
Cr 163,117.244167,-21.298056,7
Cr 164,118.122917,-26.43,15
Cr 165,118.040833,-38.533333,27
Cr 166,118.792917,-24.254722,12
Cr 167,118.766667,-17.709722,7
Cr 168,118.825,-25.933333,5
Cr 169,119.06625,-30.064167,8
Cr 170,120.007083,-10.769722,8
Cr 171,120.199167,-19.050556,8
Cr 172,119.529583,-60.753333,29
Cr 173,120.704167,-46.383333,370
Cr 174,121.2425,-28.146667,22
Cr 175,121.767083,-29.883889,3.5
Cr 176,122.657917,-12.819167,21
Cr 177,122.54375,-49.225556,20
Cr 178,123.065,-37.594167,40
Cr 179,123.429583,-5.750556,54
Cr 180,124.62125,-30.645556,10
Cr 181,124.734583,-29.749167,13
Cr 182,125.220833,-36.217222,10
Cr 183,125.36625,-30.293333,7
Cr 184,125.850417,-29.508611,9
Cr 185,125.625,-36.166667,8
Cr 186,125.789583,-32.975278,2
Cr 187,126.05,-29.15,7
Cr 188,129.312083,-29.950278,11
Cr 189,130.0925,19.671944,95
Cr 190,129.608333,-34.771667,3
Cr 191,130.0875,-53.089167,60
Cr 192,130.629167,-48.108333,7
Cr 193,130.658333,-47.200556,4
Cr 194,130.6375,-45.000556,2.7
Cr 195,130.86375,-32.656111,12
Cr 196,131.25,-31.633333,5
Cr 197,131.2125,-41.233333,40
Cr 198,131.325,-31.766667,5
Cr 199,131.579167,-52.935,12
Cr 200,131.372917,-48.791667,9
Cr 201,131.549583,-41.877222,4
Cr 202,131.625,-52.9,12
Cr 203,131.975,-42.45,29
Cr 204,132.83375,11.811944,29
Cr 205,135.133333,-48.985,5
Cr 206,139.00625,-36.626944,9
Cr 207,139.845417,-40.520278,2.3
Cr 208,141.9375,-57.668889,18
Cr 209,142.620833,-52.913889,5
Cr 210,143.295417,-53.395833,12
Cr 211,145.047917,-50.320833,4
Cr 212,147.162917,-56.411667,5
Cr 213,148.645833,-50.919722,17
Cr 214,150.164583,-54.7875,2
Cr 215,150.677917,-60.108889,35
Cr 216,151.244167,-61.615,5
Cr 217,151.620833,-60.3,4
Cr 218,155.3425,-51.7325,5
Cr 219,155.956667,-60.137222,5
Cr 220,156.466667,-57.926389,6
Cr 221,156.630417,-60.678333,2
Cr 222,156.9,-57.670278,7
Cr 223,157.6,-60.083333,9
Cr 224,158.974167,-58.236111,5
Cr 225,159.327917,-58.66,5
Cr 226,159.697917,-54.115556,6
Cr 227,160.55,-65.1,16
Cr 228,160.516667,-59.916667,14
Cr 229,160.845833,-64.436944,100
Cr 230,160.983333,-59.55,5
Cr 231,161.179167,-59.366667,15
Cr 232,161.245833,-59.55,4
Cr 233,161.3175,-59.721389,10
Cr 234,161.3375,-59.75,3
Cr 235,164.1,-59.2,5
Cr 236,164.320833,-61.11,10
Cr 237,164.890833,-60.336667,9
Cr 238,166.447917,-58.770278,55
Cr 239,167.58,-60.248333,6
Cr 240,167.58,-60.248333,1
Cr 241,167.866667,-60.666667,6
Cr 242,168.245833,-60.788889,4
Cr 243,168.779167,-57.55,10
Cr 244,168.7775,-61.261111,2.5
Cr 245,169.533333,-62.739167,15
Cr 246,169.925,-63.483333,5
Cr 247,171.404583,-43.25,12
Cr 248,174.06,-61.61,12
Cr 249,174.216667,-63.073333,65
Cr 250,177.638333,-55.676389,6
Cr 251,180.521667,-63.223333,10
Cr 252,181.664583,-61.25,6
Cr 253,184.28875,-55.286111,7
Cr 254,186.01375,-58.123611,3.5
Cr 255,186.025,-61.870278,15
Cr 256,186.25,26,275
Cr 257,186.19125,-60.886667,5
Cr 258,186.791667,-60.766667,5
Cr 259,187.109583,-60.103056,4
Cr 260,187.48,-64.789722,5
Cr 261,189.4875,-68.366667,9
Cr 262,189.891667,-60.616667,7
Cr 263,190.582917,-62.993889,5
Cr 264,193.404583,-60.356111,10
Cr 265,194.492917,-64.961667,3
Cr 266,195.060417,-59.616111,11
Cr 267,199.1125,17.697778,11
Cr 268,199.554167,-67.083333,5
Cr 269,200.879167,-66.18,15
Cr 270,201.813333,-59.040833,7
Cr 271,202.475,-64.2,5
Cr 272,202.608333,-61.316667,10
Cr 273,202.780417,-60.939167,4
Cr 274,203.058333,-62.8,5
Cr 275,203.6625,-60.2,11
Cr 276,206.64625,-62.916389,8
Cr 277,207,-66.066667,15
Cr 278,207.187083,-64.685278,4
Cr 279,208.488333,-61.869167,13
Cr 280,211.865417,-48.3425,35
Cr 281,216.946667,-59.632222,3
Cr 282,217.433333,-60.710833,10
Cr 283,217.758333,-61.166667,10
Cr 284,218.90625,-56.618056,30
Cr 285,180.75,58,1
Cr 286,220.87375,-57.576944,5
Cr 287,222.224583,-54.4975,7
Cr 288,223.384167,-52.670556,3
Cr 289,226.088333,-54.396389,39
