alpha,delta,id,GName,diameter,Minor axis,posAngle,axisRatio
300.73489,37.091311,DWB 1,G73.4+3.3,6.7,3.3,168,2.03
301.385231,37.227356,DWB 2,G73.8+2.9,13.3,3.2,178,4.16
301.636249,37.145063,DWB 3,G73.9+2.7,6.7,2.2,175,3.05
301.635051,37.328394,DWB 4,G74.0+2.8,8.9,2.2,177,4.05
301.911232,37.229535,DWB 5,G74.1+2.6,14.4,0.9,174,16.00
302.537982,37.14878,DWB 6,G74.3+2.2,12.2,2.2,20,5.55
302.185677,37.397335,DWB 7,G74.3+2.5,7.8,0.9,114,8.67
302.059889,37.480152,DWB 8,G74.3+2.6,10,0.9,126,11.11
301.030483,37.842555,DWB 9,G74.3+3.4,21.6,7.8,154,2.77
299.346278,38.718819,DWB 10,G74.3+5.1,25.6,4.4,39,5.82
302.259407,37.614308,DWB 11,G74.5+2.5,13.3,4.4,0,3.02
302.786856,37.399803,DWB 12,G74.6+2.1,12.2,4.4,27,2.77
300.92715,38.308797,DWB 13,G74.6+3.8,8.9,5.6,132,1.59
304.419145,36.773077,DWB 14,G74.8+0.6,5.6,4.4,52,1.27
302.483868,37.765233,DWB 15,G74.8+2.5,26.6,13.3,121,2.00
305.370988,36.793544,DWB 16,G75.2+0.0,8.9,4.4,150,2.02
298.4837,40.248503,DWB 17,G75.3+6.4,41.1,5.6,41,7.34
305.168914,37.05941,DWB 18,G75.4+0.3,13.3,5.6,153,2.38
303.081237,38.351017,DWB 19,G75.5+2.4,16.7,11.1,89,1.50
304.035403,38.021548,DWB 20,G75.6+1.6,23.3,18.9,36,1.23
302.35105,38.898035,DWB 21,G75.6+3.2,96.7,28.9,107,3.35
305.264183,37.843132,DWB 22,G76.0+0.7,5.6,5.6,145,1.00
300.41217,40.306671,DWB 23,G76.0+5.2,24,5.6,80,4.29
304.836453,38.124765,DWB 24,G76.1+1.1,8.9,4.4,169,2.02
303.504134,38.802743,DWB 25,G76.1+2.4,18.9,18.9,55,1.00
304.0307,38.738205,DWB 26,G76.2+2.0,20,15.6,59,1.28
303.827934,39.087391,DWB 27,G76.4+2.3,48.9,22.2,148,2.20
301.892624,39.979495,DWB 28,G76.4+4.1,44.4,11.1,162,4.00
301.188781,40.309915,DWB 29,G76.4+4.7,11.1,2.2,53,5.05
304.53013,38.990216,DWB 30,G76.7+1.8,8.9,4.4,122,2.02
301.637826,40.57845,DWB 31,G76.7+4.5,8.9,1.1,100,8.09
301.058937,40.942717,DWB 32,G76.8+5.1,12.1,4.4,65,2.75
305.634755,38.661278,DWB 33,G76.9+0.9,30,12.2,38,2.46
