id,alpha,delta,diameter,DB2002b Id,aka1,aka2,aka3,aka4,aka5,
LDN 1800,255.375,-22.23861,7,[DB2002b] G0.01+11.98,,,,,,
LDN 1801,267.54583,-29.51361,100,[DB2002b] G0.02-1.15,,,,,,
HMST 0.0-18.9,286.70833,-37.22833,16,[DB2002b] G0.02-18.87,[VMF2000] CoA 6,,,,,
LDN 1799,251.73333,-19.67222,8,[DB2002b] G0.03+16.24,,,,,,
IREC 1,279.99167,-34.98583,72,[DB2002b] G0.05-13,,,,,,
Corona Australis DN Complex,288,-37.5,410,[DB2002b] G0.12-19.93,R Cra CO Complex,,,,,
P 1,262.07917,-26.36528,8,[DB2002b] G0.12+4.61,,,,,,
LDN 2,271.80833,-31.49306,67,[DB2002b] G0.13-5.32,,,,,,
LDN 1802,255.575,-22.22111,8,[DB2002b] G0.14+11.84,,,,,,
LDN 3,270.80417,-30.99778,142,[DB2002b] G0.15-4.33,,,,,,
FeSt 1-448,259.59167,-24.81861,92,[DB2002b] G0.16+7.33,,,,,,
LDN 1,247.2125,-16.10917,14,[DB2002b] G0.18+21.82,,,,,,
Barnard 295,271.02917,-31.03028,35,[DB2002b] G0.2-4.52,FeSt 1-449,,,,,
LDN 5,259.0625,-24.42111,7,[DB2002b] G0.2+7.96,,,,,,
LDN 7,262.15,-26.28972,17,[DB2002b] G0.22+4.6,,,,,,
LDN 6,257.25417,-23.22972,14,[DB2002b] G0.23+9.99,,,,,,
LDN 4,255.75,-22.2275,9,[DB2002b] G0.23+11.71,[CB88] 70,,,,,
DIRDN1,267.00833,-28.96667,15,[DB2002b] G0.25-0.47,,,,,,
FeSt 1-451,263.47917,-27.01667,37,[DB2002b] G0.26+3.21,,,,,,
FeSt 1-450,286.68333,-36.98028,15,[DB2002b] G0.26-18.76,HMST 0.3-18.8,,,,,
LDN 8,251.60417,-19.25611,17,[DB2002b] G0.3+16.59,,,,,,
Barnard 260,261.2,-25.61667,10,[DB2002b] G0.3+5.68,LDN 14,,,,,
LDN 10,269.45,-30.10444,3.5,[DB2002b] G0.35-2.88,,,,,,
FeSt 2-305,262.425,-26.28833,6,[DB2002b] G0.35+4.39,,,,,,
LDN 9,257.50417,-23.22861,16,[DB2002b] G0.36+9.81,,,,,,
Sandqvist  42,287.56667,-37.12444,14,[DB2002b] G0.37-19.47,FeSt 2-306,HMST 0.4-19.5,[VMF2000] CoA 7,,,
LDN 12,269.55,-30.12056,3.5,[DB2002b] G0.38-2.96,,,,,,
LDN 13,256,-22.16889,7,[DB2002b] G0.42+11.55,,,,,,
Barnard 57,257.12917,-22.89722,8,[DB2002b] G0.43+10.28,LDN 11,[CB88] 72,P 2,,,
Barnard 51,256.17083,-22.2725,19,[DB2002b] G0.43+11.37,LDN 15,P 3,,,,
LDN 16,259.00833,-24.05472,21,[DB2002b] G0.48+8.2,,,,,,
LDN 19,262.275,-26.03917,48,[DB2002b] G0.49+4.64,,,,,,
LDN 18,257.25417,-22.89639,6,[DB2002b] G0.5+10.19,,,,,,
LDN 17,257,-22.73083,38,[DB2002b] G0.5+10.47,,,,,,
FeSt 1-452,256.75,-22.54889,55,[DB2002b] G0.52+10.77,,,,,,
