No,id,alpha,delta,diameter,Area,Common name
1,FeSt 1-1,109.6042,-23.0255,61.64,0.829,
2,FeSt 1-2,111.8606,-22.1191,81.83,1.461,
3,FeSt 1-3,110.4789,-23.1962,101.76,2.259,
4,FeSt 1-4,109.9494,-23.9438,19.74,0.085,
5,FeSt 1-5,113.0804,-23.2913,103.43,2.334,
6,FeSt 1-6,111.1972,-24.5161,30.8,0.207,
7,FeSt 1-7,113.8789,-23.6949,21.09,0.097,
8,FeSt 1-8,111.4445,-25.0506,98.88,2.133,
9,FeSt 1-9,111.1408,-25.6659,30.13,0.198,
10,FeSt 1-10,114.9815,-27.9831,46.17,0.465,
11,FeSt 1-11,118.0965,-30.3967,154.33,5.196,
12,FeSt 1-12,119.3992,-30.2356,47.1,0.484,
13,FeSt 1-13,117.3637,-31.5603,15.59,0.053,
14,FeSt 1-14,116.1578,-32.2717,48.16,0.506,
15,FeSt 1-15,117.8302,-33.0789,47.68,0.496,
16,FeSt 1-16,117.274,-33.9432,188.48,7.75,
17,FeSt 1-17,121.8919,-32.1627,59.02,0.76,
18,FeSt 1-18,122.2905,-32.5311,43.61,0.415,
19,FeSt 1-19,121.1085,-33.3928,45.72,0.456,
20,FeSt 1-20,118.0116,-36.0631,103.01,2.315,
21,FeSt 1-21,120.1444,-35.4222,179.8,7.053,
22,FeSt 1-22,119.8668,-35.7543,75.91,1.257,
23,FeSt 1-23,113.0039,-39.5578,13.71,0.041,
24,FeSt 1-24,119.4307,-37.3192,19.03,0.079,
25,FeSt 1-25,122.5213,-35.7987,85.77,1.605,
26,FeSt 1-26,127.2952,-33.2844,25.42,0.141,
27,FeSt 1-27,113.9511,-40.1287,25.15,0.138,
28,FeSt 1-28,124.0513,-35.4549,78.78,1.354,
29,FeSt 1-29,114.0634,-41.7959,104.69,2.391,
30,FeSt 1-30,120.2918,-39.5895,13.71,0.041,
31,FeSt 1-31,121.1203,-39.3263,26.31,0.151,
32,FeSt 1-32,122.9777,-38.8173,33.51,0.245,
33,FeSt 1-33,118.6794,-40.8494,18.17,0.072,
34,FeSt 1-34,119.9082,-40.6713,16.99,0.063,
35,FeSt 1-35,111.8409,-44.0194,28.4,0.176,
36,FeSt 1-36,124.1158,-40.9219,153.91,5.168,
37,FeSt 1-37,135.7824,-34.4154,31.03,0.21,
38,FeSt 1-38,124.9668,-41.0587,24.88,0.135,
39,FeSt 1-39,131.8573,-37.3349,31.97,0.223,
40,FeSt 1-40,129.2139,-39.3085,46.95,0.481,
41,FeSt 1-41,131.7285,-37.9511,22.76,0.113,
42,FeSt 1-42,112.7403,-47.0068,21.83,0.104,S 101
43,FeSt 1-43,129.3114,-39.7422,149.05,4.847,
44,FeSt 1-44,108.392,-48.5037,13.2,0.038,
45,FeSt 1-45,112.108,-47.6206,68.41,1.021,
46,FeSt 1-46,126.0375,-42.0463,36.77,0.295,
47,FeSt 1-47,125.4078,-42.4771,109.19,2.601,
48,FeSt 1-48,123.3638,-44.2856,39.82,0.346,
49,FeSt 1-49,125.502,-43.2942,11.33,0.028,
50,FeSt 1-50,125.4265,-43.3439,33.31,0.242,
51,FeSt 1-51,127.6378,-42.6025,244.01,12.99,
52,FeSt 1-52,130.5771,-41.697,135.34,3.996,
53,FeSt 1-53,125.4922,-44.5775,22.15,0.107,
54,FeSt 1-54,127.2503,-44.1677,79.79,1.389,
55,FeSt 1-55,115.7004,-49.17,26.31,0.151,S 104
56,FeSt 1-56,134.1942,-40.6266,23.35,0.119,
57,FeSt 1-57,133.3373,-41.3403,122.48,3.273,
58,FeSt 1-58,132.9304,-42.2388,21.09,0.097,SL 4
59,FeSt 1-59,135.1915,-41.5634,31.32,0.214,
60,FeSt 1-60,132.3704,-43.4869,164.71,5.919,
61,FeSt 1-61,128.3395,-45.9886,31.97,0.223,
62,FeSt 1-62,138.5855,-40.0747,11.33,0.028,
63,FeSt 1-63,128.2587,-46.6883,24.32,0.129,
64,FeSt 1-64,134.7765,-43.712,100.03,2.183,
65,FeSt 1-65,133.3135,-44.9236,116.16,2.944,
66,FeSt 1-66,139.9872,-40.5458,15.59,0.053,
67,FeSt 1-67,133.9928,-44.626,26.31,0.151,
68,FeSt 1-68,130.0617,-47.0451,16.58,0.06,
69,FeSt 1-69,135.6034,-43.8482,70.78,1.093,
70,FeSt 1-70,114.5252,-53.3649,42.6,0.396,
71,FeSt 1-71,125.096,-49.8094,94.42,1.945,
72,FeSt 1-72,125.0694,-49.9759,35.18,0.27,S 109
73,FeSt 1-73,138.7222,-42.4752,5.24,0.006,
74,FeSt 1-74,129.0943,-48.7415,40,0.349,
75,FeSt 1-75,139.7756,-42.5119,22.15,0.107,
76,FeSt 1-76,128.2598,-49.4884,37.39,0.305,
77,FeSt 1-77,120.5747,-52.8243,98.6,2.121,
78,FeSt 1-78,133.978,-46.6926,51.61,0.581,
79,FeSt 1-79,139.4686,-43.5109,136.4,4.059,
80,FeSt 1-80,135.3608,-46.2974,122.56,3.277,
81,FeSt 1-81,139.9202,-43.5123,33.72,0.248,
82,FeSt 1-82,126.8145,-51.0995,21.83,0.104,S 122
83,FeSt 1-83,132.3559,-48.7535,36.21,0.286,
84,FeSt 1-84,127.7661,-51.2865,62.71,0.858,
85,FeSt 1-85,138.0497,-45.7064,17.39,0.066,S 114
86,FeSt 1-86,131.4953,-49.6338,81.67,1.455,
87,FeSt 1-87,134.5672,-48.3947,28.4,0.176,
