id,alpha,delta,diameter,axisRatio,posAngle,magnitude,Common name
NGC 0104,6.02375,-72.08139,50.1,1.1,33,4.06,47 Tuc
NGC 0288,13.18833,-26.5825,12.9,1,,8.15,
NGC 0362,15.80958,-70.84889,14.5,1.01,25,6.48,
Whiting 1,30.73667,-3.25278,,1,,14.72,
NGC 1261,48.06667,-55.21667,7.4,1.08,169,8.26,
Pal 01,53.33333,79.58111,3,1.28,74,13.58,
AM 1,58.75958,-49.61528,0.6,1,,15.3,E 1
Eridanus,66.18542,-21.18694,1.2,1,,14.64,
Pal 02,71.52458,31.38139,2.4,1.05,43,12.77,
NGC 1851,78.52833,-40.04667,11.2,1.05,86,7.19,
NGC 1904,81.04583,-24.525,9.1,1.01,99,7.74,M 79
NGC 2298,102.2475,-36.00556,6.2,1.09,41,9.18,
NGC 2419,114.53583,38.88194,4.5,1.03,74,10.49,
Pyxis,136.99083,-37.22139,,1,,13.21,
NGC 2808,138.01292,-64.86361,14.1,1.14,31,6.2,
ESO 037-001,140.23792,-77.28194,,1,,11.71,E 3
Pal 03,151.38292,0.07167,1.9,1,,14.05,
NGC 3201,154.40542,-46.41194,20.4,1.14,2,6.78,
Pal 04,172.32,28.97361,1.3,1,,14.24,
Crater,174.0675,-10.8775,,1,,15.74,
NGC 4147,182.52625,18.54278,4.5,1.09,32,10.25,NGC 4153
NGC 4372,186.44458,-72.65611,,1.18,24,7.31,
Rup 106,189.6675,-51.15028,,1,,11.01,
NGC 4590,189.86792,-26.7425,10.7,1.05,40,8.09,M 68
NGC 4833,194.90083,-70.87722,,1.08,176,6.86,
NGC 5024,198.23,18.16917,12.6,1.01,103,7.59,M 53
NGC 5053,199.1125,17.69778,9.3,1.27,101,9.76,
NGC 5139,201.69667,-47.47972,55,1.2,96,3.55,Omega Cen
NGC 5272,205.54708,28.37722,18.2,1.04,108,5.95,M 3
NGC 5286,206.61167,-51.37417,11,1.14,21,7.32,
AM 4,209.09042,-27.1675,,1,,16.33,
NGC 5466,211.36417,28.53444,9.1,1.12,157,9.05,
NGC 5634,217.40542,-5.97639,4.9,1.02,123,9.22,
NGC 5694,219.90167,-26.53889,4.3,1.04,117,9.94,
IC 4499,225.08042,-82.21361,7.6,1.09,105,9.74,
NGC 5824,225.99417,-33.06833,7.6,1.03,23,8.81,NGC 5834
Pal 05,229.02208,-0.11167,2.5,1,,11.86,
NGC 5897,229.35167,-21.01,11.2,1.09,115,8.36,
NGC 5904,229.63917,2.08139,23.4,1.16,124,5.74,M 5
NGC 5927,232.00208,-50.67194,5.9,1.04,63,7.86,
NGC 5946,233.86875,-50.65889,11,1.19,41,9.25,IC 4550
NGC 5986,236.51375,-37.78611,9.3,1.06,10,7.42,
FSR 1716,242.625,-53.74889,,1,,13.05,
Pal 14,242.7525,14.95778,0.4,1,,14.35,
Lynga 7,242.76542,-55.31778,,1,,9.93,
NGC 6093,244.26042,-22.97583,9.8,1,161,7.32,M 80
NGC 6101,246.45125,-72.20139,5.1,1.05,70,9.55,
NGC 6121,245.89667,-26.52583,38,1,113,5.61,M 4
NGC 6139,246.91833,-38.84889,7.9,1.05,72,8.91,
NGC 6144,246.80792,-26.02361,20.9,1.33,36,8.84,IC 4606?
Terzan 03,247.16708,-35.35361,,1,,10.95,
NGC 6171,248.13292,-13.05389,18.6,1.02,96,7.88,M 107
ESO 452-011,249.85625,-28.39861,,1,,11.83,
NGC 6205,250.42167,36.46,20,1.12,52,5.75,M 13
NGC 6218,251.80958,-1.94889,15.1,1.04,82,6.67,M 12
NGC 6229,251.74542,47.52778,4.4,1.05,53,9.29,
2MASS GC03,253.04417,-47.05806,,1,,14,FSR 1735
NGC 6235,253.35583,-22.17806,6.5,1.15,18,9.89,
NGC 6254,254.28792,-4.10028,20,1,12,6.53,M 10
NGC 6256,254.88583,-37.12083,5.4,1,,10.74,
Pal 15,254.9625,-0.53889,2.5,1,,13.7,
NGC 6266,255.30417,-30.11278,16.6,1.01,52,6.59,M 62
NGC 6273,255.65708,-26.26778,17,1.37,168,6.72,M 19
NGC 6284,256.11917,-24.765,6.5,1.03,23,8.84,
NGC 6287,256.28792,-22.70833,5.8,1.15,149,9.17,
NGC 6293,257.54292,-26.58278,,1.03,134,8.32,
NGC 6304,258.63458,-29.46194,7.8,1.02,87,8.2,
NGC 6316,259.15417,-28.14,6.8,1.04,17,8.64,
NGC 6325,259.49792,-23.76611,4.3,1.14,10,10.49,
NGC 6333,259.79833,-18.51583,11.5,1.04,62,7.68,M 9
NGC 6341,259.28083,43.13583,14.8,1.11,141,6.42,M 92
NGC 6342,260.29208,-19.58778,6.5,1.22,139,9.58,
NGC 6352,261.37292,-48.42222,,1.08,2,7.76,
NGC 6355,260.99375,-26.35306,,1,,9.55,
NGC 6356,260.89625,-17.81306,9.3,1.03,155,8.26,
IC 1257,261.785,-7.09306,,1,,13.63,
Terzan 02,261.88792,-30.80222,0.57,1,,13.41,HP 3
Terzan 04,262.6625,-31.59556,,1,,14.09,HP 4
HP 1,262.77167,-29.98167,1.5,1,,11.2,
FSR 1758,262.8375,-39.8525,,1,,9.14,
NGC 6362,262.97917,-67.04833,15.5,1.08,58,7.74,
NGC 6366,261.93458,-5.07917,13.8,1.19,176,8.9,
Liller 1,263.35208,-33.38889,,1,,15.73,
NGC 6380,263.61833,-39.06917,6.2,1,,10.86,Ton 1
Terzan 01,263.94917,-30.46972,0.03,1,,13.3,HP 2
Ton 2,264.04375,-38.55333,3.1,1,,11.81,Pismis 26
NGC 6388,264.07167,-44.73556,10.7,1.01,56,6.6,
NGC 6397,265.17375,-53.67389,30.2,1.08,2,5.81,
NGC 6401,264.65125,-23.91028,5.2,1.18,89,9.2,
NGC 6402,264.40042,-3.24583,12.9,1.12,93,7.42,M 14
Pal 06,265.92583,-26.2225,4.6,1,,11.59,
NGC 6426,266.22792,3.16972,3.9,1.18,98,11.1,
Djorg 1,266.86792,-33.06556,,1,,13.21,
Terzan 05,267.02,-24.77917,2.6,1,,12.7,Terzan 11
NGC 6440,267.22,-20.36028,5.8,1.01,156,9.09,
NGC 6441,267.55375,-37.05194,12,1.02,74,7.16,
Terzan 06,267.69333,-31.27528,1.5,1,,14.31,HP 5
NGC 6453,267.71583,-34.59889,,1.1,18,9.56,
UKS 1,268.61333,-24.14528,,1,,,
NGC 6496,269.765,-44.2675,,1.19,107,9.01,
Terzan 09,270.41167,-26.83972,0.2,1,,13.57,
ESO 456-038,270.45458,-27.82583,,1,,10.26,Djorg 2
NGC 6517,270.46083,-8.95889,4.6,1.06,41,10.58,
NGC 6522,270.89583,-30.03472,7.6,1.06,94,8.2,
Terzan 10,270.90167,-26.0725,,1,,14.77,
NGC 6528,271.20708,-30.05611,5,1.12,125,9.52,
NGC 6535,270.96083,-0.29833,3.2,1.09,105,10.43,
NGC 6539,271.20667,-7.58694,7.2,1.09,144,9.6,
NGC 6540,271.53583,-27.76472,,1,,9.74,Djorg 3
NGC 6541,272.01,-43.715,14.1,1.14,8,6.65,
NGC 6544,271.83333,-24.99833,,1.28,36,7.82,
2MASS GC01,272.09083,-19.82972,,1,,27.7,
ESO 280-006,272.275,-46.42306,,1,,12.38,
NGC 6553,272.32292,-25.90861,,1.2,67,8.05,
2MASS GC02,272.40208,-20.77889,,1,,24.6,
NGC 6558,272.5725,-31.76361,,1,,9.68,
IC 1276,272.68875,-7.21333,7.9,1,,9.96,Pal 07
Terzan 12,273.06583,-22.74194,,1,,14.28,
NGC 6569,273.41167,-31.82667,7.8,1,22,8.58,
BH 261,273.5275,-28.635,,1.03,,10.81,AL 3
GLIMPSE 02,274.62708,-16.97722,,1,,,Mercer 03
NGC 6584,274.65667,-52.21583,,1.03,143,8.57,
Mercer 05,275.8325,-13.66861,,1,,,
NGC 6624,275.91875,-30.36111,9.5,1.06,89,7.96,
NGC 6626,276.13667,-24.86972,,1.19,131,6.82,M 28
NGC 6637,277.84667,-32.34861,13,1.01,70,7.59,M 69
NGC 6638,277.73417,-25.49722,7.1,1.01,54,8.91,
NGC 6642,277.97583,-23.47583,,1.03,7,9.41,
NGC 6652,278.94,-32.99083,7.1,1.25,112,8.59,
NGC 6656,279.09958,-23.90472,40,1.16,139,5.04,M 22
Pal 08,280.37458,-19.82583,8.9,1,,10.82,
NGC 6681,280.80333,-32.29222,7.8,1.01,116,7.99,M 70
NGC 6712,283.26792,-8.70583,,1.12,75,8.12,
NGC 6715,283.76375,-30.47944,12.9,1.06,78,7.53,M 54
NGC 6717,283.77542,-22.70167,10.7,1.01,27,9.12,Pal 09
NGC 6723,284.88833,-36.63222,14.8,1,45,7.18,
GCl 107,286.31625,1.90194,5.5,1,,10.79,
NGC 6752,287.71708,-59.98444,29.5,1.04,147,5.62,
NGC 6760,287.8,1.03167,8.9,1.04,163,8.95,
NGC 6779,289.14833,30.18361,7.4,1.03,64,8.32,M 56
Terzan 07,289.43292,-34.65778,7,1,,11.76,
Pal 10,289.50875,18.57167,5.4,1,,12.25,
Arp 2,292.18375,-30.35556,2.2,1,,12.12,
NGC 6809,294.99875,-30.96472,19.1,1.02,73,6.36,M 55
Terzan 08,295.435,-33.99944,,1,,11.5,
Pal 11,296.31,-8.00722,9.5,1,,11.6,
Sgr 2,298.16875,-22.06806,,1,,14.04,Laevens 5
NGC 6838,298.44375,18.77917,16.2,1,166,7.83,M 71
NGC 6864,301.52042,-21.92167,7.4,1.08,52,8.46,M 75
NGC 6934,308.5475,7.40444,7.6,1.01,143,8.79,
NGC 6981,313.36583,-12.53722,6.8,1.02,132,9.3,M 72
NGC 7006,315.37208,16.18778,3.8,1.01,163,10.46,
Laevens 3,316.72625,14.98,,1.12,,16.1,
NGC 7078,322.49333,12.16694,17.8,1.05,125,6.35,M 15
NGC 7089,323.3625,-0.82333,16.6,1.12,40,6.45,M 2
NGC 7099,325.09208,-23.18,12.9,1.01,33,7.47,M 30
Pal 12,326.66167,-21.2525,3,1,,10.1,
Pal 13,346.685,12.77194,0.7,1,,13.8,
NGC 7492,347.11125,-15.60917,4.6,1.32,179,11.38,
