id,alpha,delta,diameter,Type,Common name,GId
SNR G000.0+00.0,266.4333,-29,3.5,S,Sgr A East,G000.0+00.0
SNR G000.3+00.0,266.5625,-28.6333,15,S,,G000.3+00.0
SNR G000.9+00.1,266.8375,-28.15,8,C,,G000.9+00.1
SNR G001.0-00.1,267.125,-28.15,8,S,,G001.0-00.1
SNR G001.4-00.1,267.4125,-27.7667,10,S,,G001.4-00.1
SNR G001.9+00.3,267.1875,-27.1667,1.5,S,,G001.9+00.3
SNR G003.1-00.6,268.875,-26.5833,52,S,,G003.1-00.6
SNR G003.7-00.2,268.8583,-25.8333,14,S,,G003.7-00.2
SNR G003.8+00.3,268.2292,-25.4667,18,S?,,G003.8+00.3
SNR G004.2-03.5,272.2292,-27.05,28,S,,G004.2-03.5
SNR G004.5+06.8,262.675,-21.4833,3,S,Kepler | SN1604 | 3C358,G004.5+06.8
SNR G004.8+06.2,263.3542,-21.5667,18,S,,G004.8+06.2
SNR G005.2-02.6,271.875,-25.75,18,S,,G005.2-02.6
SNR G005.4-01.2,270.5417,-24.9,35,C?,Milne 56,G005.4-01.2
SNR G005.5+00.3,269.2667,-24,15,S,,G005.5+00.3
SNR G005.9+03.1,266.8333,-22.2667,20,S,,G005.9+03.1
SNR G006.1+00.5,269.3708,-23.4167,18,S,,G006.1+00.5
SNR G006.1+01.2,268.7292,-23.0833,30,F,,G006.1+01.2
SNR G006.4-00.1,270.125,-23.4333,48,C,W28,G006.4-00.1
SNR G006.4+04.0,266.2917,-21.3667,31,S,,G006.4+04.0
SNR G006.5-00.4,270.5458,-23.5667,18,S,,G006.5-00.4
SNR G007.0-00.1,270.4583,-22.9,15,S,,G007.0-00.1
SNR G007.2+00.2,270.2792,-22.6333,12,S,,G007.2+00.2
SNR G007.5-01.7,272.5,-23.1667,100,S,,G007.5-01.7
SNR G007.7-03.7,274.3542,-24.0667,22,S,1814-24,G007.7-03.7
SNR G008.7-05.0,276.0417,-23.8,26,S,,G008.7-05.0
SNR G008.7-00.1,271.375,-21.4333,45,S?,(W30),G008.7-00.1
SNR G008.9+00.4,270.9917,-21.05,24,S,,G008.9+00.4
SNR G009.7-00.0,271.8417,-20.5833,15,S,,G009.7-00.0
SNR G009.8+00.6,271.2833,-20.2333,12,S,,G009.8+00.6
SNR G009.9-00.8,272.6708,-20.7167,12,S,,G009.9-00.8
SNR G011.0-00.0,272.5167,-19.4167,11,S,,G011.0-00.0
SNR G011.1-00.7,273.1917,-19.6333,11,S,,G011.1-00.7
