idPNMain,PNGId,PNstat,id,alpha,delta,diamArcSeconds,diameter,axisRatio,posAngle,Catalogue,Common name,Caldwell-Messier
8,PN G000.0+02.0,T,K 6-4,264.42886,-27.81932,6.9,0.115,1.68,,2001A&A...378..843K,,
9,PN G000.1-01.9,T,JaSt 93,268.34908,-29.82931,14,0.233,,,2001A&A...378..843K,,
10,PN G000.1-08.0,T,SB 1,274.702,-32.7987,29.4,0.49,1.02,,2001A&A...378..843K,,
11,PN G000.1-01.1,T,M 3-43,267.60123,-29.42186,3.5,0.058,1.3,,1992secg.book.....A,,
12,PN G000.1+02.6,T,Al 2-J,263.89753,-27.40138,10.5,0.175,,,1992secg.book.....A,,
13,PN G000.1-05.6,T,H 2-40,272.128,-31.6099,18.3,0.305,1.08,,1992secg.book.....A,,
14,PN G000.1+17.2,T,PC 12,250.97409,-18.9533,2.3,0.038,1.05,20,1992secg.book.....A,,
15,PN G000.0-01.0,T,JaSt 69,267.54154,-29.31816,14,0.233,,,2001A&A...378..843K,,
16,PN G000.1+04.3,T,H 1-16,262.34732,-26.43455,5,0.083,,,1992secg.book.....A,,
17,PN G000.1-02.3,T,Bl 3-10,268.83557,-29.96004,7.2,0.12,1.04,,1992secg.book.....A,,
19,PN G000.2-01.9,T,M 2-19,268.44009,-29.72954,20,0.333,,110,1992secg.book.....A,,
20,PN G000.2-04.6,T,Wray 16-363,271.18369,-31.04671,6.4,0.107,,,1992secg.book.....A,,
21,PN G000.2+01.7,T,JaSt 19,264.91371,-27.78942,7.2,0.12,1.13,,2001A&A...378..843K,,
22,PN G000.3-04.6,T,M 2-28,271.26123,-30.9715,5.5,0.092,,,1992secg.book.....A,,
23,PN G000.3+12.2,T,IC 4634,255.38988,-21.82577,20.5,0.342,3.11,153,1992secg.book.....A,,
24,PN G000.3+06.9,T,Terz N 41,260.09152,-24.86451,15.2,0.253,,,1992secg.book.....A,,
25,PN G000.3-02.8,T,M 3-47,269.43069,-30.04164,9,0.15,1.13,,1992secg.book.....A,,
26,PN G000.4-01.9,T,M 2-20,268.60571,-29.60244,6,0.1,,,1992secg.book.....A,,
27,PN G000.4-02.9,T,M 3-19,269.58057,-30.01092,7.2,0.12,1.09,,1992secg.book.....A,,
