id,alpha,delta,diameter,minorAxis,Density,DCld
HMST 000.0-18.9,286.71079,-37.22857,16,5,A,DCld 000.0-18.9
HMST 000.3-18.8,286.68399,-36.98036,14,12,B,DCld 000.3-18.8
HMST 000.4-19.5,287.56746,-37.12458,16,7,A,DCld 000.4-19.5
HMST 000.8-22.9,291.78005,-37.83859,16,12,C,DCld 000.8-22.9
HMST 000.9-20.2,288.59778,-36.8648,16,5,A,DCld 000.9-20.2
HMST 001.2-23.1,292.24834,-37.5748,5,4,C,DCld 001.2-23.1
HMST 001.3-20.5,289.10367,-36.60579,14,4,A,DCld 001.3-20.5
HMST 001.4-21.6,290.43349,-36.91803,40,35,C,DCld 001.4-21.6
HMST 001.5-24.0,293.35884,-37.5148,4,3,C,DCld 001.5-24.0
HMST 001.7-23.8,293.23258,-37.31203,3,3,C,DCld 001.7-23.8
HMST 004.9-24.6,295.16267,-34.7934,16,3,A,DCld 004.9-24.6
HMST 008.4-47.1,323.10063,-35.85677,6,2,B,DCld 008.4-47.1
HMST 009.0-46.5,322.35899,-35.40897,8,5,C,DCld 009.0-46.5
HMST 010.4-46.6,322.57916,-34.45831,12,2,B,DCld 010.4-46.6
HMST 010.5-47.1,323.17746,-34.43154,3,2,B,DCld 010.5-47.1
HMST 247.0-05.7,114.26077,-32.73501,22,2,B,DCld 247.0-05.7
HMST 247.5-12.3,107.42115,-36.20565,65,55,B,DCld 247.5-12.3
HMST 247.6-03.5,116.87161,-32.21646,7,5,B,DCld 247.6-03.5
HMST 247.8-03.2,117.29726,-32.20664,6,1,B,DCld 247.8-03.2
HMST 249.0-03.2,117.97515,-33.26291,16,12,B,DCld 249.0-03.2
HMST 249.4-05.1,116.29339,-34.60398,4,2,A,DCld 249.4-05.1
HMST 249.7-02.1,119.51893,-33.3045,6,6,A,DCld 249.7-02.1
HMST 250.8-08.1,113.84276,-37.25655,9,2,B,DCld 250.8-08.1
HMST 251.1-01.0,121.54783,-33.89801,12,6,A,DCld 251.1-01.0
HMST 251.5+02.0,124.85261,-32.63313,3,2,C,DCld 251.5+02.0
HMST 251.7+00.2,123.10552,-33.76109,4,2,A,DCld 251.7+00.2
HMST 251.7-12.2,109.69682,-39.85287,4,3,B,DCld 251.7-12.2
HMST 251.8+00.0,123.08778,-33.93768,3,1,A,DCld 251.8+00.0
HMST 251.9+00.0,123.09565,-34.01772,5,1.2,A,DCld 251.9+00.0
HMST 252.1-03.6,119.53493,-36.07794,12,7,B,DCld 252.1-03.6
HMST 252.1-01.3,121.95906,-34.91306,22,12,B,DCld 252.1-01.3
HMST 252.2+00.7,123.99829,-33.84638,7,1.2,A,DCld 252.2+00.7
HMST 252.3+00.5,123.86752,-34.07918,6,0.6,A,DCld 252.3+00.5
HMST 252.3-03.2,120.11521,-36.06372,14,9,A,DCld 252.3-03.2
HMST 252.5+00.1,123.58943,-34.51473,10,1.5,A,DCld 252.5+00.1
HMST 252.9-01.6,122.15855,-35.72723,6,6,B,DCld 252.9-01.6
HMST 253.0-01.7,122.17837,-35.89565,35,12,B,DCld 253.0-01.7
HMST 253.1-02.1,121.71733,-36.18708,12,4,B,DCld 253.1-02.1
HMST 253.1-01.7,122.23622,-35.98922,7,3,A,DCld 253.1-01.7
HMST 253.2-04.2,119.62212,-37.41499,12,2,B,DCld 253.2-04.2
HMST 253.3-01.6,122.38176,-36.07982,2,3,A,DCld 253.3-01.6
HMST 253.4-04.0,119.88499,-37.43277,14,3,B,DCld 253.4-04.0
HMST 253.6-01.3,122.87389,-36.15517,22,12,B,DCld 253.6-01.3
HMST 253.6+02.9,127.19228,-33.76402,65,6,A,DCld 253.6+02.9
HMST 253.8-10.9,112.3863,-41.1751,6,1,A,DCld 253.8-10.9
HMST 253.9-00.6,123.80977,-36.03731,28,5,B,DCld 253.9-00.6
HMST 254.1-03.6,120.87578,-37.8436,6,4,B,DCld 254.1-03.6
HMST 254.5-09.6,114.33499,-41.2288,8,6,B,DCld 254.5-09.6
HMST 254.7-01.1,123.87487,-36.97592,5,4,B,DCld 254.7-01.1
HMST 255.1-09.2,115.19731,-41.44928,2,1,A,DCld 255.1-09.2
HMST 255.1-08.8,115.66626,-41.26634,2,1,B,DCld 255.1-08.8
HMST 255.3-14.4,109.00345,-43.96144,26,4,B,DCld 255.3-14.4
HMST 255.3-04.9,120.25438,-39.56769,14,7,B,DCld 255.3-04.9
HMST 255.4-03.9,121.35955,-39.14897,6,2,A,DCld 255.4-03.9
HMST 255.5-04.8,120.46661,-39.66692,8,2,B,DCld 255.5-04.8
HMST 255.6-02.9,122.53989,-38.72384,5,3,A,DCld 255.6-02.9
HMST 255.8-09.2,115.62642,-42.08618,4,1,A,DCld 255.8-09.2
HMST 255.9-09.1,115.77222,-42.12515,2,1,A,DCld 255.9-09.1
HMST 255.9-02.6,123.09448,-38.83444,2,2,A,DCld 255.9-02.6
HMST 255.9-02.6,123.16965,-38.83308,65,22,B,DCld 255.9-02.6
HMST 256.1-02.1,123.78029,-38.68389,6,1,A,DCld 256.1-02.1
HMST 256.1-09.3,115.70299,-42.42986,2,1.5,A,DCld 256.1-09.3
HMST 256.1-09.2,115.79926,-42.39861,12,12,B,DCld 256.1-09.2
HMST 256.1-09.1,115.89553,-42.36736,2,1.5,A,DCld 256.1-09.1
HMST 256.2-14.1,109.86589,-44.58707,28,7,B,DCld 256.2-14.1
HMST 256.4-10.0,115.01381,-42.98684,22,12,B,DCld 256.4-10.0
HMST 256.9-10.4,114.88351,-43.59461,5,4,B,DCld 256.9-10.4
HMST 256.9-05.4,120.8107,-41.16505,16,8,B,DCld 256.9-05.4
HMST 256.9+02.6,129.32623,-36.63222,6,2,A,DCld 256.9+02.6
HMST 257.2-10.3,115.2156,-43.81941,4,1,A,DCld 257.2-10.3
HMST 257.3-02.5,124.29421,-39.88265,7,2,A,DCld 257.3-02.5
