id,alpha,delta,diameter,MWSC Id
Berkeley 58,0.0675,60.933,18.6,1
NGC 7801,0.0825,50.727,18.72,2
FSR 0459,0.1275,59.242,10.8,3
Stock 18,0.3975,64.625,9.6,4
Berkeley 59,0.5595,67.425,26.4,5
Cep OB4,0.735,67.5,91.2,6
Blanco 1,0.885,-30,282,7
Berkeley 104,0.852,63.58,16.2,8
IRAS 00013+6817,0.996,68.565,10.8,9
FSR 0504,1.455,81.84,9.6,14
BDB 94,1.68,65.629,10.2,16
Czernik 1,1.902,61.49,8.4,17
SAI 1,2.112,51.724,7.8,18
ASCC 1,2.4135,62.704,12.6,19
Berkeley 1,2.4,60.467,8.4,20
King 13,2.514,61.184,13.8,21
Alessi 20,2.667,58.748,36.6,23
FSR 0474,2.685,59.735,10.8,24
FSR 0480,3.7365,61.471,16.8,25
PTB 7,3.801,68.318,19.8,26
BDSB 48,3.8625,61.26,8.4,27
Juchert-Saloran 1,4.0815,59.962,15,28
Berkeley 60,4.425,60.934,10.8,29
ASCC 2,4.875,55.645,26.4,31
FSR 0486,5.103,59.332,7.2,32
FSR 0479,5.3115,54.827,10.8,33
Mayer 1,5.514,61.741,13.8,34
King 1,5.5155,64.384,26.4,35
FSR 0477,5.745,51.883,14.4,36
SAI 4,5.907,62.71,8.04,37
NGC 104,6.0045,-72.081,114,38
Stock 20,6.3135,62.602,16.8,39
NGC 103,6.27,61.34,10.8,40
Berkeley 2,6.3165,60.382,12,41
FSR 0494,6.42,63.75,19.8,42
FSR 0496,6.675,64.03,20.4,44
NGC 110,6.855,71.422,13.8,45
SAI 6,6.978,60.677,14.4,46
FSR 0481,7.2345,43.279,13.2,48
FSR 0498,7.275,62.409,11.4,50
FSR 0503,7.3575,68.894,16.8,51
Stock 21,7.5615,57.931,18.6,52
NGC 129,7.542,60.203,18.6,53
ASCC 3,7.77,55.275,28.8,54
NGC 133,7.8195,63.345,9.6,55
NGC 136,7.9005,61.51,15,56
King 14,8.0145,63.181,16.8,57
King 15,8.199,61.89,11.4,58
NGC 146,8.226,63.305,19.2,59
NGC 189,9.87,61.115,14.4,62
Stock 24,9.9405,61.965,17.4,63
Dolidze 12,10.1925,60.855,15.6,65
FSR 0508,10.473,64.956,6.6,66
Dias 1,10.653,64.06,16.8,67
NGC 225,10.8,61.782,21.6,68
Czernik 2,10.9245,60.152,13.2,69
King 16,10.965,64.18,15.6,70
FSR 0507,11.01,52.36,18,71
Berkeley 4,11.268,64.382,20.4,73
NGC 188,11.85,85.255,68.4,74
Berkeley 61,12.0795,67.193,12,75
Dolidze 13,12.51,64.091,13.2,76
FSR 0515,12.6825,54.765,10.2,77
FSR 0516,12.6375,65.965,20.4,78
King 2,12.732,58.201,12,79
FSR 0518,12.81,44.285,24,80
Cas OB7,12.465,64.14,32.4,81
FSR 0519,13.122,64.667,16.8,83
NGC 288,13.1925,-26.585,37.2,84
IC 1590,13.2,56.63,27.6,85
FSR 0521,13.245,59.835,15,86
ASCC 4,13.32,61.6,25.2,87
Alessi 1,13.3275,49.48,51,88
FSR 0522,13.5,65.797,12.6,89
FSR 0524,14.3205,62.125,13.2,92
ASCC 5,14.4075,55.855,22.8,93
Skiff J0058+68.4,14.5425,68.465,38.4,94
Berkeley 62,15.2775,63.935,19.2,97
Czernik 3,15.7875,62.787,9.6,98
NGC 362,15.825,-70.847,28.2,99
Cas OB1,15.06,61.46,72,101
NGC 366,16.635,62.224,19.2,102
Pfleiderer 1,17.01,65.662,10.8,104
NGC 381,17.1075,61.579,21.6,105
BDSB 51,17.1525,63.118,7.8,106
FSR 0530,17.985,56.985,14.4,107
Stock 3,18.0375,62.258,13.2,108
Platais 2,18.225,32.05,158.4,109
NGC 433,18.801,60.123,16.8,110
NGC 436,18.996,58.811,18.6,111
FSR 0534,19.359,61.3,12,112
FSR 0537,19.7685,60.347,12,113
NGC 457,19.905,58.28,26.4,114
