id,alpha,delta,diameter,long name
Mel 1,6.01435381803669,-72.0789108212537,42,Melotte 1
Mel 2,11.1709580769065,85.3317049005493,15,Melotte 2
Mel 3,13.1694742732154,-26.5897546513791,12,Melotte 3
Mel 4,15.5803100660241,-70.8457429524611,10,Melotte 4
Mel 5,15.8648676293653,-72.063190279637,8,Melotte 5
Mel 6,18.9141016080618,58.8124613819341,4,Melotte 6
Mel 7,19.7714064653195,58.326488287249,10,Melotte 7
Mel 8,23.3061529596076,60.6978083194494,5,Melotte 8
Mel 9,26.0192392938022,61.8872854915354,5,Melotte 9
Mel 10,26.0489906614717,60.7037880226013,5,Melotte 10
Mel 11,26.5154491903196,61.2352091030502,11,Melotte 11
Mel 12,29.4353758057367,37.6717646478887,45,Melotte 12
Mel 13,34.7571637995518,57.1455836657537,36,Melotte 13
Mel 14,35.6170338977604,57.107568041236,36,Melotte 14
Mel 15,38.1943335834546,61.4432131888312,20,Melotte 15
Mel 16,40.6814534453912,61.5449543378374,18,Melotte 16
Mel 17,40.5074398908561,42.7783758143984,7,Melotte 17
Mel 18,48.6740094107383,47.2405885826215,30,Melotte 18
Mel 19,48.0582320391223,-55.225271933009,5,Melotte 19
Mel 20,50.5090711123969,48.6106481278798,151,Melotte 20
Mel 21,52.9137319464211,37.325318360557,15,Melotte 21
Mel 22,56.7358282428985,24.1114326819845,110,Melotte 22
Mel 23,63.845249762324,51.236995685433,25,Melotte 23
Mel 24,64.7600986866632,58.2965412607457,6,Melotte 24
Mel 25,64.9198159288265,15.6256062420128,330,Melotte 25
Mel 26,71.5115160698849,19.0666398196972,40,Melotte 26
Mel 27,72.7597018112378,43.6899522289699,15,Melotte 27
Mel 28,75.9174255986559,23.8092984886569,45,Melotte 28
Mel 29,77.6660182244926,16.5257846031395,15,Melotte 29
Mel 30,78.5219528505882,-40.0352410303728,8,Melotte 30
Mel 31,79.5397090131705,33.3755851898774,67.7,Melotte 31
Mel 32,80.0281187741742,39.3380120111535,9,Melotte 32
Mel 33,81.4422189200691,33.3907421347258,12,Melotte 33
Mel 34,81.0545637653448,-24.5251124732771,4.5,Melotte 34
Mel 35,82.0199697924778,35.3186636145061,5,Melotte 35
Mel 36,82.1776153768558,35.8338525100795,20,Melotte 36
Mel 37,84.030061487898,34.1325734684368,12,Melotte 37
Mel 38,88.0854589853486,32.5432127460948,20,Melotte 38
Mel 39,90.7419742482735,49.9022233533016,5,Melotte 39
Mel 40,91.8546907265038,24.0894155302052,4,Melotte 40
Mel 41,98.2801307150038,24.2771815896957,40,Melotte 41
Mel 42,93.7951749821143,39.8549449195184,6,Melotte 42
Mel 43,93.4572818069045,12.8065922478622,5,Melotte 43
Mel 44,93.9182704434766,-18.6493986504709,9,Melotte 44
Mel 45,95.2098778726381,-7.29469149332124,8,Melotte 45
Mel 46,97.3702290538708,-31.2835262173126,4,Melotte 46
Mel 47,98.0780257535637,4.86149141109165,40,Melotte 47
Mel 48,99.6368720626804,10.8801116255883,3,Melotte 48
Mel 49,100.251912064202,9.89083102696837,30,Melotte 49
Mel 50,100.810315340761,26.9696933490092,5,Melotte 50
Mel 51,102.331976690031,41.0561022418602,15,Melotte 51
Mel 52,101.74943738712,-20.7415970605343,30,Melotte 52
Mel 53,102.235271580055,-36.0137936389602,2,Melotte 53
Mel 54,102.935687334746,0.464788181785428,15,Melotte 54
Mel 55,103.757721323657,18.0078093238796,4,Melotte 55
Mel 56,104.012939913852,-7.19576454746848,3,Melotte 56
