id,alpha,delta,diameter,axisRatio,posAngle,MinAx,Type,B-Mag,V-Mag,J-Mag,H-Mag,K-Mag,SurfBr,Hubble,NGC,IC,Common name,NED notes,OpenNGC notes
IC0002,2.75367,-12.82286,0.98,3.1,142,0.32,G,15.46,,12.26,11.48,11.17,23.45,Sb,,,IRAS 00084-1306,MCG -02-01-031,PGC 000778
IC0003,3.02538,-0.41522,0.93,1.4,53,0.67,G,14.78,,11.53,10.79,10.54,23.5,E,,,MCG +00-01-038,PGC 000836,SDSS J001206.08-002454.7
IC0004,3.36225,17.48644,1.17,1.4,12,0.84,G,14.14,,11.51,10.65,10.5,23.01,Sc,,,IRAS 00108+1712,MCG +03-01-029,PGC 000897
IC0005,4.39554,-9.54336,0.99,1.5,9,0.66,G,14.57,,11.5,10.85,10.5,23.4,E,,,MCG -02-01-047,PGC 001145,SDSS J001734.93-093236.0
IC0006,4.72933,-3.27608,1.23,1.1,146,1.08,G,14.57,,11.03,10.32,10.08,23.89,E,,,MCG -01-01-075,PGC 001228,
IC0007,4.7215,10.59469,0.9,1.4,174,0.63,G,14.63,,11.33,10.57,10.26,23.22,S0,,,PGC 001216,,
IC0008,4.76133,-3.22208,0.82,2.4,129,0.34,G,15.16,,12.7,12.08,12.08,23.4,E?,,,MCG -01-01-076,PGC 001234,
IC0009,4.93325,-14.12189,0.59,1.3,122,0.46,G,15.41,,12.38,11.71,11.28,22.88,Sa,,,MCG -02-02-001,PGC 001271,
IC0010,5.07225,59.30378,6.76,1.1,129,6.03,G,11.78,10.35,7.23,6.34,6.01,24.53,IB,,,IRAS 00175+5902,IRAS 00177+5900,MCG +10-01-001
IC0012,5.06271,-2.65311,0.96,3,20,0.32,G,15.08,,12.02,11.3,10.92,22.93,Sbc,,,IRAS 00177-0255,MCG -01-02-003,PGC 001299
IC0013,5.08371,7.7005,1.29,2.4,162,0.53,G,14.93,,12.57,11.78,11.72,23.53,Sbc,,,MCG +01-02-003,PGC 001301,SDSS J002020.09+074202.2
IC0015,6.98996,-0.06128,0.44,1.2,91,0.38,G,15.9,,12.98,12.33,12.03,22.85,SBb,,,IRAS 00253-0020,LEDA 165298,SDSS J002757.58-000340.6
IC0016,7.03188,-13.09392,0.58,1.8,62,0.32,G,15.15,,12.75,12.05,11.71,23,S0-a,,,IRAS 00255-1322,MCG -02-02-017,PGC 001730
