id,alpha,delta,diameter,axisRatio,posAngle,minAxis,Dist kpc,Size pc
PGCC G114.69+14.47,339.96344,75.19821889,6.14955,1.58,0.996969,3.89348,,
PGCC G316.52+21.24,209.44270306,-39.87972611,4.77299,1.25,-0.712911,3.82317,,
PGCC G206.32-25.93,76.82254,-6.16077889,7.56756,1.32,-0.932083,5.71428,0.21,0.401703
PGCC G207.57-23.04,79.93613389,-5.85246889,8.07608,1.52,-0.296075,5.31464,,
PGCC G6.04+36.77,238.52662694,-2.84077694,7.80198,1.43,0.239946,5.46892,0.11,0.209013
PGCC G196.92-10.37,86.14817,9.16949389,7.48491,1.72,-0.411482,4.35225,0.4,0.664105
PGCC G0.67-0.02,266.82293694,-28.37805389,6.57633,1.42,0.548019,4.62689,,
PGCC G203.57-30.09,71.98712194,-5.92986,8.57976,1.46,-0.448368,5.85862,0.187932,0.387581
PGCC G4.13+35.75,238.38127111,-4.676125,,,,,0.11,
PGCC G203.45-24.77,76.63848889,-3.31649611,11.084,2.58,-1.12121,4.29061,0.381944,0.766184
PGCC G208.35-28.41,75.40286306,-8.88109806,7.52726,1.42,0.444207,5.31803,,
PGCC G117.09+12.42,351.29940806,74.30021694,7.95245,1.57,-0.175663,5.06994,,
PGCC G259.49-16.44,108.539635,-48.49239694,8.25806,1.42,-1.2153,5.81263,,
PGCC G318.71+17.03,213.77404806,-43.26004806,7.86761,1.45,1.00117,5.43691,,
PGCC G0.37-19.50,287.58590694,-37.13766889,6.72098,1.19,1.27193,5.64094,,
PGCC G114.17+14.82,337.56729111,75.23104111,13.9447,3.43,-0.634096,4.06223,,
PGCC G160.64-16.72,57.09775889,32.894165,,,,,0.14,
PGCC G96.72-15.07,338.61126694,40.724155,9.20723,2.12,-1.52832,4.34644,,
PGCC G195.29-16.98,79.58677694,7.16835306,,,,,0.4,
PGCC G178.78-20.08,67.77507,18.22152694,6.97057,1.4,-0.347685,4.96132,0.23,0.393448
PGCC G110.66+9.65,337.01196306,69.03445389,7.62065,1.36,-0.762991,5.61387,0.300608,0.571945
PGCC G204.00-25.12,76.57005306,-3.92704694,7.41237,1.53,-0.29709,4.84253,,
PGCC G179.54-23.49,65.48513806,15.50907889,7.05125,1.2,-0.388461,5.85655,0.23,0.429941
PGCC G177.97-9.72,76.07595806,25.19141611,8.28283,1.65,0.402249,5.01636,0.23,0.431259
PGCC G93.47-12.61,333.33346611,41.04140111,7.68114,1.56,1.54777,4.93058,0.676083,
PGCC G210.90-36.55,68.78575111,-14.25760694,7.98095,1.38,0.015042,5.79696,0.14,0.277001
PGCC G3.74+18.32,252.22413611,-15.59280889,6.75491,1.29,0.587623,5.25577,0.12,0.207987
PGCC G1.84+16.59,252.55107111,-18.07367111,6.52177,1.14,0.849908,5.74326,0.12,0.213634
PGCC G1.40+20.93,248.672745,-15.77509194,7.00258,1.12,-0.249724,6.25488,0.12,0.231018
PGCC G116.61-10.55,2.76789611,51.82303611,8.23715,1.82,-1.53291,4.51921,,
PGCC G316.41+20.98,209.40194694,-40.150005,11.9571,2.83,1.51064,4.2268,,
PGCC G114.57+14.73,339.04965194,75.355255,9.79917,1.9,-0.775722,5.16901,,
PGCC G359.89-17.66,285.2341,-36.92305389,7.64857,1.37,-1.45855,5.57829,,
PGCC G358.96+36.81,234.86885111,-7.17962194,9.22859,1.74,0.219126,5.29246,0.11,0.223623
PGCC G4.46+16.64,254.05538889,-16.01586694,7.15222,1.31,0.866014,5.46389,0.12,0.218212
PGCC G8.69+22.14,251.79136694,-9.59374889,6.17545,1.08,-1.45475,5.72133,0.12,
PGCC G114.43-13.95,0.45438694,48.10013611,7.34887,1.41,-0.295351,5.20067,,
