alpha,delta,GName,diameter,id
266.46375,-28.852222,000.1+00.0,5.9,PBD 1
266.620833,-28.818611,000.2-00.1,10.7,PBD 2
266.523333,-28.766667,000.2-00.0,9.2,PBD 3
267.070833,-28.940278,000.3-00.5,2.7,PBD 4
267.42375,-29.009167,000.4-00.8,7,PBD 5
267.129583,-28.854722,000.4-00.5,3.9,PBD 6
267.384167,-28.871944,000.5-00.7,2.3,PBD 7
266.798333,-28.562222,000.5-00.1,3.3,PBD 8
266.700833,-28.510278,000.5+00.0,4.8,PBD 9
267.63875,-28.888611,000.6-00.9,2.4,PBD 10
267.345,-28.734722,000.6-00.6,3.3,PBD 11
267.247083,-28.683333,000.6-00.5,4.8,PBD 12
267.149583,-28.631667,000.6-00.4,3.3,PBD 13
266.76,-28.425,000.6-00.0,9.9,PBD 14
266.91625,-28.391111,000.7-00.1,3.4,PBD 15
266.81875,-28.339444,000.7-00.0,3.2,PBD 16
266.780417,-28.201944,000.8+00.1,4.6,PBD 17
266.68375,-28.150278,000.8+00.2,1.8,PBD 18
267.150417,-28.048611,001.1-00.1,3.4,PBD 19
267.073333,-27.774167,001.3+00.1,3.3,PBD 20
267.55625,-26.865278,002.3+00.2,3.9,PBD 21
266.4075,-26.245,002.3+01.4,7,PBD 22
261.933333,-23.6775,002.3+06.2,1.1,PBD 23
267.9025,-26.932778,002.4-00.1,2.7,PBD 24
267.80625,-26.881667,002.4-00.0,14.9,PBD 25
266.465833,-26.159722,002.4+01.4,7.9,PBD 26
267.824583,-26.658611,002.6+00.1,2.6,PBD 27
268.091667,-26.451667,002.9-00.0,6,PBD 28
268.414583,-26.158056,003.3-00.1,6.9,PBD 29
268.318333,-26.107222,003.3+00.0,3.6,PBD 30
265.477083,-24.556389,003.3+03.0,0.6,PBD 31
268.58375,-25.899444,003.6-00.1,0.7,PBD 32
268.64,-25.813056,003.7-00.1,2.7,PBD 33
267.970833,-25.457778,003.7+00.6,0.6,PBD 34
266.175417,-24.477778,003.7+02.5,6.1,PBD 35
268.600417,-25.676389,003.8-00.0,18.4,PBD 36
266.42,-24.496389,003.8+02.3,4,PBD 37
268.65625,-25.59,003.9+00.0,1.8,PBD 38
269.070833,-25.345556,004.3-00.2,3.4,PBD 39
268.84,-25.108056,004.4+00.1,4.1,PBD 40
269.086667,-25.122222,004.5-00.1,5,PBD 41
262.6775,-21.5175,004.5+06.8,4.7,PBD 42
269.142083,-25.035833,004.6-00.1,4.7,PBD 43
267.7375,-24.0525,004.8+01.5,0.6,PBD 44
267.793333,-23.966667,004.9+01.5,12.4,PBD 45
269.172917,-24.589444,005.0+00.1,6.7,PBD 46
269.077917,-24.539167,005.0+00.2,9.1,PBD 47
268.982917,-24.488889,005.0+00.3,17,PBD 48
268.0375,-23.9825,005.0+01.3,1.3,PBD 49
269.664167,-24.616667,005.2-00.3,1.8,PBD 50
271.349583,-25.369167,005.3-02.0,0.6,PBD 51
270.483333,-24.927222,005.3-01.1,9.2,PBD 52
270.3875,-24.877778,005.3-01.0,14.3,PBD 53
269.62375,-24.48,005.3-00.2,1.6,PBD 54
269.338333,-24.33,005.3+00.1,16.2,PBD 55
268.3925,-23.825833,005.3+01.1,14.8,PBD 56
269.393333,-24.243333,005.4+00.1,9.2,PBD 57
269.298333,-24.193333,005.4+00.2,2.8,PBD 58
269.828333,-24.356667,005.5-00.3,6.6,PBD 59
269.733333,-24.306667,005.5-00.2,4.1,PBD 60
271.8975,-25.301944,005.6-02.4,2,PBD 61
271.42625,-24.835556,005.8-01.8,9.8,PBD 62
271.287917,-24.650556,005.9-01.6,1.1,PBD 63
270.904583,-24.454444,005.9-01.2,0.7,PBD 64
270.141667,-24.059444,005.9-00.4,6,PBD 65
271.054167,-24.416389,006.0-01.3,8.9,PBD 66
270.958333,-24.367222,006.0-01.2,8.5,PBD 67
269.721667,-23.723889,006.0+00.1,7.1,PBD 68
270.440417,-23.984722,006.1-00.6,3.3,PBD 69
269.965417,-23.736667,006.1-00.1,5.9,PBD 70
271.06625,-24.193056,006.2-01.2,1.5,PBD 71
270.494167,-23.897778,006.2-00.6,2.3,PBD 72
268.794167,-22.998889,006.2+01.2,19.3,PBD 73
268.10125,-22.507778,006.3+02.0,7.3,PBD 74
270.507083,-23.674444,006.4-00.5,6.5,PBD 75
269.939167,-23.376944,006.4+00.1,6.5,PBD 76
269.844583,-23.327222,006.4+00.2,0.7,PBD 77
271.417917,-24.029444,006.5-01.4,2.8,PBD 78
270.182083,-23.389444,006.5-00.1,1,PBD 79
269.993333,-23.290278,006.5+00.1,7.5,PBD 80
270.425417,-23.401667,006.6-00.3,6.7,PBD 81
270.23625,-23.302778,006.6-00.1,2.2,PBD 82
270.047083,-23.203333,006.6+00.1,11.8,PBD 83
272.386667,-24.291667,006.7-02.3,1.7,PBD 84
271.429583,-23.806111,006.7-01.3,7.1,PBD 85
270.384583,-23.265278,006.7-00.2,6.3,PBD 86
271.67375,-23.816389,006.8-01.5,5.3,PBD 87
270.912083,-23.425,006.8-00.7,0.4,PBD 88
272.300417,-24.020278,006.9-02.1,16.5,PBD 89
272.449167,-23.980833,007.0-02.2,17.1,PBD 90
271.399167,-23.446667,007.0-01.1,2.7,PBD 91
270.640417,-23.053889,007.0-00.3,5.2,PBD 92
270.545833,-23.004444,007.0-00.2,5.6,PBD 93
272.79,-24.037778,007.1-02.5,0.6,PBD 94
272.40625,-23.845278,007.1-02.1,4,PBD 95
270.27625,-22.632778,007.2+00.2,12,PBD 96
270.6125,-22.694444,007.3-00.1,6.5,PBD 97
272.564167,-23.5825,007.4-02.1,6.1,PBD 98
272.372917,-23.486111,007.4-01.9,6.7,PBD 99
269.914167,-22.211111,007.4+00.7,7.5,PBD 100
270.530833,-22.421667,007.5+00.1,0.8,PBD 101
269.967917,-22.124167,007.5+00.7,2.3,PBD 102
274.16125,-24.034722,007.7-03.6,2.3,PBD 103
270.825833,-22.346389,007.7-00.1,5.9,PBD 104
274.405833,-24.041111,007.8-03.8,3.2,PBD 105
271.35,-22.504444,007.8-00.6,3.9,PBD 106
274.264583,-23.858889,007.9-03.6,0.6,PBD 107
271.079167,-22.134167,008.0-00.2,4.8,PBD 108
270.756667,-21.850278,008.1+00.2,1.8,PBD 109
272.275,-22.408333,008.3-01.3,4.5,PBD 110
272.085833,-22.311389,008.3-01.1,0.6,PBD 111
271.14375,-21.823611,008.3-00.1,4.4,PBD 112
240.150833,-1.780278,008.3+36.1,12,PBD 113
271.384583,-21.834444,008.4-00.3,3.7,PBD 114
271.437083,-21.747222,008.5-00.3,33.1,PBD 115
271.343333,-21.698333,008.5-00.2,24.4,PBD 116
271.63625,-21.621667,008.7-00.4,0.8,PBD 117
271.5425,-21.572778,008.7-00.3,0.5,PBD 118
271.647083,-21.398056,008.9-00.3,1.3,PBD 119
240.9225,-1.736389,008.9+35.5,12.5,PBD 120
271.545833,-20.543333,009.6+00.2,1,PBD 121
272.62625,-20.989722,009.7-00.9,3,PBD 122
272.5325,-20.941389,009.7-00.8,6.8,PBD 123
271.8775,-20.602222,009.7-00.1,7,PBD 124
271.31875,-20.309444,009.7+00.5,7,PBD 125
272.771667,-20.950278,009.8-01.0,12.5,PBD 126
272.635833,-20.766389,009.9-00.8,5,PBD 127
272.687083,-20.678611,010.0-00.8,4.1,PBD 128
272.364583,-20.397778,010.1-00.4,3.7,PBD 129
271.34125,-19.8625,010.1+00.7,1.8,PBD 130
272.41625,-20.310278,010.2-00.4,3.7,PBD 131
272.322917,-20.261944,010.2-00.3,3.2,PBD 132
272.374583,-20.174444,010.3-00.3,3,PBD 133
272.28125,-20.126111,010.3-00.2,6.3,PBD 134
272.188333,-20.0775,010.3-00.1,2.5,PBD 135
272.002083,-19.980556,010.3+00.1,2.7,PBD 136
272.198333,-19.854167,010.5+00.0,1.8,PBD 137
272.622083,-19.960278,010.6-00.4,7.7,PBD 138
272.766667,-19.920833,010.7-00.5,4,PBD 139
272.30125,-19.679167,010.7+00.0,3.8,PBD 140
273.897083,-20.271944,010.9-01.6,5.8,PBD 141
272.31125,-19.455833,010.9+00.1,4.3,PBD 142
272.455417,-19.416667,011.0+00.0,1.9,PBD 143
241.535417,0.013333,011.1+36.0,6.1,PBD 144
273.58125,-19.77,011.2-01.1,9.7,PBD 145
272.929167,-19.434444,011.2-00.4,3.3,PBD 146
272.465,-19.193333,011.2+00.1,5.5,PBD 147
241.42375,0.3825,011.4+36.3,10,PBD 148
272.433333,-18.833889,011.5+00.3,0.4,PBD 149
274.394583,-19.615833,011.7-01.7,12.2,PBD 150
272.86375,-18.715833,011.8-00.0,7.3,PBD 151
273.470417,-18.916111,011.9-00.6,3.3,PBD 152
273.007083,-18.676389,011.9-00.1,14.5,PBD 153
272.914583,-18.628333,011.9-00.0,1.1,PBD 154
272.268333,-18.290278,011.9+00.7,1.8,PBD 155
272.17625,-18.241944,011.9+00.8,1.1,PBD 156
270.891667,-17.558889,011.9+02.2,0.4,PBD 157
273.150417,-18.636667,012.0-00.2,2.7,PBD 158
274.186667,-18.715,012.4-01.1,2,PBD 159
273.167917,-18.189722,012.4-00.0,2.3,PBD 160
272.79875,-17.9975,012.4+00.4,9.4,PBD 161
269.694167,-16.335556,012.4+03.8,1.7,PBD 162
273.50375,-18.022222,012.7-00.2,4.3,PBD 163
273.0425,-17.7825,012.7+00.3,3,PBD 164
273.554167,-17.934444,012.8-00.2,5.8,PBD 165
273.00125,-17.646944,012.8+00.4,10.5,PBD 166
273.696667,-17.894444,012.9-00.3,2.3,PBD 167
273.604167,-17.846667,012.9-00.2,3,PBD 168
273.6625,-17.535278,013.2-00.1,2.7,PBD 169
273.570417,-17.4875,013.2+00.0,2.1,PBD 170
273.478333,-17.439722,013.2+00.1,6.4,PBD 171
