id,alpha,delta,diameter,Other name,aka1,aka2,
RCW 1,107.5841,-12.0327,150,NGC 2327,“[GS55] 111,113,114”,“Gum 2,3”,
RCW 2,106.091,-10.5258,14,IC 2177,[GS55] 109,Gum 1,
RCW 3,109.0972,-9.3897,4,[GS55] 115,,,
RCW 4,110.9764,-8.5983,60,,,,
RCW 5,109.604,-13.2421,8,NGC 2359,[GS55] 116,Gum 4,
RCW 6,107.5519,-18.4827,12,Gum 5,,,
RCW 7,112.9375,-16.9572,17,(NGC 2409?),Gum 6,,
RCW 8,112.6294,-18.5559,3,,,,
RCW 9,101.2668,-24.3865,90,,,,
RCW 10,112.8023,-19.0067,18,,,,
RCW 11,103.5221,-23.6472,60,,,,
RCW 12,113.979,-18.8119,6,Gum 7,,,
RCW 13,113.0754,-19.4079,12,,,,
RCW 14,109.7852,-21.9263,6,(NGC 2367),,,
RCW 15,107.5164,-25.0826,300,,,,
RCW 16,118.3191,-26.381,33,(NGC 2467),Gum 9,,
RCW 17,116.8622,-27.3414,2,,,,
RCW 18,119.7786,-33.8373,1,,,,
RCW 19,123.8485,-35.8541,48,Gum 10,,,
RCW 20,124.8486,-36.1582,10,NGC 2579,Gum 11,,
RCW 21,127.6663,-38.3359,1,,,,
RCW 22,138.9038,-31.3757,45,,,,
RCW 23,129.2188,-38.5252,2,,,,
RCW 24,126.35,-40.3642,3,,,,
RCW 25,129.6907,-39.2103,2,,,,
RCW 26,131.6242,-38.6341,3,,,,
RCW 27,129.5831,-40.3766,100,Gum 14,,,
RCW 28,125.3309,-42.7102,2,,,,
RCW 29,125.4313,-42.6939,2,Gum 13,,,
RCW 30,125.7074,-42.645,2,Gum 13,,,
RCW 31,126.005,-43.0795,3,,,,
RCW 32,131.2063,-41.3326,27,Gum 15,,,
RCW 33,132.8311,-42.0885,95,Gum 17,,,
RCW 34,134.0531,-43.1262,2,Gum 19,,,
RCW 35,132.8677,-44.1053,30,Gum 18,,,
RCW 36,134.8265,-43.7455,12,Gum 20,,,
RCW 37,135.0622,-45.9464,13,Part of NGC 2736,,,
RCW 38,134.8002,-47.4621,40,“Gum 22,23,24”,,,
RCW 39,135.8973,-48.3992,2,,,,
RCW 40,135.6694,-48.6485,8,Gum 25,,,
RCW 41,139.1384,-47.9599,8,,,,
RCW 42,141.0153,-52.1158,9,Gum 26,,,
RCW 43,141.7589,-56.1181,2,NGC 2899,Gum 27,,
RCW 44,142.788,-56.3045,2,,,,
RCW 45,152.9494,-56.3975,16,,,,
RCW 46,151.9345,-57.4952,15,,,,
RCW 47,151.2931,-58.9438,25,,,,
RCW 48,153.9454,-57.8497,15,NGC 3199,Gum 28,,
RCW 49,155.9604,-57.7039,90,(NGC 3247),Gum 29,,
RCW 50,156.5935,-57.1551,12,,,,
RCW 51,159.5089,-57.9604,12,,,,
RCW 52,161.369,-58.5635,15,BBW 22500,Gum 32,,
RCW 53,160.4799,-59.7621,210,“NGC 3293, 3324, IC 2599”,BBW 22500,,
RCW 54,165.0126,-60.3687,210,“(NGC 3503)? (NGC 3572)?”,“Gum 34,35,36,37”,,
RCW 55,164.0388,-63.0174,8,,,,
RCW 56,166.3378,-62.4703,2,,,,
RCW 57,168.6643,-61.2061,170,NGC 3603,“Gum 38,a,b”,,
RCW 58,166.5716,-65.5706,7,,,,
RCW 59,174.3465,-56.9436,180,,,,
RCW 60,172.1899,-62.7757,50,IC 2872,BBW 2620,“Gum 39,40”,
RCW 61,172.6409,-63.776,15,Gum 41,,,
RCW 62,174.3338,-63.177,80,“IC 2944,8”,BBW 26201,Gum 42,
RCW 63,184.9193,-52.2776,250,,,,
RCW 64,184.8583,-62.961,3,,,,
RCW 65,188.5889,-61.5756,11,Gum 43,,,
RCW 66,188.8674,-61.9254,2,Gum 44,,,
RCW 67,188.9687,-62.0253,4,,,,
RCW 68,190.0528,-61.8745,15,,,,
RCW 69,191.1151,-62.5736,5,Gum 45,,,
RCW 70,192.1557,-63.8393,1,,,,
RCW 71,192.5737,-61.5722,4,Gum 46,,,
RCW 72,193.3289,-61.2714,2,,,,
RCW 73,193.7585,-61.4709,2,,,,
RCW 74,197.7514,-62.8158,15,,,,
RCW 75,199.9436,-62.5125,18,BBW 27300,Gum 48a,,
