id,A,C,D,S,alpha,delta,BMAG,VMAG,B-V,SB,diameter,minAxis,axisRatio,posAngle,TYPE,z,D(z),Dist,PGC,ID1,ID2,ID3
NGC 1,,,*,1,1.81625,27.7089,13.7,12.9,0.8,13.5,1.7,1.2,1.42,120,Sb,0.015177,64.11,63.2,564,UGC 57,MCG 4-1-25,CGCG 477-54
NGC 2,,,*,1,1.82125,27.6786,15,14.2,0.8,13.6,1,0.6,1.67,112,Sab,0.025214,106.5,93.19,567,UGC 59,MCG 4-1-26,CGCG 477-55
NGC 3,,,*,1,1.82,8.3014,14.2,13.3,0.9,12.8,1.1,0.6,1.83,111,S0,0.013009,54.95,,565,UGC 58,MCG 1-1-37,CGCG 408-35
NGC 4,,,*,1,1.85208333333333,8.3739,16.9,15.8,1,13.8,0.6,0.3,2,35,S0,0.029409,=300000*X5/71,,212468,,,
NGC 5,,,*,1,1.95333333333333,35.3628,14.3,13.3,1,13.1,1.2,0.7,1.71,115,E4,0.017048,72.01,,595,UGC 62,MCG 6-1-13,CGCG 517-17
NGC 6,,,*,7,2.38583333333333,33.3089,14.1,13.1,1,14.3,1.7,1.6,1.06,140,E-S0,0.016581,70.04,,679,NGC 20,UGC 84,MCG 5-1-36
NGC 7,,,*,1,2.08625,-29.9164,14.4,13.9,0.5,14,2.2,0.5,4.4,29,SBc,0.004987,21.06,21.93,627,ESO 409-22,MCG -5-1-37,AM 0005-301
NGC 8,,,*,9,2.18875,23.8386,,,,,,,,,*2,,,,,,,
NGC 9,,,*,1,2.22708333333333,23.8178,14.3,13.5,0.8,12.6,1.1,0.7,1.57,155,Sb/P,0.015104,63.8,43.53,652,UGC 78,MCG 4-1-30,CGCG 477-59
NGC 10,,,*,1,2.14291666666667,-33.8578,13.3,12.5,0.8,13.5,2.4,1.2,2,26,SBbc,0.022719,95.96,91.75,634,ESO 349-32,MCG -6-1-24,AM 0006-340
NGC 11,,,*,1,2.17625,37.4481,14.6,13.7,0.9,12.7,1.5,0.3,5,111,Sa,0.01464,61.84,,642,UGC 73,MCG 6-1-15,CGCG 517-20
NGC 12,,,*,1,2.18666666666667,4.6122,13.8,13.1,0.7,14,1.1,1,1.1,125,SBc,0.013146,55.53,,645,UGC 74,MCG 1-1-40,CGCG 408-38
NGC 13,,,*,1,2.19875,33.4331,14,13.2,0.8,13.5,2.3,0.6,3.83,53,Sab,0.016038,67.74,61.03,650,UGC 77,MCG 5-1-34,CGCG 498-81
NGC 14,,,*,1,2.19291666666667,15.8158,12.7,12.1,0.6,13.9,2.8,2.1,1.33,25,IBm,0.002885,12.19,12.8,647,UGC 75,MCG 3-1-26,CGCG 456-34
NGC 15,,,*,1,2.26,21.625,14.7,13.8,0.9,13.1,1,0.6,1.67,30,Sa,0.021121,89.21,,661,UGC 82,MCG 3-1-27,CGCG 456-35
NGC 16,,,*,1,2.2675,27.73,13,12,1,12.5,1.8,1,1.8,16,E/SB0,0.01034,43.68,,660,UGC 80,MCG 4-1-32,CGCG 477-61
NGC 17,,,*,1,2.7775,-12.1078,15.3,14.4,0.9,14.8,2.1,0.8,2.63,30,S/P,0.019617,82.86,,781,NGC 34,MCG -2-1-32,MK 938
NGC 18,,,*,9,2.34583333333333,27.7322,,,,,,,,,*2,,,,,,,
NGC 19,,,*,1,2.67,32.9828,14.1,13.3,0.8,12.7,1.1,0.6,1.83,42,SBbc,0.015971,67.46,63.43,759,UGC 98,MCG 5-1-46,CGCG 499-65
NGC 20,,,*,1,2.38583333333333,33.3089,14.1,13.1,1,14.3,1.7,1.6,1.06,140,E-S0,0.016581,70.04,,679,NGC 6,UGC 84,MCG 5-1-36
NGC 21,,,*,7,2.69583333333333,33.3519,13.5,12.7,0.8,12.8,1.5,0.7,2.14,154,SBbc,0.015911,67.21,71.68,767,NGC 29,UGC 100,MCG 5-1-48
NGC 22,,,*,1,2.45083333333333,27.8328,14.4,13.6,0.8,13.8,1.3,1,1.3,160,Sb,0.027726,117.11,108.5,690,UGC 86,MCG 5-1-39,CGCG 499-55
NGC 23,,,*,1,2.47208333333333,25.9239,12.9,12,0.9,13,2.1,1.3,1.62,8,SBa,0.015231,64.33,59.25,698,UGC 89,MCG 4-1-33,MK 545
NGC 24,,,*,1,2.48375,-24.9644,12.2,11.6,0.6,13.7,5.8,1.3,4.46,46,Sc,0.001848,7.81,6.89,701,ESO 472-16,MCG -4-1-18,UGCA 2
NGC 25,,,*,1,2.49708333333333,-57.0203,13.6,13,0.6,13,1.4,0.8,1.75,88,E/SB0,0.031572,133.36,,706,ESO 149-19,FAIR 1,AM 0007-571
NGC 26,,,*,1,2.60791666666667,25.8322,13.7,12.9,0.8,13.9,2.1,1.4,1.5,100,Sab,0.015317,64.7,62.4,732,UGC 94,MCG 4-1-34,CGCG 477-64
NGC 27,,,*,1,2.63625,28.9969,14.3,13.5,0.8,13.1,1.2,0.5,2.4,117,Sb,0.02346,99.09,91.61,742,UGC 96,MCG 5-1-44,CGCG 499-63
NGC 28,,,*,1,2.605,-56.9889,14.8,13.8,1,13.1,0.8,0.6,1.33,119,E1,0.032156,135.82,,730,AM 0007-571,,
NGC 29,,,*,1,2.69583333333333,33.3519,13.5,12.7,0.8,12.8,1.5,0.7,2.14,154,SBbc,0.015911,67.21,71.68,767,NGC 21,UGC 100,MCG 5-1-48
NGC 30,,,*,9,2.71166666666667,21.9775,,,,,,,,,*2,,,,,,,
NGC 31,,,*,1,2.66041666666667,-56.9861,14.6,13.9,0.7,13.4,1.3,0.7,1.86,5,Sc,0.032025,135.27,,751,ESO 149-20,AM 0007-571,
NGC 32,,,*,9,2.72166666666667,18.7925,,,,,0.6,,,,*2,,,,,,,
NGC 33,,,*,9,2.73583333333333,3.6764,,,,,,,,,*2,,,,,,,
NGC 34,,,*,7,2.7775,-12.1078,15.3,14.4,0.9,14.8,2.1,0.8,2.63,30,S/P,0.019617,82.86,,781,NGC 17,MCG -2-1-32,MK 938
NGC 35,,,*,1,2.79333333333333,-12.0206,14.9,14.1,0.8,12.8,0.7,0.5,1.4,135,Sb,0.019894,84.03,,784,MCG -2-1-33,NPM1G -12.0011,IRAS 00086-1217
NGC 36,,,*,1,2.84333333333333,6.3889,14.1,13.3,0.8,14.1,2.2,1.1,2,21,SBb,0.020114,84.96,67.65,798,UGC 106,MCG 1-1-43,CGCG 408-40
NGC 37,,,*,1,2.84583333333333,-56.9569,14.7,13.7,1,13.3,1.1,0.7,1.57,35,SB0,0.032606,137.73,,801,ESO 149-22,AM 0007-571,
NGC 38,,,*,1,2.94583333333333,-5.5864,14.2,13.3,0.9,13.8,1.4,1.3,1.08,80,Sa,0.026802,113.21,,818,MCG -1-1-47,,
NGC 39,,,*,1,3.07833333333333,31.0608,14.2,13.5,0.7,13.5,1.1,1,1.1,120,Sc,0.016201,68.43,,852,UGC 114,MCG 5-1-52,CGCG 499-76
NGC 40,,,*,3,3.25416666666667,72.5225,10.7,12.3,,,1.23,,,,PN,,,1.984,,PK 120+9.1,CS=10.6,
NGC 41,,,*,1,3.2,22.0239,14.4,13.7,0.7,12.6,0.8,0.5,1.6,123,Sc,0.019844,83.82,79.83,865,MCG 4-1-39,CGCG 478-42,KUG 0010+217
NGC 42,,,*,1,3.23458333333333,22.1008,14.8,13.8,1,13.2,1.1,0.6,1.83,115,E-S0,0.01995,84.27,,867,UGC 118,MCG 4-1-41,CGCG 478-43
NGC 43,,,*,1,3.25375,30.9156,13.6,12.6,1,13.4,1.6,1.5,1.07,15,SB0,0.015961,67.42,,875,UGC 120,MCG 5-1-54,CGCG 499-79
NGC 44,,,*,9,3.30583333333333,31.2867,,,,,,,,,*2,,,,,,,
NGC 45,,,*,1,3.51666666666667,-23.1814,11.3,10.6,0.7,14.7,8.5,5.9,1.44,142,SBd,0.001558,6.58,9.31,930,ESO 473-1,MCG -4-1-21,UGCA 4
NGC 46,,,*,9,3.54166666666667,5.9872,11.7,,,,,,,,*,,,,,,,
NGC 47,,,*,1,3.62708333333333,-7.1678,13.9,13.1,0.8,14.7,2.3,2.1,1.1,81,SBbc,0.019013,80.31,,967,NGC 58,MCG -1-1-55,IRAS 00119-0726
NGC 48,,,*,1,3.50875,48.235,14.4,13.6,0.8,13.7,1.6,1,1.6,15,SBbc,0.005924,25.02,43.6,929,UGC 133,MCG 8-1-31,CGCG 549-27
NGC 49,,,*,1,3.59333333333333,48.2472,14.7,13.7,1,13.4,1.1,1,1.1,165,S0,0.015924,67.26,,952,UGC 136,MCG 8-1-33,CGCG 549-29
NGC 50,,,*,1,3.68583333333333,-7.345,13.3,12.3,1,14,2.4,1.8,1.33,170,E-S0,0.019016,80.32,,983,MCG -1-1-58,,
NGC 51,,,*,1,3.645,48.2561,14.1,13.1,1,13.3,1.3,1,1.3,20,S0,0.017849,75.39,,974,UGC 138,MCG 8-1-35,CGCG 549-31
NGC 52,,,*,1,3.66666666666667,18.5817,14.1,13.4,0.7,13.1,2.2,0.4,5.5,127,Sc,0.017986,75.97,86.8,978,UGC 140,MCG 3-1-30,CGCG 456-42
NGC 53,,,*,1,3.67916666666667,-60.3286,13.3,12.6,0.7,13.6,2,1.4,1.43,172,SBb,0.015237,64.36,,982,ESO 111-20,FAIR 3,AM 0012-603
NGC 54,,,*,1,3.78166666666667,-7.1067,14.3,13.4,0.9,12.4,1.3,0.5,2.6,93,Sa,0.017802,75.19,,1011,MCG -1-1-60,,
NGC 55,,,*,1,3.78333333333333,-39.2194,8.4,7.9,0.5,13.4,31.2,5.9,5.29,108,SBm,0.00043,1.82,1.94,1014,ESO 293-50,MCG -7-1-13,
NGC 56,,,*,10,3.83583333333333,12.4444,,,,,,,,,NF,,,,,,,
NGC 57,,,*,1,3.87875,17.3292,12.7,11.6,1.1,13.1,2.2,1.9,1.16,40,E1,0.018146,76.65,,1037,UGC 145,MCG 3-1-31,CGCG 456-46
NGC 58,,,*,7,3.62708333333333,-7.1678,13.9,13.1,0.8,14.7,2.3,2.1,1.1,81,SBbc,0.019013,80.31,,967,NGC 47,MCG -1-1-55,IRAS 00119-0726
NGC 59,,,*,1,3.85541666666667,-21.4447,13.1,12.4,0.7,13.6,2.6,1.3,2,127,E-S0,0.001207,5.1,4.85,1034,ESO 539-4,MCG -4-1-26,KDWG 2
NGC 60,,,*,1,3.9925,-0.3036,14.8,14.1,0.7,14.3,1.3,1.2,1.08,155,Sc,0.039452,166.64,,1058,UGC 150,MCG 0-1-48,CGCG 382-37
