id,alpha,delta,diameter,HII region
SFO 45,109.598703,-22.103549,3.86,RCW14
SFO 46,109.857575,-44.583699,1.53,Gum Neb.
SFO 47,112.95383,-19.459287,2.27,S306
SFO 48,113.60386,-46.903444,2.9,Gum Neb.
SFO 49,113.920612,-18.816375,3.49,S307
SFO 50,115.118868,-43.105635,1.53,Gum Neb.
SFO 51,122.386747,-36.08345,2.37,Gum Neb.
SFO 52,126.432739,-51.010209,3.06,Gum Neb.
SFO 53,126.632137,-50.674871,2.67,Gum Neb.
SFO 54,128.882013,-40.641144,4.56,NGC2626
SFO 55,130.304316,-40.867596,8.67,RCW27
SFO 56,130.748124,-39.99895,4.9,RCW27
SFO 57,131.032036,-41.270567,3.24,RCW32
SFO 58,131.355879,-41.267309,4.57,RCW32
SFO 59,134.51767,-47.38255,1.06,RCW38
SFO 60,135.005056,-47.527015,1.35,RCW38
SFO 61,165.056389,-59.602622,3.88,NGC3503
SFO 62,165.315991,-59.850172,4.93,NGC3503
SFO 63,165.828253,-59.800245,3.59,NGC3503
SFO 64,168.074929,-58.772191,4.7,BBW347
SFO 65,173.23044,-63.466374,9.94,RCW62
SFO 66,173.456064,-63.272339,1.51,RCW62
SFO 67,173.502993,-63.188477,4.25,RCW62
SFO 68,173.883097,-63.247578,5.26,RCW62
SFO 69,175.296644,-63.386869,5.59,RCW62
SFO 70,175.54662,-63.130582,2.57,RCW62
SFO 71,197.0527,-62.174025,6.43,(Cen R1)
SFO 72,199.782169,-62.562166,1.95,RCW75
SFO 73,200.0239,-62.400941,2.51,RCW75
SFO 74,214.925234,-61.421289,4.31,RCW85
SFO 75,238.959848,-54.649518,4.61,RCW98
SFO 76,242.660659,-49.09767,2.29,RCW105
SFO 77,244.97446,-25.56085,0.35,(σ Sco)
SFO 78,245.220335,-25.13532,0.27,(σ Sco)
SFO 79,250.000544,-48.862391,13.13,RCW108
SFO 80,250.069885,-48.706794,2.94,RCW108
SFO 81,250.286531,-49.295822,2.76,RCW108
SFO 82,251.708996,-41.231631,1.87,RCW113/116
SFO 83,253.049798,-40.802376,1.85,RCW113/116
SFO 84,253.437755,-40.122785,5.44,RCW113/116
SFO 85,254.776578,-42.701041,5.09,RCW113/116
SFO 86,267.400597,-31.486822,3.9,RCW134
SFO 87,270.714799,-24.368945,4.26,M8
SFO 88,271.069988,-24.116382,4.61,M8
SFO 89,272.476402,-24.082327,2.29,Siméis 188
