id,alpha,delta,diameter,Common Name
SL 1,129.756255,-40.727217,7.719,
SL 2,131.156365,-41.299079,4.282,
SL 3,133.510218,-41.75756,6.056,
SL 4,133.406932,-42.223867,18.04,
SL 5,144.524252,-45.776093,36.459,
SL 6,239.5599,-42.592885,11.125,Lupus 4 cloud a
SL 7,240.456422,-41.872454,14.833,Lupus 4 cloud b
SL 8,243.555537,-44.059263,11.726,
SL 9,241.983357,-41.699314,16.021,Lupus 4 cloud c
SL 10,242.860249,-41.712222,11.329,Lupus 4 cloud d
SL 11,239.250031,-37.794099,7.719,
SL 12,235.670547,-34.158631,17.524,B 228
SL 13,236.423801,-34.472283,18.04,B 228
SL 14,242.390114,-39.114197,15.439,
SL 15,251.649429,-44.506416,5.244,B 235
SL 16,246.253571,-40.014036,9.332,
SL 17,253.243526,-43.582367,7.719,Dark Wolf Nebula
SL 18,251.188921,-40.375114,5.244,B 44a
SL 19,254.810636,-42.441709,10.917,
SL 20,255.247317,-40.789631,12.846,B 48
SL 21,249.226274,-35.600642,5.244,B 231
SL 22,261.568773,-42.626317,11.125,B 263
SL 23,257.798464,-40.610933,13.37,B 58
SL 24,249.37373,-35.199967,4.282,B 231
SL 25,251.026689,-35.342436,13.37,B 233
SL 26,263.55102,-40.41673,9.332,
SL 27,255.761959,-36.103795,11.125,
SL 28,263.816465,-39.232092,10.042,
SL 29,263.816331,-39.215426,10.488,
SL 30,255.750206,-34.437154,8.827,B 50
SL 31,255.692216,-33.270741,6.056,B 49
SL 32,256.51774,-33.250188,8.564,B 53
SL 33,260.486922,-35.59803,7.719,B 257
SL 34,259.556822,-34.969131,7.416,
SL 35,259.379824,-34.703304,21.728,
SL 36,265.948872,-33.421672,6.056,
SL 37,266.726833,-33.817908,20.311,
SL 38,266.745695,-32.934468,16.305,
SL 39,286.045381,-37.308347,16.164,
SL 40,285.719229,-37.109872,16.858,
SL 41,285.293169,-36.911869,11.92,
SL 42,287.567539,-37.134577,12.299,
