name,alpha,delta,magnitude,diameter,Member count,Common name
Shk 1,163.70896,40.46666,17,1.4,17,
Shk 2,175.94248,51.42249,17,1,9,
Shk 3,168.96591,53.72716,18,0.4,5,VV153
Shk 4,244.97119,61.71522,17,0.9,8,
Shk 5,169.31688,54.91016,17,0.7,5,
Shk 6,169.70616,51.74313,16,0.8,7,
Shk 7,166.47147,39.77978,17.5,0.8,7,
Shk 8,240.87511,52.36386,17.5,0.6,7,
Shk 9,201.05645,19.00636,16,2.5,17,
Shk 10,212.73376,46.26524,17.5,4,30,
Shk 11,212.76683,44.73199,17,2.8,9,
Shk 12,244.2261,53.545,17.5,1.6,7,
Shk 13,251.33132,53.71028,17.5,1.7,10,
Shk 14,216.3127,47.24173,16,0.9,6,
Shk 15,215.2329,44.55532,16.5,2.3,13,
Shk 16,252.28303,53.43133,14,5,14,IZW167
Shk 17,136.46099,77.65082,18.5,0.6,5,
Shk 18,133.47008,79.16156,16,0.7,8,
Shk 19,202.11109,15.84155,16.5,0.35,5,MCG 3-34-39
Shk 20,236.70811,54.99662,17,2.5,20,
Shk 21,356.69127,-1.75548,16,2.6,12,
Shk 22,236.43253,55.12884,16.5,2.4,13,
Shk 23,242.47161,52.25402,18,0.8,8,
Shk 24,356.741,-0.8888,18.5,0.7,5,
Shk 25,238.00925,56.45198,18.5,1.2,8,
Shk 26,165.50212,50.33098,16.5,1,9,MCG 8-20-69A
Shk 27,353.18984,1.55959,17,3,15,
Shk 28,231.33129,54.89215,18,0.9,6,
Shk 29,242.17038,52.43606,18,0.9,8,
Shk 30,356.86642,-2.35542,14,4.5,20,
Shk 31,14.55743,13.90318,17.6,1,7,
Shk 32,15.43849,-1.58122,16.6,3.3,13,
Shk 33,15.93898,-1.14853,17.7,0.7,6,
Shk 34,16.14933,6.65118,16.7,1.6,9,
Shk 35,16.43947,-0.7492,16,0.8,6,
Shk 36,16.57193,4.73395,17.6,3.1,8,
Shk 37,17.23479,13.43303,17.2,2.8,14,
Shk 38,17.72763,8.31566,17.4,1.1,6,IIIZW22
Shk 39,19.45635,9.89636,16.8,3.3,13,
Shk 40,21.25524,8.4767,--,--,--,VZW8
Shk 41,22.25442,7.67493,17.2,0.9,7,
Shk 42,22.42983,7.84127,18.2,1.9,11,
Shk 43,24.60754,8.52044,16.5,3.5,8,
Shk 44,25.22123,2.85253,16.5,2.8,9,MKG0-5-31
Shk 45,28.97566,14.82766,17.3,2.2,13,
Shk 46,31.29865,3.32204,17.3,6.7,20,
Shk 47,31.49765,2.90487,18,1.3,6,
Shk 48,147.00491,46.88429,17.5,1.3,5,
Shk 49,153.81659,38.93435,16.8,1.2,7,
Shk 50,154.36482,45.36653,16.5,2.3,14,
Shk 51,157.65369,39.2099,16.1,5,12,
Shk 52,158.50586,47.8917,17.2,1.8,9,
Shk 53,159.24108,44.90704,17,--,--,IIIZW10
Shk 54,159.59951,40.23973,16,5.5,20,
Shk 55,160.82091,48.37105,17.2,1.5,9,
Shk 56,160.87467,42.02094,17.6,1.8,8,
Shk 57,161.57103,49.46985,17.5,,,IIIZW20
Shk 58,166.80989,34.06271,18.5,3.5,13,
Shk 59,168.90141,70.82727,17.6,2.3,8,
Shk 60,171.15366,40.42523,16.5,1.6,9,
Shk 61,171.25394,40.94182,--,--,--,IIIZW12
Shk 62,171.47478,38.39165,17.2,3.5,9,
Shk 63,172.40095,42.441,16.2,0.9,6,
Shk 64,172.42557,42.22431,17.8,2.8,13,
Shk 65,172.71664,35.04078,17.6,4,45,
Shk 66,174.66249,38.33969,16.7,4.7,14,
Shk 67,175.90963,41.38916,16.6,1.3,7,
Shk 68,176.92919,39.27215,17.1,2,7,
Shk 69,178.04999,40.10521,17.5,2.2,5,
Shk 70,180.31566,41.22166,18,1.7,7,
Shk 71,195.45836,38.06469,17.2,3.5,14,
Shk 72,198.09643,38.985,17.3,3.3,12,
Shk 73,201.686,16.17412,18.5,0.8,6,
Shk 74,215.26576,43.07207,17.4,4.2,12,
Shk 75,216.95643,38.79352,17.3,7.1,20,
Shk 76,218.1151,41.28029,18,1.5,10,MKG7-30-24
Shk 77,223.10804,39.67934,17.5,2.3,11,
Shk 78,228.26546,40.16388,16.8,1.2,8,
Shk 79,233.15749,43.06561,17.3,1,10,
Shk 80,234.28977,41.63669,17.5,0.6,6,
Shk 81,329.49537,-1.74425,17.8,1.3,11,
Shk 82,348.43907,1.77245,16.8,0.9,5,
Shk 83,351.54209,-1.74151,16.5,1.9,9,
Shk 84,353.66124,7.99319,16.5,1.3,6,
Shk 85,118.91326,54.78419,18,1.5,10,
Shk 86,119.46338,50.66508,18.2,0.5,5,
Shk 87,121.18068,54.79127,17,1,7,
Shk 88,121.28749,51.09073,18.7,1.3,10,
Shk 89,121.52891,50.3397,18.5,0.9,8,
Shk 90,121.60902,55.17282,17.5,2.5,12,
Shk 91,121.7649,51.45541,17,1,6,
Shk 92,122.00565,55.02117,17.5,1,7,
Shk 93,122.76538,54.00134,17,2.5,7,
Shk 94,126.02693,53.88816,17.5,2.5,8,
Shk 95,127.21,50.30011,16.5,1.1,6,
Shk 96,129.52408,52.59127,17.5,4.5,16,
Shk 97,130.80943,51.63643,17.5,3,9,
Shk 98,133.0443,53.57832,16.7,3,10,
Shk 99,137.1516,60.28089,18,1.8,7,
Shk 100,138.71777,53.59227,17.5,5,16,
Shk 101,139.60766,61.85624,18.3,0.9,5,
Shk 102,140.09608,61.27134,17.7,2.2,8,
Shk 103,140.23308,53.3541,17.5,4,14,
Shk 104,141.797,52.98259,17.8,1.2,6,
Shk 105,145.39338,62.03889,16.5,2.6,11,
Shk 106,147.16016,51.76725,18.5,2,13,
Shk 107,148.26896,50.18099,18.2,4,8,
Shk 108,148.56705,50.11355,17.5,1.5,5,
Shk 109,151.78918,67.43918,18.5,1.1,7,
Shk 110,153.33811,29.70202,17.7,1.1,5,
Shk 111,154.08051,27.6504,16.5,3.5,8,
Shk 112,154.23103,27.96674,17.4,0.8,6,
Shk 113,155.25705,61.1981,17,1.5,9,
Shk 114,158.48622,54.3751,17.5,1.8,8,
Shk 115,161.74839,32.91952,18.1,3.3,8,
Shk 116,162.53706,59.63508,18.2,2.7,9,
Shk 117,162.9417,50.35111,18.4,0.7,6,
Shk 118,164.93661,52.21504,18.6,1.2,9,
Shk 119,165.34654,37.68114,17.4,1.2,6,
Shk 120,166.14028,35.88016,16.8,1.6,10,
Shk 121,172.71945,37.85745,18,1.5,5,
Shk 122,175.8249,57.28921,18,3,11,
Shk 123,176.17252,57.50574,16.7,1.9,12,
Shk 124,181.38183,59.38839,16.5,3.6,14,
Shk 125,181.63189,53.70508,17.3,1.7,12,
Shk 126,190.25179,52.84254,17.5,3,13,
Shk 127,196.47974,71.56618,17.8,1.1,7,
Shk 128,199.95214,55.75464,17.2,0.8,7,
Shk 129,206.37993,74.08379,17.5,1,8,
Shk 130,210.74499,67.59378,18.3,2,11,
Shk 131,219.59569,62.75176,17,1.9,6,
Shk 132,222.91357,64.71245,17.4,0.9,5,
Shk 133,232.0026,56.99476,18,0.9,6,
Shk 134,236.08773,67.26123,17.5,1.8,7,
Shk 135,243.44545,64.37533,16.8,2.4,11,
Shk 136,253.24377,65.90301,17.5,2.9,11,
Shk 137,257.80606,67.55794,17.5,2.7,9,
Shk 138,261.88336,64.66058,17,3.2,16,
Shk 139,15.62005,3.55188,,1.4,6,
Shk 140,15.63841,-1.61481,,2.8,7,
Shk 141,16.18838,-1.58219,,3.8,12,
Shk 142,26.79778,3.41588,,2.7,10,
Shk 143,27.36289,-1.11869,,1.7,6,
Shk 144,29.436,-1.8401,,2.2,9,
Shk 145,34.15949,-2.15209,,6.6,15,
Shk 146,55.50754,-1.94107,,1.6,6,
Shk 147,58.0907,0.09848,,1.3,7,
Shk 148,58.76935,0.97903,,3.9,9,
Shk 149,113.72353,81.96019,,2.3,12,
Shk 150,132.06944,82.76771,,3,15,
Shk 151,144.29289,0.69152,,1.7,7,
Shk 152,144.7714,1.94017,,2.7,9,
Shk 153,170.86132,78.02556,,1.1,5,
Shk 154,170.71664,1.10884,,2,14,
Shk 155,173.169,78.74057,,2,8,
Shk 156,178.91816,75.85511,,2.3,10,
Shk 157,179.80075,75.78837,,0.9,8,
Shk 158,194.4068,78.26359,,2.7,7,
Shk 159,194.94585,86.36478,,0.9,5,
Shk 160,200.50226,77.38915,,2.2,11,
Shk 161,222.39183,78.6783,,1.7,6,
Shk 162,221.57736,84.94426,,1.1,6,
Shk 163,230.25784,75.05572,,0.7,6,
Shk 164,240.89069,85.28633,,3.3,10,
Shk 165,251.74624,81.88234,,1.3,7,
Shk 166,253.01907,81.62147,,7.9,10,
Shk 167,262.31335,74.94706,,1.3,6,
Shk 168,276.99182,83.10451,,3.3,20,
Shk 169,278.71289,79.12741,,1.3,6,
Shk 170,284.34173,79.68759,,4.4,6,
Shk 171,285.18901,79.57484,,2.4,9,
Shk 172,268.20973,89.53469,,1.2,5,
Shk 173,308.21097,83.50788,,1.1,9,
Shk 174,313.9773,85.74669,,3.6,15,
Shk 175,357.02159,86.52789,,2.2,10,
Shk 176,2.07056,29.97824,,2,8,
Shk 177,29.39225,29.67671,,1.1,10,
Shk 178,34.75254,29.04638,,1.3,7,
Shk 179,36.57129,32.84129,,2.2,8,
Shk 180,49.30618,28.93288,,0.9,5,
Shk 181,127.01112,28.26725,,3,15,
Shk 182,129.6143,29.75728,,3.6,11,
Shk 183,131.1747,27.28478,,1.1,6,
Shk 184,137.05064,29.8475,,2.9,8,
Shk 185,140.62521,31.51932,,0.8,5,
Shk 186,140.71417,28.91903,,1.1,5,
Shk 187,145.13742,30.97263,,2.2,6,
Shk 188,149.31149,26.16151,,3.4,12,
Shk 189,157.01058,32.2611,,2,5,
Shk 190,157.44499,26.52692,,2.5,6,
Shk 191,162.04447,31.5024,,3.9,23,
Shk 192,164.6782,26.43198,,3.2,11,
Shk 193,165.43084,29.18102,,3.2,12,
Shk 194,165.77773,27.79725,,2.6,15,
Shk 195,166.1532,28.71347,,4.1,10,
Shk 196,166.45195,28.39645,,2.2,5,
Shk 197,166.68117,31.52952,,2.2,7,
Shk 198,167.05595,32.09576,,2.8,11,
Shk 199,173.83445,30.72344,,4.7,13,
Shk 200,175.30335,27.40605,,5.6,12,
Shk 201,192.80731,28.82825,,5.2,23,
Shk 202,184.90354,28.38921,,11,15,
Shk 203,187.27305,27.4237,,2.5,15,
Shk 204,187.54724,27.57386,,2.3,13,
Shk 205,188.84396,27.57473,,4.5,14,
Shk 206,175.00524,29.35618,,1.9,8,
Shk 207,194.17728,29.76311,,2.8,10,
Shk 208,197.41892,29.56732,,1.9,8,
Shk 209,197.91329,31.73471,,3.4,14,
Shk 210,203.49891,31.19419,,2.6,10,
Shk 211,204.15401,28.57878,,2.8,8,
Shk 212,204.30484,28.11241,,1.1,6,
Shk 213,206.35334,26.88329,,1.9,6,
Shk 214,206.36349,32.11667,,2.7,6,
Shk 215,206.82815,26.56765,,2.5,10,
Shk 216,215.48066,27.80589,,3.1,13,
Shk 217,218.08744,31.06346,,2,6,
Shk 218,218.42881,26.69778,,3.1,15,
Shk 219,223.13967,27.97934,,2.7,13,
Shk 220,224.87874,29.70186,,2.7,7,
Shk 221,234.23159,30.70298,,1.9,6,
Shk 222,235.92408,31.55972,,2,9,
Shk 223,237.45982,29.14925,,4,13,
Shk 224,238.40616,29.56981,,1.3,8,
Shk 225,358.76107,31.56159,,2,8,
Shk 226,6.31023,34.12684,,0.67,5,
Shk 227,127.59052,38.18177,,1.68,5,
Shk 228,132.47919,38.28013,,2.9,11,
Shk 229,135.24794,33.75365,,1.68,7,
Shk 230,147.9098,32.11513,,1.12,5,
Shk 231,150.45072,38.2921,,2.22,10,
Shk 232,157.45025,37.86028,,2.8,7,
Shk 233,163.64169,32.41673,,2.22,8,
Shk 234,162.12972,36.23561,,3.24,11,
Shk 235,164.0901,32.28278,,1.9,8,
Shk 236,165.4971,38.23095,,3.58,8,
Shk 237,166.3684,37.99657,,2.46,7,
Shk 238,168.37861,33.22769,,0.67,7,
Shk 239,171.84704,37.25804,,0.67,5,
Shk 240,173.58962,36.14025,,3.2,6,
Shk 241,178.29833,37.8885,,5.59,20,
Shk 242,178.37182,32.97181,,0.28,10,
Shk 243,182.43421,31.88851,,3.91,10,
Shk 244,184.30188,35.27233,,2.27,10,
Shk 245,186.22267,31.95647,,4.47,8,
Shk 246,189.61215,32.20865,,1.45,6,
Shk 247,190.82869,35.87634,,1.12,5,
Shk 248,198.07816,36.18497,,1.34,9,
Shk 249,202.98944,35.22657,,4.58,10,
Shk 250,203.69316,33.1279,,3.13,10,
Shk 251,204.20262,37.82892,,3.35,8,
Shk 252,206.31368,32.0999,,1.67,7,
Shk 253,208.1154,37.52056,,2.22,13,
Shk 254,209.07082,35.15609,,3.35,11,
Shk 255,212.62123,32.26485,,1.45,5,
Shk 256,219.90262,37.75237,,1.23,7,
Shk 257,221.72341,37.55813,,2.68,6,
Shk 258,230.95368,32.37372,,2.22,10,
Shk 259,234.88883,37.839,,2.22,8,
Shk 260,235.60542,34.90848,,1.45,7,
