id,alpha,delta,diameter,majAxis,minAxis,axisRatio,posAngle,Other names,,Type,Source,
Ced 19g,56.4848,24.0634,400,400,400,1,0,M45,,REFLECTION_NEBULA,Cederblad (1946) for the cluster (78.6’ diameter) plus nebulosity,
Ced 128,243.0038,-19.4591,195,195,195,1,0,,,,Cederblad (1946),
Ced 195a,339.9521,57.5214,180,180,180,1,0,,,,Cederblad (1946),
Ursa Major Moving Group (core),165,55,300.6,300.6,180.6,1.66,130,Cl Collinder 285,,MOVING_GROUP,Gaia,
Ursa Major Moving Group (main),165,55,1274.4,1274.4,765,1.67,130,Ursa Major Moving Group,,MOVING_GROUP,Gaia,
Cl Melotte 22,56.505,24.37,744,744,744,1,0,MWSC 305,,OPEN_CLUSTER,Kharchenko (2013) gives a much broader diameter for M45 than SIMBAD or Cederblad do.,
Cl Melotte 20,51.675,48.8,732,732,732,1,0,Alpha Persei Cluster,,OPEN_CLUSTER,Kharchenko (2013),
Cl Melotte 111,185.985,26.3,507,507,507,1,0,Coma Star Cluster,,OPEN_CLUSTER,Kharchenko (2013),
Perseus OB2,57.7575,35.1,384,384,384,1,0,MWSC 307,,OPEN_CLUSTER,Kharchenko (2013),
Alessi 13,52.02,-35.87,381.6,381.6,381.6,1,0,MWSC 278,,OPEN_CLUSTER,Kharchenko (2013),
NGC 2632,130.095,19.69,372,372,372,1,0,MWSC 1527,,OPEN_CLUSTER,Kharchenko (2013),
Blanco 1,0.885,-30,282,282,282,1,0,MWSC 7,,OPEN_CLUSTER,Kharchenko (2013),
Platais 3,69.45,71.47,270,270,270,1,0,MWSC 395,,OPEN_CLUSTER,Kharchenko (2013),
Mamajek 3,81.5025,6.33,264,264,264,1,0,MWSC 544,,OPEN_CLUSTER,Kharchenko (2013),
Platais 9,137.955,-43.53,252,252,252,1,0,MWSC 1639,,OPEN_CLUSTER,Kharchenko (2013),
Platais 5,93.675,-22.5,248.4,248.4,248.4,1,0,MWSC 763,,OPEN_CLUSTER,Kharchenko (2013),
Stock 2,33.66,59.44,204,204,204,1,0,MWSC 173,,OPEN_CLUSTER,Kharchenko (2013),
Cl Collinder 65,81.525,15.67,180,180,180,1,0,MWSC 540,,OPEN_CLUSTER,Kharchenko (2013),
Platais 8,136.875,-59.16,180,180,180,1,0,MWSC 1629,,OPEN_CLUSTER,Kharchenko (2013),
Sh 2-276,81.87142,-3.95913,1200,1200,860,1.4,0,Barnard's Loop,,HII_REGION,BFS (1982),
Sh 2-109,308.40549,40.33873,1080,1080,1080,1,0,,,HII_REGION,BFS (1982),
Sh 2-245,60.63273,4.12126,720,720,720,1,0,,,HII_REGION,BFS (1982),
Sh 2-312,134.79556,-25.67856,720,720,720,1,0,,,HII_REGION,BFS (1982),
Sh 2-310,108.26976,-24.56941,480,480,480,1,0,,,HII_REGION,BFS (1982),
Sh 2-27,249.28898,-10.56669,480,480,480,1,0,,,HII_REGION,BFS (1982),
Sh 2-118,324.25298,40.20854,480,480,480,1,0,,,HII_REGION,BFS (1982),
Sh 2-178,334.93172,87.75429,420,420,420,1,0,,,HII_REGION,BFS (1982),
Sh 2-264,83.81393,9.93167,390,390,390,1,0,,,HII_REGION,BFS (1982),
Sh 2-220,60.31776,36.40622,320,320,320,1,0,,,HII_REGION,BFS (1982),
Sh 2-230,80.62636,34.13064,300,300,300,1,0,,,HII_REGION,BFS (1982),
Sh 2-273,100.21357,9.90229,250,250,250,1,0,,,HII_REGION,BFS (1982),
Sh 2-7,240.09216,-22.94039,240,240,240,1,0,,,HII_REGION,BFS (1982),
Sh 2-117,314.69749,44.31168,240,240,240,1,0,,,HII_REGION,BFS (1982),
