N,id,alpha,delta,magU,magB,magV,magR,magI,Spectral_type,diameter,minAxis,posAngle,axisRatio,Notes,Common name,Other name
1,PN Hu 1-2,323.284627601,39.63598734132,,,12,,,,0.307,0.27,105,1.13703703703704,,,
2,PN Vy 2-3,350.74126801609,46.89946483246,,,,,,O(H)3-4I,0.2,0.148,25,1.35135135135135,,,
3,DSH J2050.0+3753,312.5083,37.8881,,,,,,,0.58,0.58,90,1,,,
4,PN Me 2-2,337.9319807425,47.80106579073,,9.3,,,,,0.02684183,0.02636483,7,1.01809228430451,,,
5,PN K 1-20,354.795175,48.208075,,,,,,,0.567,0.567,90,1,,,
6,NGC 7027,316.7565498,42.236242,,10.358,8.831,10.157,,,0.19885333,0.18750334,-38,1.06053220171971,,,
7,IC 5117,323.129038,44.596539,,,,,,,0.03333334,0.03265983,84,1.02062196894473,,,
8,PN A66 84,356.93355960172,51.39921165369,,18.366,18.584,18.613,18.671,,1.583,1.583,90,1,,,
9,PN M 1-1,24.33067664078,50.46981779701,,13.07,13.91,,,,0.19,0.156,40,1.21794871794872,,,
10,PN A66 4,41.3485483867492,42.5512754411206,,15.6,,,,,0.333,0.333,90,1,,,
11,PN Sd 1,307.328879,40.255722,,,,,,,0.127,0.127,90,1,,,
12,SH 1-89,318.531783,47.772825,,,,,,,0.633,0.633,90,1,,,
13,NGC 7048,318.563282042406,46.288084395585,,,,,,,0.917,0.917,90,1,,,
14,PN M 1-77,319.78070189449,46.31310018421,,12.34,11.91,12.05,,B,0.43,0.404,140,1.06435643564356,,,
15,PN M 1-79,324.25625,48.934061,,,19.11,,,,0.5,0.5,90,1,,,
16,PN M 2-49,325.82333,50.42067,,,,,,,0.036666665,0.036666665,0,1,,,
17,PN G097.6-02.4,329.42410270401,51.69424718793,,,,,,,0.077,0.077,90,1,,,
18,IC 5217,335.98215839051,50.96679565007,,,15.5,,,[WC7],0.33333334,0.106429,6,3.13197850209999,,,
19,PN K 3-86,343.68842,54.93369,,14.1,,12.7,,,0.23,0.23,90,1,,,
20,PN A66 83,356.694621,54.743803,,,,,,,0.783333361,0.783333361,0,1,,,
21,PN Hu 1-1,7.064312,55.965133,,,,,,,0.217,0.199,0,1.09045226130653,,,
22,PN Vy 1-1,4.67572179064,53.87216072861,,,,,,[WC],0.257,0.216,0,1.18981481481481,,,
23,M 76,25.58189905342,51.57542638057,,,17.48,,17.69,DOZ,2.307,2.307,90,1,,Little Dumbbell Nebula,NGC 650
24,PN KjPn 2,303.84246,40.57906,,19.8,17.6,,,,0.603,0.603,0,1,,,
25,DSH J2009.6+4114,302.4204,41.2453,,,,,,,0.77,0.77,90,1,,,
26,PN K 4-55,311.291754,44.65405,,16,16.5,,,,1.377,1.377,0,1,,,
27,NGC 7026,316.57738475622,47.85188187105,,15.33,15.1,,,[WC3],0.59,0.378,15,1.56084656084656,,,
28,PN K 3-82,322.71448036426,50.002351604,,,,,,,0.417,0.417,90,1,,,
29,PN K 3-83,323.932639,50.90451,,,,,,,0.083,0.083,90,1,,,
30,PN K 3-62,322.95910743763,52.56432549611,,,,,,,0.1,0.051937,3,1.92540963089897,,,
31,IRAS 21326+5224,323.596795,52.624393,,,,,,,0.12,0.12,90,1,,,
32,PN G102.9-02.3,336.57194767933,54.82729005508,,17.825,16.965,16.397,15.743,,0.903,0.903,90,1,,,
33,PN M 2-53,338.073833,56.173922,,,,,,,0.333,0.333,90,1,,,
34,PN K 3-87,343.77889481724,56.70861739019,,,,,,,0.1,0.1,90,1,,,
35,PN M 1-80,344.082911,57.155796,,,,,,,0.2,0.16,95,1.25,,,
36,PN Hb 12,351.56176515686,58.18181758121,,13.51,11.49,12.44,,Oe,0.013333334,0.013333334,0,1,,,
37,PN G114.0-04.6,356.44895873241,57.06623417784,,,,,,,1.35,1.35,90,1,,,
38,PN A66 2,11.394492,57.959689,,,,,,,0.517,0.517,90,1,,,
39,PN A66 5,43.062796,50.59835,,,,,,,2.123,2.123,90,1,,,
40,PN Dd 1,302.1795,42.503108,,,,,,,0.333333343,0.333333343,0,1,,,
41,PN A66 71,308.096733,47.347336,,19.384,19.335,19.253,19.185,,2.633,2.633,90,1,,,
42,PN K 3-78,311.34453576485,50.37773891281,,,,,,,0.073,0.073,90,1,,,
43,PN K 3-61,322.50315237461,54.45755419742,,15.9,14.8,,,[WC4/6],0.167,0.137,145,1.21897810218978,,,
44,DSH J2120.0+5141,320.0004,51.6847,,,,,,,0.15,0.15,90,1,,,
45,DSH J2122.0+5504,320.5042,55.075,,,,,,,0.93,0.93,90,1,,,
46,PN K 3-63,324.7999,55.767761,,,,,,,0.117,0.117,90,1,,,
47,PN Bl 2-1,335.06928,58.237934,,,,,,,0.05,0.02805267,2,1.78236153635287,,,
48,PN M 2-52,335.12677,57.60545694,,,,,,,0.377,0.143,55,2.63636363636364,,,
49,PN M 2-51,334.016208,57.476042,,,,,,,0.653,0.653,90,1,,,
50,PN KjPn 8,351.043633,60.958542,,,,,,,0.063333333,0.063333333,0,1,,,
51,PN G131.4-05.4,28.2643,56.404753,,10.3,10.3,,,,0.400000006,0.400000006,0,1,,,
52,NGC 6884,302.59851032684,46.46100883178,,11.9,10.9,,,,0.127,0.127,90,1,,,
53,DSH J2046.1+5257,311.54432989615,52.95149585518,,,,15.9,,sdOB,0.5,0.5,0,1,,,
54,NGC 7008,315.13674,54.54316,,,,13.21,,,1.427,1.427,90,1,,,
55,PN K 3-60,321.860331,57.651714,,,,,,,0.033333335,0.033333335,0,1,,,
56,NGC 7354,340.08280569342,61.28576296827,,,,,,,0.41482833,0.41215667,27,1.00648214670407,,,
57,PN BV 1,5.001875,62.984211,,,,,,,0.693,0.693,90,1,,,
58,PN BV 2,10.090058,62.859522,,,21.5,,,,0.666666687,0.666666687,0,1,,,
59,PN G129.2-02.0,25.658333,60.162367,,,,,,,3.233,3.233,90,1,,,
60,PN K 3-73,300.999804,49.318375,,,,,,,0.266666681,0.266666681,0,1,,,
61,PN A66 73,314.112633,57.434181,,,,,,,1.22,1.22,90,1,,,
62,PN K 3-88,348.064558,64.654925,,,,,,,0.085000001,0.085000001,0,1,,,
63,DSH J2327.2+6509,351.80292,65.15519,,,,,,,0.32,0.32,90,1,,,
64,SH 1-118,1.83390738965,64.95590445082,,14.95,13.87,13.6,,,1.917,1.917,90,1,,,
65,PN G121.6+03.5,9.725742,66.396842,,,,,,,0.317,0.317,90,1,,,
66,PN G124.0+02.9,15.60189580037,65.77569236778,,,,,,,0.277,0.227,30,1.22026431718062,,,
67,PN K 3-90,21.24423347157,65.6433605957,,,,,,,0.177,0.163,155,1.08588957055215,,,
68,IPHAS PN-1,21.28315903034,63.94798843583,,,,,,,0.14,0.14,90,1,,,
69,IC 1747,29.39870800127,63.32179092466,,15.8,15.4,,,[WC4],0.283,0.278,150,1.01798561151079,,,
70,PN M 1-4,55.43091307073,52.28340762551,,15.86,14.27,15.26,,,0.21,0.197,15,1.06598984771574,,,
71,NGC 6833,297.44402811438,48.96114257691,,,,,,,0.014641,0.01448193,14,1.01098403320552,,,
72,NGC 6826,296.20062509412,50.52506917637,,9.779,9.359,10.775,,O3f(H),0.663,0.584,90,1.13527397260274,,,
73,NGC 7076,321.598083,62.892175,,,,,,,0.95,0.95,90,1,,,
74,NGC 7139,326.535775,63.791514,,,,,,,1.267,1.267,90,1,,,
75,PN KjPn 6,342.25907188701,67.02729237217,,,,,,,0.153,0.153,90,1,,,
76,PN A66 1,3.229,69.173,,,,,,,0.783,0.783,90,1,,,
77,PN K 3-91,29.65112288389,66.5662492734,,,,,,,0.287,0.229,120,1.25327510917031,,,
78,PN K 3-92,30.921546,64.960522,,,,,,,0.217,0.217,90,1,,,
79,PN A66 3,33.02776467542,64.15064801706,,,,,,,1,1,90,1,,,
80,PN K 3-93,36.625063,65.798081,,,,,,,0.14,0.14,90,1,,,
81,IC 289,47.58042305376,61.31692042317,,16.8,,,,,0.76454663,0.76454335,45,1.00000429014261,,,
82,IRAS 03272+5528,52.7721,55.6475,,,,,,,0.45,0.45,90,1,,,
83,IRAS 03596+5200,60.8738,52.1406,,,,,,,0.42,0.42,90,1,,,
84,PN K 3-65,63.97721,48.82781,,,,,,,0.083,0.083,90,1,,,
