id,alpha,delta,magnitude,Spectral type,HD,HIP,Common name
CG And,0.181810,45.253335,6.35,A0IIspSiSrHg,HD224801,HIP63,
tau Phe,0.269095,-48.809874,5.70,G6/8III,HD224834,HIP88,
tet Oct,0.398748,-77.065725,4.78,K3III,HD224889,HIP122,
29 Psc,0.456034,-3.027503,5.10,B7III-IV,HD224926,HIP145,
30 Psc,0.490081,-6.014071,4.41,M3III,HD224935,HIP154,
85 Peg,0.543120,27.081833,5.75,G5VbFe-2,HD224930,HIP171,
zet Scl,0.583029,-29.720441,5.02,B5IV,HD224990,HIP183,
31 Psc,0.600695,8.956825,6.33,A6V,HD224995,HIP186,
32 c Psc,0.623759,8.485464,5.69,F1V,HD225003,HIP194,
2 Cet,0.934949,-17.335991,4.54,B9IVn,HD225132,HIP301,
9 Cas,1.056927,62.287664,5.88,A1II-III,HD225180,HIP330,
3 Cet,1.125493,-10.509524,4.92,K3Ib,HD225212,HIP355,
33 Psc,1.333922,-5.707620,4.61,K0III-IV,HD28,HIP443,
86 Peg,1.424840,13.396268,5.54,G5III,HD87,HIP476,
10 Cas,1.610572,64.196158,5.59,B9IIIe,HD144,HIP531,
4 Cet,1.933797,-2.548680,6.43,ApSi,HD315,HIP635,
5 Cet,2.050398,-2.447706,6.22,K2IIICNIVp,HD352,HIP664,
21 alf And,2.096916,29.090431,2.06,B8IV-VHgMn,HD358,HIP677,Alpheratz
87 Peg,2.260103,18.211965,5.55,G9III,HD448,HIP729,
11 bet Cas,2.294522,59.149781,2.27,F2III,HD432,HIP746,Caph
kap01 Scl,2.337779,-27.987926,5.51,F3V,HD493,HIP761,
eps Phe,2.352667,-45.747424,3.87,K0III,HD496,HIP765,
gam03 Oct,2.509052,-82.224047,5.28,K1/2III,HD636,HIP814,
34 Psc,2.509179,11.145816,5.53,B9Vn,HD560,HIP813,
22 And,2.580194,46.072272,5.04,F5II,HD571,HIP841,
6 Cet,2.816075,-15.467978,4.89,F8VFe-0.8CH-0.5,HD693,HIP910,
kap02 Scl,2.893420,-27.799720,5.40,K2III,HD720,HIP930,
tet Scl,2.933421,-35.133115,5.24,F5V,HD739,HIP950,
88 gam Peg,3.308968,15.183598,2.84,B2IV,HD886,HIP1067,Algenib
23 And,3.378500,41.035371,5.71,F0IV,HD905,HIP1086,
89 chi Peg,3.650685,20.206703,4.80,M2+III,HD1013,HIP1168,
7 Cet,3.660069,-18.932865,4.46,M1III,HD1038,HIP1170,
35 Psc,3.745168,8.820961,6.01,F0,HD1061,HIP1196,
36 Psc,4.141841,8.240157,6.12,G8II-III,HD1227,HIP1319,
24 tet And,4.272927,38.681636,4.61,A2V,HD1280,HIP1366,
38 Psc,4.352179,8.876442,6.66,G0:III+F2V+F8V,HD1317,HIP1392,
AO Cas,4.429430,51.433088,6.14,O9.2II+O8V((f)),HD1337,HIP1415,
25 sig And,4.581906,36.785225,4.52,A2V,HD1404,HIP1473,
26 And,4.675704,43.791141,6.11,B8V,HD1438,HIP1501,
8 iot Cet,4.856977,-8.823919,3.55,K1+IIICN0.5,HD1522,HIP1562,Deneb Kaitos Shemali
40 Psc,4.984482,16.250872,6.60,K0,HD1563,HIP1595,
zet Tuc,5.017744,-64.874794,4.23,F9.5V,HD1581,HIP1599,
41 d Psc,5.149425,8.190272,5.37,K2.5III,HD1635,HIP1645,
pi. Tuc,5.162676,-69.624919,5.50,B9V,HD1685,HIP1647,
27 rho And,5.280286,37.968605,5.18,F5IV-V,HD1671,HIP1686,
iot Scl,5.379993,-28.981470,5.17,K0III,HD1737,HIP1708,
T Cet,5.442803,-20.058025,5.74,M5-6Se,HD1760,HIP1728,
42 Psc,5.606179,13.482488,6.24,K3III,HD1796,HIP1772,
9 Cet,5.715785,-12.209436,6.39,G2.5V,HD1835,HIP1803,
R And,6.008107,38.577047,7.39,S5-7/4-5e,HD1967,,
12 Cas,6.197939,61.831058,5.38,B9III,HD2011,HIP1960,
44 Psc,6.350868,1.939692,5.77,G8III,HD2114,HIP2006,
45 Psc,6.424632,7.691132,6.76,K0,HD2140,HIP2025,
bet Hyi,6.437793,-77.254246,2.79,G0V,HD2151,HIP2021,
kap Phe,6.550839,-43.679831,3.94,A5IVn,HD2262,HIP2072,
alf Phe,6.571048,-42.305987,2.38,K0.5IIIb,HD2261,HIP2081,Ankaa
10 Cet,6.655896,-0.049531,6.19,G6IIIFe-1,HD2273,HIP2100,
eta Scl,6.982074,-33.007166,4.81,M2/3III,HD2429,HIP2210,
46 Psc,6.993609,19.514038,6.38,gG7,HD2410,HIP2213,
47 TV Psc,7.012145,17.893127,5.06,M3III,HD2411,HIP2219,
48 Psc,7.052929,16.445068,6.04,K5III,HD2436,HIP2224,
12 Cet,7.509827,-3.957327,5.72,K5III,HD2637,HIP2353,
28 And,7.530688,29.751558,5.21,A7III,HD2628,HIP2355,
lam01 Phe,7.854088,-48.803514,4.77,A1Va,HD2834,HIP2472,
13 Cas,7.855121,66.519617,6.17,B6V,HD2729,HIP2474,
bet01 Tuc,7.886117,-62.958217,4.29,B9.5Va,HD2884,HIP2484,
bet02 Tuc,7.889260,-62.965593,4.51,A3IV,HD2885,HIP2487,
14 lam Cas,7.943164,54.522285,4.77,B8Vn,HD2772,HIP2505,
51 Psc,8.099079,6.955485,5.68,B9.5V,HD2913,HIP2548,
52 Psc,8.147853,20.294318,5.37,K0III,HD2910,HIP2568,
bet03 Tuc,8.182939,-63.031501,5.09,A0V,HD3003,HIP2578,
15 kap Cas,8.249963,62.931783,4.16,BC0.7Ia,HD2905,HIP2599,
tet Tuc,8.347330,-71.266245,6.11,A7IV,HD3112,HIP2629,
16 Cas,8.603830,66.750338,6.47,B8V,HD3038,HIP2707,
13 Cet,8.811999,-3.592844,5.21,F7V+G4V,HD3196,HIP2762,
14 Cet,8.886806,-0.505611,5.94,F5V,HD3229,HIP2787,
lam02 Phe,8.921564,-48.000907,5.51,F5V+,HD3302,HIP2802,
53 Psc,9.197129,15.231720,5.86,B2.5IV,HD3379,HIP2903,
29 pi. And,9.220205,33.719344,4.36,B5V,HD3369,HIP2912,
17 zet Cas,9.242851,53.896908,3.66,B2IV,HD3360,HIP2920,
15 Cet,9.518927,-0.503528,6.64,K1III,HD3512,HIP2994,
30 eps And,9.638948,29.311753,4.38,G7IIIFe-3CH1,HD3546,HIP3031,
31 del And,9.831680,30.860984,3.28,K3III-IIIbCN0.5,HD3627,HIP3092,
54 Psc,9.840856,21.250476,5.88,K0.5V,HD3651,HIP3093,
55 Psc,9.981548,21.438497,5.43,K2IIIa,HD3690,HIP3138,
18 alf Cas,10.126838,56.537331,2.23,K0-IIIa,HD3712,HIP3179,Schedar
32 And,10.279936,39.458664,5.33,G8III,HD3817,HIP3231,
mu. Phe,10.331547,-46.084981,4.59,G8III,HD3919,HIP3245,
ksi Phe,10.443322,-56.501316,5.70,A3VpSrCr_Ksn,HD3980,HIP3277,
19 ksi Cas,10.516218,50.512533,4.81,B2V,HD3901,HIP3300,
rho Tuc,10.618216,-65.468030,5.38,F6V,HD4089,HIP3330,
lam01 Scl,10.678716,-38.463484,6.05,B9.5V,HD4065,HIP3356,
eta Phe,10.838376,-57.463063,4.36,A0IV,HD4150,HIP3405,
20 pi. Cas,10.866957,47.024546,4.95,A5V,HD4058,HIP3414,
16 bet Cet,10.897379,-17.986606,2.01,G9.5IIICH-1,HD4128,HIP3419,Diphda
17 phi01 Cet,11.047500,-10.609551,4.77,K0III,HD4188,HIP3455,
lam02 Scl,11.050413,-38.421682,5.96,K1III,HD4211,HIP3456,
68 Cas,11.109131,47.863984,5.65,B5V,HD4142,HIP3478,
22 omi Cas,11.181328,48.284365,4.50,B5IIIe,HD4180,HIP3504,
18 Cet,11.369531,-12.880809,6.15,G0V,HD4307,HIP3559,
21 YZ Cas,11.412819,74.988071,5.65,A2IV,HD4161,HIP3572,
57 Psc,11.637299,15.475509,5.38,M4III,HD4408,HIP3632,
58 Psc,11.756067,11.973852,5.50,G8II,HD4482,HIP3675,
59 Psc,11.806776,19.578706,6.10,F0Vn,HD4490,HIP3685,
34 zet And,11.834690,24.267179,4.06,K1III+KV,HD4502,HIP3693,
60 Psc,11.848474,6.740972,5.96,G8III,HD4526,HIP3697,
23 Cas,11.941891,74.847570,5.41,B8III,HD4382,HIP3721,
61 Psc,11.978448,20.925345,6.52,F8V,HD4568,HIP3730,
62 Psc,12.072541,7.299930,5.91,G8III,HD4627,HIP3760,
