No,id,magnitude,alpha,delta,diameter
1,C 1,7.1,11.1,85.3333,15
2,C 2,12.3,3.25,72.5333,0.6
3,C 3,9.6,184.175,69.4667,19.6
4,C 4,7.7,315.45,68.2,10
5,C 5,7.9,56.7,68.1,16.1
6,C 6,8.1,269.65,66.6333,0.5
7,C 7,7.3,114.225,65.6,23.8
8,C 8,9.5,22.375,63.3,7
9,C 9,10,344.2,62.6167,50
10,C 10,6.7,26.5,61.25,15
11,C 11,10,350.175,61.2,15
12,C 12,8.8,308.7,60.15,11.2
13,C 13,6.4,19.775,58.3333,20
14,C 14,4.5,35,57.1333,60
15,C 15,8.5,296.2,50.5167,0.5
16,C 16,6.4,333.825,49.8833,30
17,C 17,9.5,8.3,48.5,17.8
18,C 18,9.2,9.75,48.3333,17
19,C 19,9.3,328.375,47.2667,10
20,C 20,3.8,314.7,44.3333,100
21,C 21,9.6,187.05,44.1,5.4
22,C 22,8.3,351.475,42.55,0.5
23,C 23,9.9,35.65,42.35,12.2
24,C 24,11.9,49.95,41.5167,3.2
25,C 25,10.4,114.525,38.8833,4.6
26,C 26,10.4,184.375,37.8167,15.8
27,C 27,8.8,303,38.35,18
28,C 28,5.7,29.45,37.6833,75
29,C 29,9.8,197.725,37.05,5.6
30,C 30,9.5,339.275,34.4167,9.7
31,C 31,9.2,79.05,34.2667,30
32,C 32,9.2,190.525,32.5333,14.7
33,C 33,7.5,314.1,31.7167,60
34,C 34,7.9,311.425,30.7167,70
35,C 35,11.535,195.025,27.9833,2.8
36,C 36,10,189,27.9667,11.3
37,C 37,8.1,303,26.4833,20
38,C 38,9.6,189.075,25.9833,16.2
39,C 39,9.2,112.3,20.9167,0.7
40,C 40,11,170.025,18.35,3
41,C 41,0.5,66.75,16,330
42,C 42,10.6,315.375,16.1833,3.6
43,C 43,10.6,0.825,16.15,5.5
44,C 44,10.8,346.225,12.3167,3.9
45,C 45,10.3,204.375,8.8833,6.1
46,C 46,10,99.8,8.7333,3.5
47,C 47,8.8,308.55,7.4,7.1
48,C 48,10.1,137.575,7.0333,4.6
49,C 49,5,98.075,5.05,80
50,C 50,4.4,98.1,4.8667,30
51,C 51,9.2,16.2,2.1167,18.8
52,C 52,9.0,192.15,-5.8,7.1
53,C 53,8.9,151.3,-7.7167,7
54,C 54,7.6,120.05,-10.7833,12
55,C 55,8,316.05,-11.3667,1
56,C 56,10.9,11.75,-11.8833,4.6
57,C 57,7.9,296.225,-14.8,15
58,C 58,7,109.45,-15.6167,14
59,C 59,7.3,156.2,-18.6333,0.5
60,C 60,10.5,180.475,-18.8667,11.2
61,C 61,11.2,180.475,-18.8833,9.8
62,C 62,8.9,11.775,-20.7667,22
63,C 63,6.0,337.4,-20.8,12
64,C 64,4.1,109.7,-24.95,6
65,C 65,7.1,11.9,-25.2833,25.8
66,C 66,10.2,219.9,-26.5333,4.3
67,C 67,9.2,41.575,-30.2833,9.8
68,C 68,9.5,285.475,-36.95,1.3
69,C 69,9.6,258.425,-37.1,0.8
70,C 70,7.2,13.725,-37.6833,20
71,C 71,5.8,118.075,-38.55,20
72,C 72,7.5,3.725,-39.1833,34
73,C 73,7.1,78.525,-40.05,12
74,C 74,9.2,151.925,-40.4333,0.8
75,C 75,5.3,246.4,-40.6667,40
76,C 76,2.6,253.5,-41.8,14
77,C 77,6.6,201.375,-43.0167,16.7
78,C 78,6.3,272,-43.7,15
79,C 79,6.7,154.4,-46.4167,20
80,C 80,3.9,201.7,-47.4833,55
81,C 81,7.8,261.375,-48.4167,9
82,C 82,4.8,250.325,-48.7667,14
83,C 83,8.8,196.35,-49.4667,18.6
84,C 84,7.2,206.6,-51.3667,11
85,C 85,2.8,130.05,-53.0667,60
86,C 86,5.3,265.175,-53.6667,31
87,C 87,8.3,48.075,-55.2167,6.8
88,C 88,7.9,226.425,-55.6,12
89,C 89,5.2,244.725,-57.9,15
90,C 90,9.7,140.35,-58.3167,0.2
91,C 91,3.2,166.6,-58.6667,50
92,C 92,4.5,160.95,-59.8667,120
93,C 93,5.4,287.725,-59.9833,29
94,C 94,4.2,193.4,-60.3333,10
95,C 95,5.5,240.925,-60.5,15
96,C 96,3.5,119.575,-60.8667,22
97,C 97,5.3,174.025,-61.6167,15
98,C 98,6.9,190.575,-62.9667,6
99,C 99,--,193.25,-63,420
100,C 100,4.5,174.15,-63.0333,15
101,C 101,8.6,287.45,-63.85,20.8
102,C 102,1.9,160.8,-64.4,100
103,C 103,4.0,84.675,-69.1,30
104,C 104,6.4,15.8,-70.85,14
105,C 105,8.4,194.9,-70.8833,13.5
106,C 106,3.95,6.025,-72.0833,50
107,C 107,9.2,246.45,-72.2,10.7
108,C 108,7.2,186.45,-72.6667,5 
109,C 109,11.6,152.375,-80.8667,0.6
