alpha,delta,id,diameter,Common Name
129.756255,-40.727217,SL 1,7.719,
131.156365,-41.299079,SL 2,4.282,
133.510218,-41.75756,SL 3,6.056,
133.406932,-42.223867,SL 4,18.04,
144.524252,-45.776093,SL 5,36.459,
239.5599,-42.592885,SL 6,11.125,Lupus 4 cloud a
240.456422,-41.872454,SL 7,14.833,Lupus 4 cloud b
243.555537,-44.059263,SL 8,11.726,
241.983357,-41.699314,SL 9,16.021,Lupus 4 cloud c
242.860249,-41.712222,SL 10,11.329,Lupus 4 cloud d
239.250031,-37.794099,SL 11,7.719,
235.670547,-34.158631,SL 12,17.524,B 228
236.423801,-34.472283,SL 13,18.04,B 228
242.390114,-39.114197,SL 14,15.439,
251.649429,-44.506416,SL 15,5.244,B 235
246.253571,-40.014036,SL 16,9.332,
253.243526,-43.582367,SL 17,7.719,Dark Wolf Nebula
251.188921,-40.375114,SL 18,5.244,B 44a
254.810636,-42.441709,SL 19,10.917,
255.247317,-40.789631,SL 20,12.846,B 48
249.226274,-35.600642,SL 21,5.244,B 231
261.568773,-42.626317,SL 22,11.125,B 263
257.798464,-40.610933,SL 23,13.37,B 58
249.37373,-35.199967,SL 24,4.282,B 231
251.026689,-35.342436,SL 25,13.37,B 233
263.55102,-40.41673,SL 26,9.332,
255.761959,-36.103795,SL 27,11.125,
263.816465,-39.232092,SL 28,10.042,
263.816331,-39.215426,SL 29,10.488,
255.750206,-34.437154,SL 30,8.827,B 50
255.692216,-33.270741,SL 31,6.056,B 49
256.51774,-33.250188,SL 32,8.564,B 53
260.486922,-35.59803,SL 33,7.719,B 257
259.556822,-34.969131,SL 34,7.416,
259.379824,-34.703304,SL 35,21.728,
265.948872,-33.421672,SL 36,6.056,
266.726833,-33.817908,SL 37,20.311,
266.745695,-32.934468,SL 38,16.305,
286.045381,-37.308347,SL 39,16.164,
285.719229,-37.109872,SL 40,16.858,
285.293169,-36.911869,SL 41,11.92,
287.567539,-37.134577,SL 42,12.299,
